year;geo_code;country;nace_r2_code;sector_nace_r2;na_item_code;unit_code;gva_million_eur;data_flag;source_id;dataset_id;source;price_basis;unit_label
2017;PT;Portugal;O;"Public administration and defence; compulsory social security";B1G;CP_MEUR;11987.4;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2017;PT;Portugal;P;Education;B1G;CP_MEUR;9691.8;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2017;PT;Portugal;Q;Human health and social work activities;B1G;CP_MEUR;10811.5;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2017;PT;Portugal;R;Arts, entertainment and recreation;B1G;CP_MEUR;1513.3;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2017;PT;Portugal;S;Other service activities;B1G;CP_MEUR;2290.3;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2017;PT;Portugal;T;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";B1G;CP_MEUR;1095.4;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2018;PT;Portugal;A;Agriculture, forestry and fishing;B1G;CP_MEUR;3932.2;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2018;PT;Portugal;B;Mining and quarrying;B1G;CP_MEUR;593.1;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2018;PT;Portugal;C;Manufacturing;B1G;CP_MEUR;25260.1;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2018;PT;Portugal;D;Electricity, gas, steam and air conditioning supply;B1G;CP_MEUR;4660.1;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2018;PT;Portugal;E;"Water supply; sewerage, waste management and remediation activities";B1G;CP_MEUR;1678.4;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2018;PT;Portugal;F;Construction;B1G;CP_MEUR;7541.1;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2018;PT;Portugal;G;"Wholesale and retail trade; repair of motor vehicles and motorcycles";B1G;CP_MEUR;23863.8;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2018;PT;Portugal;H;Transportation and storage;B1G;CP_MEUR;8786.0;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2018;PT;Portugal;I;Accommodation and food service activities;B1G;CP_MEUR;10725.2;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2018;PT;Portugal;J;Information and communication;B1G;CP_MEUR;6375.7;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2018;PT;Portugal;K;Financial and insurance activities;B1G;CP_MEUR;8363.7;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2018;PT;Portugal;L;Real estate activities;B1G;CP_MEUR;22163.3;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2018;PT;Portugal;M;Professional, scientific and technical activities;B1G;CP_MEUR;7255.8;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2018;PT;Portugal;N;Administrative and support service activities;B1G;CP_MEUR;7149.3;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2018;PT;Portugal;O;"Public administration and defence; compulsory social security";B1G;CP_MEUR;12278.5;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2018;PT;Portugal;P;Education;B1G;CP_MEUR;9939.5;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2018;PT;Portugal;Q;Human health and social work activities;B1G;CP_MEUR;11532.5;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2018;PT;Portugal;R;Arts, entertainment and recreation;B1G;CP_MEUR;1580.6;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2018;PT;Portugal;S;Other service activities;B1G;CP_MEUR;2358.3;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2018;PT;Portugal;T;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";B1G;CP_MEUR;1120.3;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2019;PT;Portugal;A;Agriculture, forestry and fishing;B1G;CP_MEUR;4289.6;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2019;PT;Portugal;B;Mining and quarrying;B1G;CP_MEUR;561.6;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2019;PT;Portugal;C;Manufacturing;B1G;CP_MEUR;25605.3;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2019;PT;Portugal;D;Electricity, gas, steam and air conditioning supply;B1G;CP_MEUR;4426.8;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
