year;country_code;country;sector_nace_r2;employment_thousand_persons;employment_persons;data_flag;sex;age;source_id;dataset_id;source;unit
2009;PT;Portugal;Other service activities;94.8;94800.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2009;PT;Portugal;Professional, scientific and technical activities;164.0;164000.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2009;PT;Portugal;"Public administration and defence; compulsory social security";327.1;327100.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2009;PT;Portugal;Real estate activities;33.3;33300.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2009;PT;Portugal;Transportation and storage;175.5;175500.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2009;PT;Portugal;"Water supply; sewerage, waste management and remediation activities";28.3;28300.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2009;PT;Portugal;"Wholesale and retail trade; repair of motor vehicles and motorcycles";744.7;744700.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2010;PT;Portugal;Accommodation and food service activities;287.0;287000.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2010;PT;Portugal;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";146.4;146400.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2010;PT;Portugal;Administrative and support service activities;152.8;152800.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2010;PT;Portugal;Agriculture, forestry and fishing;548.4;548400.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2010;PT;Portugal;Arts, entertainment and recreation;36.1;36100.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2010;PT;Portugal;Construction;466.8;466800.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2010;PT;Portugal;Education;366.1;366100.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2010;PT;Portugal;Electricity, gas, steam and air conditioning supply;15.8;15800.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2010;PT;Portugal;Financial and insurance activities;86.6;86600.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2010;PT;Portugal;Human health and social work activities;347.4;347400.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2010;PT;Portugal;Information and communication;103.5;103500.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2010;PT;Portugal;Manufacturing;801.7;801700.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2010;PT;Portugal;Mining and quarrying;19.2;19200.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2010;PT;Portugal;Other service activities;102.4;102400.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2010;PT;Portugal;Professional, scientific and technical activities;154.6;154600.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2010;PT;Portugal;"Public administration and defence; compulsory social security";307.2;307200.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2010;PT;Portugal;Real estate activities;27.4;27400.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2010;PT;Portugal;Transportation and storage;174.0;174000.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2010;PT;Portugal;"Water supply; sewerage, waste management and remediation activities";31.5;31500.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2010;PT;Portugal;"Wholesale and retail trade; repair of motor vehicles and motorcycles";719.0;719000.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2011;PT;Portugal;Accommodation and food service activities;286.3;286300.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2011;PT;Portugal;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";138.4;138400.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2011;PT;Portugal;Administrative and support service activities;139.3;139300.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2011;PT;Portugal;Agriculture, forestry and fishing;482.4;482400.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2011;PT;Portugal;Arts, entertainment and recreation;50.8;50800.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2011;PT;Portugal;Construction;424.1;424100.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2011;PT;Portugal;Education;363.0;363000.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2011;PT;Portugal;Electricity, gas, steam and air conditioning supply;18.7;18700.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2011;PT;Portugal;Financial and insurance activities;103.8;103800.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
