Country,Value,source
Brazil,108232,annotated
Angola,15750,annotated
São Tomé e Príncipe,10941,annotated
Cabo Verde,6560,annotated
Guiné-Bissau,4875,annotated
Moçambique,2139,annotated
Timor Leste,676,annotated
Guiné Equatorial,1,annotated
