year;nationality;gender;permits_granted;resident_count;source_id;source
2015;Coreia do Sul;Masculino;8;70;F001 / F002;SEF + AIMA — combinado
2015;Costa Rica;Feminino;4;31;F001 / F002;SEF + AIMA — combinado
2015;Costa Rica;Masculino;5;22;F001 / F002;SEF + AIMA — combinado
2015;Costa do Marfim;Feminino;4;33;F001 / F002;SEF + AIMA — combinado
2015;Costa do Marfim;Masculino;8;88;F001 / F002;SEF + AIMA — combinado
2015;Croácia;Feminino;23;100;F001 / F002;SEF + AIMA — combinado
2015;Croácia;Masculino;26;74;F001 / F002;SEF + AIMA — combinado
2015;Cuba;Feminino;37;499;F001 / F002;SEF + AIMA — combinado
2015;Cuba;Masculino;26;402;F001 / F002;SEF + AIMA — combinado
2015;Desconhecido;Feminino;0;5;F001 / F002;SEF + AIMA — combinado
2015;Desconhecido;Masculino;0;9;F001 / F002;SEF + AIMA — combinado
2015;Dinamarca;Feminino;41;253;F001 / F002;SEF + AIMA — combinado
2015;Dinamarca;Masculino;42;322;F001 / F002;SEF + AIMA — combinado
2015;Dominica;Feminino;0;4;F001 / F002;SEF + AIMA — combinado
2015;Dominica;Masculino;0;3;F001 / F002;SEF + AIMA — combinado
2015;Egipto;Feminino;5;85;F001 / F002;SEF + AIMA — combinado
2015;Egipto;Masculino;16;213;F001 / F002;SEF + AIMA — combinado
2015;El Salvador;Feminino;2;18;F001 / F002;SEF + AIMA — combinado
2015;El Salvador;Masculino;2;18;F001 / F002;SEF + AIMA — combinado
2015;Emiratos Árabes Unidos;Feminino;0;1;F001 / F002;SEF + AIMA — combinado
2015;Emiratos Árabes Unidos;Masculino;0;4;F001 / F002;SEF + AIMA — combinado
2015;Equador;Feminino;16;171;F001 / F002;SEF + AIMA — combinado
2015;Equador;Masculino;19;121;F001 / F002;SEF + AIMA — combinado
2015;Eritreia;Feminino;4;16;F001 / F002;SEF + AIMA — combinado
2015;Eritreia;Masculino;4;24;F001 / F002;SEF + AIMA — combinado
2015;Eslováquia;Feminino;21;121;F001 / F002;SEF + AIMA — combinado
2015;Eslováquia;Masculino;13;43;F001 / F002;SEF + AIMA — combinado
2015;Eslovénia;Feminino;14;53;F001 / F002;SEF + AIMA — combinado
2015;Eslovénia;Masculino;18;43;F001 / F002;SEF + AIMA — combinado
2015;Espanha;Feminino;820;4988;F001 / F002;SEF + AIMA — combinado
2015;Espanha;Masculino;842;5031;F001 / F002;SEF + AIMA — combinado
2015;Essuatíni;Feminino;1;6;F001 / F002;SEF + AIMA — combinado
2015;Essuatíni;Masculino;0;2;F001 / F002;SEF + AIMA — combinado
2015;Estados Unidos da América;Feminino;155;1279;F001 / F002;SEF + AIMA — combinado
2015;Estados Unidos da América;Masculino;174;1340;F001 / F002;SEF + AIMA — combinado
2015;Estónia;Feminino;18;90;F001 / F002;SEF + AIMA — combinado
2015;Estónia;Masculino;11;31;F001 / F002;SEF + AIMA — combinado
2015;Etiópia;Feminino;2;28;F001 / F002;SEF + AIMA — combinado
2015;Etiópia;Masculino;6;23;F001 / F002;SEF + AIMA — combinado
2015;Filipinas;Feminino;69;527;F001 / F002;SEF + AIMA — combinado
2015;Filipinas;Masculino;63;229;F001 / F002;SEF + AIMA — combinado
2015;Finlândia;Feminino;134;382;F001 / F002;SEF + AIMA — combinado
2015;Finlândia;Masculino;192;452;F001 / F002;SEF + AIMA — combinado
2015;França;Feminino;1061;3950;F001 / F002;SEF + AIMA — combinado
2015;França;Masculino;1434;4490;F001 / F002;SEF + AIMA — combinado
2015;Gabão;Feminino;1;3;F001 / F002;SEF + AIMA — combinado
2015;Gabão;Masculino;0;14;F001 / F002;SEF + AIMA — combinado
2015;Gana;Feminino;6;58;F001 / F002;SEF + AIMA — combinado
2015;Gana;Masculino;15;79;F001 / F002;SEF + AIMA — combinado
2015;Geórgia;Feminino;27;317;F001 / F002;SEF + AIMA — combinado
2015;Geórgia;Masculino;18;410;F001 / F002;SEF + AIMA — combinado
2015;Granada;Feminino;0;2;F001 / F002;SEF + AIMA — combinado
2015;Granada;Masculino;0;2;F001 / F002;SEF + AIMA — combinado
2015;Grécia;Feminino;41;129;F001 / F002;SEF + AIMA — combinado
2015;Grécia;Masculino;30;119;F001 / F002;SEF + AIMA — combinado
2015;Guatemala;Feminino;4;26;F001 / F002;SEF + AIMA — combinado
2015;Guatemala;Masculino;3;25;F001 / F002;SEF + AIMA — combinado
2015;Guiana;Feminino;0;1;F001 / F002;SEF + AIMA — combinado
2015;Guiana;Masculino;0;3;F001 / F002;SEF + AIMA — combinado
2015;Guiné;Feminino;62;448;F001 / F002;SEF + AIMA — combinado
2015;Guiné;Masculino;66;1078;F001 / F002;SEF + AIMA — combinado
2015;Guiné Equatorial;Feminino;5;24;F001 / F002;SEF + AIMA — combinado
2015;Guiné Equatorial;Masculino;1;27;F001 / F002;SEF + AIMA — combinado
2015;Guiné-Bissau;Feminino;576;7846;F001 / F002;SEF + AIMA — combinado
2015;Guiné-Bissau;Masculino;553;9245;F001 / F002;SEF + AIMA — combinado
2015;Gâmbia;Feminino;3;36;F001 / F002;SEF + AIMA — combinado
2015;Gâmbia;Masculino;6;116;F001 / F002;SEF + AIMA — combinado
2015;Haiti;Feminino;0;2;F001 / F002;SEF + AIMA — combinado
2015;Haiti;Masculino;1;3;F001 / F002;SEF + AIMA — combinado
2015;Honduras;Feminino;4;18;F001 / F002;SEF + AIMA — combinado
2015;Honduras;Masculino;3;12;F001 / F002;SEF + AIMA — combinado
2015;Hungria;Feminino;52;328;F001 / F002;SEF + AIMA — combinado
2015;Hungria;Masculino;25;152;F001 / F002;SEF + AIMA — combinado
2015;Ilhas Cook;Feminino;0;0;F001 / F002;SEF + AIMA — combinado
2015;Ilhas Cook;Masculino;0;1;F001 / F002;SEF + AIMA — combinado
2015;Ilhas Fiji;Feminino;1;5;F001 / F002;SEF + AIMA — combinado
2015;Ilhas Fiji;Masculino;0;2;F001 / F002;SEF + AIMA — combinado
2015;Ilhas Maurícias;Feminino;1;8;F001 / F002;SEF + AIMA — combinado
2015;Ilhas Maurícias;Masculino;1;9;F001 / F002;SEF + AIMA — combinado
2015;Indonésia;Feminino;9;64;F001 / F002;SEF + AIMA — combinado
2015;Indonésia;Masculino;8;76;F001 / F002;SEF + AIMA — combinado
2015;Iraque;Feminino;8;61;F001 / F002;SEF + AIMA — combinado
2015;Iraque;Masculino;6;65;F001 / F002;SEF + AIMA — combinado
2015;Irlanda;Feminino;76;412;F001 / F002;SEF + AIMA — combinado
2015;Irlanda;Masculino;114;480;F001 / F002;SEF + AIMA — combinado
2015;Irão;Feminino;32;240;F001 / F002;SEF + AIMA — combinado
2015;Irão;Masculino;33;305;F001 / F002;SEF + AIMA — combinado
2015;Islândia;Feminino;4;36;F001 / F002;SEF + AIMA — combinado
2015;Islândia;Masculino;2;26;F001 / F002;SEF + AIMA — combinado
2015;Israel;Feminino;8;50;F001 / F002;SEF + AIMA — combinado
2015;Israel;Masculino;10;58;F001 / F002;SEF + AIMA — combinado
2015;Itália;Feminino;705;2622;F001 / F002;SEF + AIMA — combinado
2015;Itália;Masculino;872;3508;F001 / F002;SEF + AIMA — combinado
2015;Iémen;Feminino;1;5;F001 / F002;SEF + AIMA — combinado
2015;Iémen;Masculino;1;13;F001 / F002;SEF + AIMA — combinado
2015;Jamaica;Feminino;1;7;F001 / F002;SEF + AIMA — combinado
2015;Jamaica;Masculino;0;5;F001 / F002;SEF + AIMA — combinado
2015;Japão;Feminino;24;224;F001 / F002;SEF + AIMA — combinado
2015;Japão;Masculino;16;173;F001 / F002;SEF + AIMA — combinado
2015;Jordânia;Feminino;28;58;F001 / F002;SEF + AIMA — combinado
2015;Jordânia;Masculino;31;80;F001 / F002;SEF + AIMA — combinado
2015;Kosovo;Feminino;3;12;F001 / F002;SEF + AIMA — combinado
2015;Kosovo;Masculino;3;15;F001 / F002;SEF + AIMA — combinado
2015;Kuwait;Feminino;0;0;F001 / F002;SEF + AIMA — combinado
2015;Kuwait;Masculino;1;1;F001 / F002;SEF + AIMA — combinado
2015;Laos;Feminino;0;5;F001 / F002;SEF + AIMA — combinado
