year;quarter;period;country;gdp_million_eur;source_id;source;unit;price_basis;seasonal_adjusted;notes
2007;Q1;2007-Q1;PT;43257.578;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2007;Q2;2007-Q2;PT;43601.315;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2007;Q3;2007-Q3;PT;43893.397;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2007;Q4;2007-Q4;PT;44731.111;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2008;Q1;2008-Q1;PT;44847.894;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2008;Q2;2008-Q2;PT;44902.251;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2008;Q3;2008-Q3;PT;44791.43;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2008;Q4;2008-Q4;PT;44561.206;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2009;Q1;2009-Q1;PT;43330.856;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2009;Q2;2009-Q2;PT;43671.527;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2009;Q3;2009-Q3;PT;44012.703;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2009;Q4;2009-Q4;PT;44401.351;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2010;Q1;2010-Q1;PT;44770.701;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2010;Q2;2010-Q2;PT;44732.876;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2010;Q3;2010-Q3;PT;45182.466;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2010;Q4;2010-Q4;PT;45174.308;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2011;Q1;2011-Q1;PT;44786.773;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2011;Q2;2011-Q2;PT;44256.146;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2011;Q3;2011-Q3;PT;44054.044;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2011;Q4;2011-Q4;PT;43221.038;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2012;Q1;2012-Q1;PT;42832.622;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2012;Q2;2012-Q2;PT;42011.582;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2012;Q3;2012-Q3;PT;41942.018;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2012;Q4;2012-Q4;PT;41752.528;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2013;Q1;2013-Q1;PT;42045.053;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2013;Q2;2013-Q2;PT;42433.846;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2013;Q3;2013-Q3;PT;42911.021;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2013;Q4;2013-Q4;PT;43285.729;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2014;Q1;2014-Q1;PT;43108.606;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2014;Q2;2014-Q2;PT;43115.977;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2014;Q3;2014-Q3;PT;43439.149;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2014;Q4;2014-Q4;PT;43522.93;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2015;Q1;2015-Q1;PT;44377.129;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2015;Q2;2015-Q2;PT;44677.519;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2015;Q3;2015-Q3;PT;45010.63;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2015;Q4;2015-Q4;PT;45327.431;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2016;Q1;2016-Q1;PT;45872.213;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2016;Q2;2016-Q2;PT;46139.406;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2016;Q3;2016-Q3;PT;46831.078;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2016;Q4;2016-Q4;PT;47538.052;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2017;Q1;2017-Q1;PT;47946.532;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2017;Q2;2017-Q2;PT;48587.418;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2017;Q3;2017-Q3;PT;49182.407;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2017;Q4;2017-Q4;PT;49792.779;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2018;Q1;2018-Q1;PT;50342.399;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2018;Q2;2018-Q2;PT;50917.168;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2018;Q3;2018-Q3;PT;51600.742;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2018;Q4;2018-Q4;PT;52137.337;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2019;Q1;2019-Q1;PT;52902.084;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2019;Q2;2019-Q2;PT;53135.131;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2019;Q3;2019-Q3;PT;53898.781;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2019;Q4;2019-Q4;PT;54553.899;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2020;Q1;2020-Q1;PT;52436.061;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2020;Q2;2020-Q2;PT;45407.09;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2020;Q3;2020-Q3;PT;51359.173;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2020;Q4;2020-Q4;PT;51830.381;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2021;Q1;2021-Q1;PT;51295.218;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2021;Q2;2021-Q2;PT;53216.284;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2021;Q3;2021-Q3;PT;55311.859;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2021;Q4;2021-Q4;PT;56670.384;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2022;Q1;2022-Q1;PT;58623.358;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2022;Q2;2022-Q2;PT;60096.759;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2022;Q3;2022-Q3;PT;61610.107;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2022;Q4;2022-Q4;PT;63626.862;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2023;Q1;2023-Q1;PT;66102.056;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2023;Q2;2023-Q2;PT;67070.033;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2023;Q3;2023-Q3;PT;68228.909;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2023;Q4;2023-Q4;PT;68951.617;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2024;Q1;2024-Q1;PT;71016.322;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2024;Q2;2024-Q2;PT;71794.887;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2024;Q3;2024-Q3;PT;72925.561;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2024;Q4;2024-Q4;PT;74047.547;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2025;Q1;2025-Q1;PT;74634.987;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2025;Q2;2025-Q2;PT;75940.667;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2025;Q3;2025-Q3;PT;77672.067;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2025;Q4;2025-Q4;PT;78501.834;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2026;Q1;2026-Q1;PT;79406.697;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
