year;quarter;period;country;gdp_chain_volume_million_eur;source_id;source;unit;price_basis;seasonal_adjusted;notes
1998;Q4;1998-Q4;PT;45913.711;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
1999;Q1;1999-Q1;PT;46487.903;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
1999;Q2;1999-Q2;PT;46732.218;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
1999;Q3;1999-Q3;PT;47183.862;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
1999;Q4;1999-Q4;PT;47464.041;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2000;Q1;2000-Q1;PT;48547.495;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2000;Q2;2000-Q2;PT;48225.58;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2000;Q3;2000-Q3;PT;48993.667;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2000;Q4;2000-Q4;PT;49270.659;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2001;Q1;2001-Q1;PT;49094.117;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2001;Q2;2001-Q2;PT;49612.236;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2001;Q3;2001-Q3;PT;49711.838;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2001;Q4;2001-Q4;PT;50410.098;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2002;Q1;2002-Q1;PT;50525.736;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2002;Q2;2002-Q2;PT;50244.791;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2002;Q3;2002-Q3;PT;49979.449;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2002;Q4;2002-Q4;PT;49611.129;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2003;Q1;2003-Q1;PT;49693.838;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2003;Q2;2003-Q2;PT;49275.941;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2003;Q3;2003-Q3;PT;49693.646;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2003;Q4;2003-Q4;PT;49833.278;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2004;Q1;2004-Q1;PT;50326.146;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2004;Q2;2004-Q2;PT;50638.312;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2004;Q3;2004-Q3;PT;50664.227;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2004;Q4;2004-Q4;PT;50418.599;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2005;Q1;2005-Q1;PT;50880.237;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2005;Q2;2005-Q2;PT;51019.251;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2005;Q3;2005-Q3;PT;50825.892;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2005;Q4;2005-Q4;PT;50901.606;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2006;Q1;2006-Q1;PT;51337.351;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2006;Q2;2006-Q2;PT;51798.865;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2006;Q3;2006-Q3;PT;51731.013;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2006;Q4;2006-Q4;PT;52068.767;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2007;Q1;2007-Q1;PT;52686.319;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2007;Q2;2007-Q2;PT;52836.202;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2007;Q3;2007-Q3;PT;52985.233;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
