region;year;establishments_count
Oeste e Vale do Tejo;2020;26902
Oeste e Vale do Tejo;2021;26497
Oeste e Vale do Tejo;2022;27499
Oeste e Vale do Tejo;2023;28008
Oeste e Vale do Tejo;2024;27903
Oeste;2014;12157
Oeste;2015;12279
Oeste;2016;12458
Oeste;2017;12690
Oeste;2018;12776
Oeste;2019;12579
Oeste;2020;12676
Oeste;2021;12522
Oeste;2022;13106
Oeste;2023;13372
Oeste;2024;13413
Medio Tejo;2014;7236
Medio Tejo;2015;7301
Medio Tejo;2016;7236
Medio Tejo;2017;7229
Medio Tejo;2018;7144
Medio Tejo;2019;6955
Medio Tejo;2020;6887
Medio Tejo;2021;6863
Medio Tejo;2022;7027
Medio Tejo;2023;7144
Medio Tejo;2024;7122
Leziria do Tejo;2014;7565
Leziria do Tejo;2015;7580
Leziria do Tejo;2016;7623
Leziria do Tejo;2017;7631
Leziria do Tejo;2018;7613
Leziria do Tejo;2019;7382
Leziria do Tejo;2020;7339
Leziria do Tejo;2021;7112
Leziria do Tejo;2022;7366
Leziria do Tejo;2023;7492
Leziria do Tejo;2024;7368
Grande Lisboa;2014;65289
Grande Lisboa;2015;65847
Grande Lisboa;2016;66220
Grande Lisboa;2017;66764
Grande Lisboa;2018;67989
Grande Lisboa;2019;66115
Grande Lisboa;2020;67101
Grande Lisboa;2021;64927
Grande Lisboa;2022;68270
Grande Lisboa;2023;70104
Grande Lisboa;2024;69821
Peninsula de Setubal;2014;16417
Peninsula de Setubal;2015;16509
Peninsula de Setubal;2016;16639
Peninsula de Setubal;2017;16803
Peninsula de Setubal;2018;16960
Peninsula de Setubal;2019;16656
Peninsula de Setubal;2020;17101
Peninsula de Setubal;2021;16860
Peninsula de Setubal;2022;17786
Peninsula de Setubal;2023;18085
Peninsula de Setubal;2024;18128
Alentejo;2014;16818
Alentejo;2015;16844
Alentejo;2016;16907
Alentejo;2017;16939
Alentejo;2018;16868
Alentejo;2019;16454
Alentejo;2020;16561
Alentejo;2021;16084
Alentejo;2022;17115
Alentejo;2023;17511
Alentejo;2024;17352
Alentejo Litoral;2014;3079
Alentejo Litoral;2015;3085
Alentejo Litoral;2016;3145
Alentejo Litoral;2017;3176
Alentejo Litoral;2018;3187
Alentejo Litoral;2019;3177
Alentejo Litoral;2020;3249
Alentejo Litoral;2021;3219
Alentejo Litoral;2022;3368
Alentejo Litoral;2023;3451
Alentejo Litoral;2024;3421
Baixo Alentejo;2014;4090
Baixo Alentejo;2015;4123
Baixo Alentejo;2016;4152
Baixo Alentejo;2017;4217
Baixo Alentejo;2018;4208
Baixo Alentejo;2019;4100
Baixo Alentejo;2020;4108
Baixo Alentejo;2021;4065
Baixo Alentejo;2022;4263
Baixo Alentejo;2023;4493
Baixo Alentejo;2024;4522
Alto Alentejo;2014;3518
Alto Alentejo;2015;3504
Alto Alentejo;2016;3523
Alto Alentejo;2017;3473
Alto Alentejo;2018;3444
Alto Alentejo;2019;3298
Alto Alentejo;2020;3302
Alto Alentejo;2021;3192
Alto Alentejo;2022;3433
