region;year;companies_count
Oeste e Vale do Tejo;2021;22539
Oeste e Vale do Tejo;2022;23397
Oeste e Vale do Tejo;2023;23798
Oeste e Vale do Tejo;2024;23734
Oeste;2014;10433
Oeste;2015;10563
Oeste;2016;10676
Oeste;2017;10940
Oeste;2018;11025
Oeste;2019;10864
Oeste;2020;10952
Oeste;2021;10812
Oeste;2022;11295
Oeste;2023;11504
Oeste;2024;11570
Medio Tejo;2014;6017
Medio Tejo;2015;6079
Medio Tejo;2016;6040
Medio Tejo;2017;6030
Medio Tejo;2018;5964
Medio Tejo;2019;5812
Medio Tejo;2020;5778
Medio Tejo;2021;5770
Medio Tejo;2022;5900
Medio Tejo;2023;6010
Medio Tejo;2024;5983
Leziria do Tejo;2014;6345
Leziria do Tejo;2015;6363
Leziria do Tejo;2016;6404
Leziria do Tejo;2017;6418
Leziria do Tejo;2018;6385
Leziria do Tejo;2019;6208
Leziria do Tejo;2020;6168
Leziria do Tejo;2021;5957
Leziria do Tejo;2022;6202
Leziria do Tejo;2023;6284
Leziria do Tejo;2024;6181
Grande Lisboa;2014;54415
Grande Lisboa;2015;55029
Grande Lisboa;2016;55354
Grande Lisboa;2017;56108
Grande Lisboa;2018;57209
Grande Lisboa;2019;55559
Grande Lisboa;2020;56643
Grande Lisboa;2021;54793
Grande Lisboa;2022;57854
Grande Lisboa;2023;59573
Grande Lisboa;2024;59232
Peninsula de Setubal;2014;13124
Peninsula de Setubal;2015;13250
Peninsula de Setubal;2016;13484
Peninsula de Setubal;2017;13666
Peninsula de Setubal;2018;13850
Peninsula de Setubal;2019;13653
Peninsula de Setubal;2020;14047
Peninsula de Setubal;2021;13853
Peninsula de Setubal;2022;14699
Peninsula de Setubal;2023;14910
Peninsula de Setubal;2024;14916
Alentejo;2014;13857
Alentejo;2015;13937
Alentejo;2016;14026
Alentejo;2017;14095
Alentejo;2018;14020
Alentejo;2019;13753
Alentejo;2020;13857
Alentejo;2021;13418
Alentejo;2022;14383
Alentejo;2023;14682
Alentejo;2024;14535
Alentejo Litoral;2014;2495
Alentejo Litoral;2015;2491
Alentejo Litoral;2016;2550
Alentejo Litoral;2017;2586
Alentejo Litoral;2018;2592
Alentejo Litoral;2019;2596
Alentejo Litoral;2020;2681
Alentejo Litoral;2021;2645
Alentejo Litoral;2022;2804
Alentejo Litoral;2023;2854
Alentejo Litoral;2024;2837
Baixo Alentejo;2014;3419
Baixo Alentejo;2015;3475
Baixo Alentejo;2016;3509
Baixo Alentejo;2017;3574
Baixo Alentejo;2018;3584
Baixo Alentejo;2019;3505
Baixo Alentejo;2020;3502
Baixo Alentejo;2021;3499
Baixo Alentejo;2022;3654
Baixo Alentejo;2023;3856
Baixo Alentejo;2024;3881
Alto Alentejo;2014;2917
Alto Alentejo;2015;2906
Alto Alentejo;2016;2929
Alto Alentejo;2017;2901
Alto Alentejo;2018;2878
Alto Alentejo;2019;2783
Alto Alentejo;2020;2770
Alto Alentejo;2021;2634
Alto Alentejo;2022;2877
Alto Alentejo;2023;2865
Alto Alentejo;2024;2787
Alentejo Central;2014;5026
Alentejo Central;2015;5065
Alentejo Central;2016;5038
Alentejo Central;2017;5034
Alentejo Central;2018;4966
Alentejo Central;2019;4869
Alentejo Central;2020;4904
Alentejo Central;2021;4640
Alentejo Central;2022;5048
Alentejo Central;2023;5107
Alentejo Central;2024;5030
Algarve;2014;15485
Algarve;2015;15831
Algarve;2016;16300
Algarve;2017;16481
Algarve;2018;17081
Algarve;2019;17191
Algarve;2020;16775
Algarve;2021;16329
Algarve;2022;17066
Algarve;2023;18237
Algarve;2024;18174
