year;district;contributors_count;source_id;source
2015;Aveiro;4935;F014;Segurança Social
2015;Beja;6313;F014;Segurança Social
2015;Braga;3646;F014;Segurança Social
2015;Bragança;991;F014;Segurança Social
2015;Castelo Branco;1097;F014;Segurança Social
2015;Coimbra;3460;F014;Segurança Social
2015;Faro;26507;F014;Segurança Social
2015;Guarda;766;F014;Segurança Social
2015;Leiria;6598;F014;Segurança Social
2015;Lisboa;99457;F014;Segurança Social
2015;Outro;3925;F014;Segurança Social
2015;Portalegre;1154;F014;Segurança Social
2015;Porto;11463;F014;Segurança Social
2015;Região Autónoma dos Açores;1139;F014;Segurança Social
2015;Região Autónoma da Madeira;1900;F014;Segurança Social
2015;Santarém;5961;F014;Segurança Social
2015;Setúbal;19332;F014;Segurança Social
2015;Viana do Castelo;1246;F014;Segurança Social
2015;Vila Real;758;F014;Segurança Social
2015;Viseu;1808;F014;Segurança Social
2015;Évora;1694;F014;Segurança Social
2016;Aveiro;5110;F014;Segurança Social
2016;Beja;6694;F014;Segurança Social
2016;Braga;3863;F014;Segurança Social
2016;Bragança;980;F014;Segurança Social
2016;Castelo Branco;1076;F014;Segurança Social
2016;Coimbra;3471;F014;Segurança Social
2016;Faro;27667;F014;Segurança Social
2016;Guarda;758;F014;Segurança Social
2016;Leiria;6691;F014;Segurança Social
2016;Lisboa;106803;F014;Segurança Social
2016;Outro;5047;F014;Segurança Social
2016;Portalegre;1111;F014;Segurança Social
2016;Porto;12100;F014;Segurança Social
2016;Região Autónoma dos Açores;1192;F014;Segurança Social
2016;Região Autónoma da Madeira;1949;F014;Segurança Social
2016;Santarém;5901;F014;Segurança Social
2016;Setúbal;20086;F014;Segurança Social
2016;Viana do Castelo;1268;F014;Segurança Social
2016;Vila Real;726;F014;Segurança Social
2016;Viseu;1754;F014;Segurança Social
2016;Évora;1630;F014;Segurança Social
2017;Aveiro;5799;F014;Segurança Social
2017;Beja;8122;F014;Segurança Social
2017;Braga;4840;F014;Segurança Social
2017;Bragança;1024;F014;Segurança Social
2017;Castelo Branco;1185;F014;Segurança Social
2017;Coimbra;3912;F014;Segurança Social
2017;Faro;32025;F014;Segurança Social
2017;Guarda;807;F014;Segurança Social
2017;Leiria;7177;F014;Segurança Social
2017;Lisboa;119419;F014;Segurança Social
2017;Outro;6578;F014;Segurança Social
2017;Portalegre;1160;F014;Segurança Social
2017;Porto;14493;F014;Segurança Social
2017;Região Autónoma dos Açores;1291;F014;Segurança Social
2017;Região Autónoma da Madeira;2243;F014;Segurança Social
2017;Santarém;6257;F014;Segurança Social
2017;Setúbal;22688;F014;Segurança Social
2017;Viana do Castelo;1511;F014;Segurança Social
2017;Vila Real;842;F014;Segurança Social
