year;district;beneficiaries_count;source_id;source
2015;Aveiro;2333;F014;Segurança Social
2015;Beja;1479;F014;Segurança Social
2015;Braga;1595;F014;Segurança Social
2015;Bragança;604;F014;Segurança Social
2015;Castelo Branco;529;F014;Segurança Social
2015;Coimbra;1716;F014;Segurança Social
2015;Faro;10994;F014;Segurança Social
2015;Guarda;364;F014;Segurança Social
2015;Leiria;2912;F014;Segurança Social
2015;Lisboa;37970;F014;Segurança Social
2015;Outro;714;F014;Segurança Social
2015;Portalegre;622;F014;Segurança Social
2015;Porto;5320;F014;Segurança Social
2015;Região Autónoma dos Açores;506;F014;Segurança Social
2015;Região Autónoma da Madeira;757;F014;Segurança Social
2015;Santarém;2697;F014;Segurança Social
2015;Setúbal;10419;F014;Segurança Social
2015;Viana do Castelo;541;F014;Segurança Social
2015;Vila Real;367;F014;Segurança Social
2015;Viseu;827;F014;Segurança Social
2015;Évora;779;F014;Segurança Social
2016;Aveiro;2144;F014;Segurança Social
2016;Beja;1435;F014;Segurança Social
2016;Braga;1575;F014;Segurança Social
2016;Bragança;670;F014;Segurança Social
2016;Castelo Branco;502;F014;Segurança Social
2016;Coimbra;1612;F014;Segurança Social
2016;Faro;10476;F014;Segurança Social
2016;Guarda;388;F014;Segurança Social
2016;Leiria;2665;F014;Segurança Social
2016;Lisboa;35069;F014;Segurança Social
2016;Outro;663;F014;Segurança Social
2016;Portalegre;545;F014;Segurança Social
2016;Porto;5110;F014;Segurança Social
2016;Região Autónoma dos Açores;475;F014;Segurança Social
2016;Região Autónoma da Madeira;704;F014;Segurança Social
2016;Santarém;2489;F014;Segurança Social
2016;Setúbal;9454;F014;Segurança Social
2016;Viana do Castelo;531;F014;Segurança Social
2016;Vila Real;331;F014;Segurança Social
2016;Viseu;717;F014;Segurança Social
2016;Évora;743;F014;Segurança Social
2017;Aveiro;2202;F014;Segurança Social
2017;Beja;1446;F014;Segurança Social
2017;Braga;1724;F014;Segurança Social
2017;Bragança;848;F014;Segurança Social
2017;Castelo Branco;550;F014;Segurança Social
2017;Coimbra;1648;F014;Segurança Social
2017;Faro;10758;F014;Segurança Social
2017;Guarda;440;F014;Segurança Social
2017;Leiria;2573;F014;Segurança Social
2017;Lisboa;34440;F014;Segurança Social
2017;Outro;683;F014;Segurança Social
2017;Portalegre;515;F014;Segurança Social
2017;Porto;5205;F014;Segurança Social
2017;Região Autónoma dos Açores;469;F014;Segurança Social
2017;Região Autónoma da Madeira;735;F014;Segurança Social
2017;Santarém;2458;F014;Segurança Social
2017;Setúbal;9020;F014;Segurança Social
2017;Viana do Castelo;527;F014;Segurança Social
2017;Vila Real;334;F014;Segurança Social
2017;Viseu;687;F014;Segurança Social
2017;Évora;684;F014;Segurança Social
2018;Aveiro;2600;F014;Segurança Social
2018;Beja;1734;F014;Segurança Social
2018;Braga;1974;F014;Segurança Social
2018;Bragança;1066;F014;Segurança Social
2018;Castelo Branco;552;F014;Segurança Social
2018;Coimbra;1722;F014;Segurança Social
2018;Faro;11636;F014;Segurança Social
2018;Guarda;548;F014;Segurança Social
2018;Leiria;2874;F014;Segurança Social
2018;Lisboa;35382;F014;Segurança Social
2018;Outro;878;F014;Segurança Social
2018;Portalegre;516;F014;Segurança Social
2018;Porto;5709;F014;Segurança Social
2018;Região Autónoma dos Açores;489;F014;Segurança Social
2018;Região Autónoma da Madeira;816;F014;Segurança Social
2018;Santarém;2679;F014;Segurança Social
2018;Setúbal;9784;F014;Segurança Social
2018;Viana do Castelo;591;F014;Segurança Social
2018;Vila Real;374;F014;Segurança Social
2018;Viseu;733;F014;Segurança Social
2018;Évora;675;F014;Segurança Social
2019;Aveiro;3486;F014;Segurança Social
2019;Beja;2179;F014;Segurança Social
2019;Braga;2552;F014;Segurança Social
2019;Bragança;1432;F014;Segurança Social
2019;Castelo Branco;767;F014;Segurança Social
2019;Coimbra;1955;F014;Segurança Social
2019;Faro;13650;F014;Segurança Social
2019;Guarda;586;F014;Segurança Social
2019;Leiria;3598;F014;Segurança Social
2019;Lisboa;39105;F014;Segurança Social
2019;Outro;913;F014;Segurança Social
2019;Portalegre;530;F014;Segurança Social
2019;Porto;7252;F014;Segurança Social
2019;Região Autónoma dos Açores;545;F014;Segurança Social
2019;Região Autónoma da Madeira;901;F014;Segurança Social
2019;Santarém;3272;F014;Segurança Social
2019;Setúbal;11206;F014;Segurança Social
2019;Viana do Castelo;776;F014;Segurança Social
2019;Vila Real;408;F014;Segurança Social
2019;Viseu;920;F014;Segurança Social
2019;Évora;806;F014;Segurança Social
2020;Aveiro;5827;F014;Segurança Social
2020;Beja;3690;F014;Segurança Social
2020;Braga;5248;F014;Segurança Social
2020;Bragança;1559;F014;Segurança Social
2020;Castelo Branco;1228;F014;Segurança Social
2020;Coimbra;3263;F014;Segurança Social
2020;Faro;20930;F014;Segurança Social
2020;Guarda;715;F014;Segurança Social
2020;Leiria;6019;F014;Segurança Social
2020;Lisboa;63842;F014;Segurança Social
2020;Outro;980;F014;Segurança Social
2020;Portalegre;740;F014;Segurança Social
2020;Porto;13875;F014;Segurança Social
2020;Região Autónoma dos Açores;810;F014;Segurança Social
2020;Região Autónoma da Madeira;1429;F014;Segurança Social
2020;Santarém;5081;F014;Segurança Social
2020;Setúbal;18636;F014;Segurança Social
2020;Viana do Castelo;1524;F014;Segurança Social
2020;Vila Real;647;F014;Segurança Social
2020;Viseu;1696;F014;Segurança Social
2020;Évora;1176;F014;Segurança Social
2021;Aveiro;6798;F014;Segurança Social
2021;Beja;5108;F014;Segurança Social
2021;Braga;6289;F014;Segurança Social
2021;Bragança;1723;F014;Segurança Social
2021;Castelo Branco;1622;F014;Segurança Social
2021;Coimbra;3932;F014;Segurança Social
2021;Faro;22894;F014;Segurança Social
2021;Guarda;760;F014;Segurança Social
2021;Leiria;7481;F014;Segurança Social
2021;Lisboa;71154;F014;Segurança Social
2021;Outro;1022;F014;Segurança Social
2021;Portalegre;870;F014;Segurança Social
2021;Porto;15758;F014;Segurança Social
2021;Região Autónoma dos Açores;757;F014;Segurança Social
2021;Região Autónoma da Madeira;1404;F014;Segurança Social
2021;Santarém;6205;F014;Segurança Social
2021;Setúbal;22469;F014;Segurança Social
2021;Viana do Castelo;2285;F014;Segurança Social
2021;Vila Real;729;F014;Segurança Social
2021;Viseu;2232;F014;Segurança Social
2021;Évora;1468;F014;Segurança Social
