Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Agregados Fiscais;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por agregado fiscal;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado por agregado fiscal (NUTS III=100);;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;Taxa de crescimento anual médio do rendimento bruto declarado deduzido do IRS liquidado por agregado fiscal (2020 - 2022);Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2021);;;Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2022);;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;25;50;75;90;10;20;25;30;40;50;60;70;75;80;90;2020;2022;P80/P20;P90/P10;;25;50;75;25;50;75;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;%;;;;;€;€;€;€;€;€;€;€;€;€;€;%;;Nº;Nº;%;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;;;;;;;;
PT;PT;Portugal;5 589 694;116 431 972;101 131 237;20 830;5 205;8 266;9 281;9 870;11 550;13 897;17 182;21 672;24 681;28 650;42 572;;;;;;5 148;8 190;9 213;9 870;11 061;13 121;16 044;20 110;22 461;25 537;35 830;41,3;40,9;3,1;7,0;4,6;3,9;3,8;3,7;4,4;5,4;3,6;;;;;;;;
1;NUTS 1; Continente;5 341 417;111 403 501;96 560 301;20 857;5 203;8 267;9 282;9 870;11 560;13 919;17 206;21 688;24 699;28 682;42 597;;;;;;5 145;8 190;9 212;9 870;11 060;13 128;16 046;20 097;22 437;25 515;35 772;41,3;40,9;3,1;7,0;4,6;4,0;3,8;3,7;4,2;5,4;3,5;;;;;;;;
11;NUTS 2;  Norte;1 887 669;36 720 473;32 344 221;19 453;5 188;8 096;9 135;9 823;11 146;13 279;16 199;20 293;22 778;26 356;39 140;;;;;;5 137;8 029;9 074;9 786;10 727;12 622;15 279;19 154;21 236;23 884;33 381;40,4;39,9;3,0;6,5;5,6;4,7;4,2;4,8;5,2;7,0;5,1;;;;;;;;
111;NUTS 3;   Alto Minho;122 995;2 168 616;1 949 759;17 632;4 779;7 507;8 663;9 588;10 776;12 605;15 085;19 052;21 399;24 357;35 219;100;100;100;100;100;4 714;7 451;8 595;9 541;10 453;12 008;14 298;17 881;20 138;22 497;30 694;39,1;38,6;3,0;6,5;5,4;5,5;4,8;4,8;5,2;6,0;6,0;;;;;;;;
1601;Município;Arcos de Valdevez;10 831;164 136;149 826;15 154;3 919;6 232;7 256;8 317;9 856;11 066;13 019;16 107;18 342;20 828;29 689;82;84;88;86;84;3 834;6 177;7 217;8 258;9 811;10 673;12 396;15 253;17 304;19 758;26 619;39,0;38,8;3,2;6,9;5,2;3,0;3,1;5,1;7,7;7,3;8,0;;;;;;;;
1602;Município;Caminha;8 726;161 060;142 203;18 457;4 416;7 176;8 335;9 316;10 733;12 671;15 420;19 645;22 274;25 522;37 261;92;96;101;104;106;4 353;7 123;8 274;9 232;10 391;12 002;14 590;18 330;20 594;23 244;31 862;41,0;40,5;3,3;7,3;4,4;4,3;4,5;6,1;4,3;4,3;5,4;;;;;;;;
1603;Município;Melgaço;3 889;60 060;54 435;15 444;3 989;6 778;8 037;8 984;10 080;11 555;13 638;16 840;18 914;21 630;30 742;83;93;92;88;87;3 882;6 691;7 934;8 894;9 972;11 021;12 871;15 686;17 602;20 156;26 942;37,4;37,2;3,0;6,9;4,3;4,3;2,9;1,6;5,1;5,7;6,9;;;;;;;;
