Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Agregados Fiscais;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por agregado fiscal;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;20;25;30;40;50;60;70;75;80;90;;P80/P20;P90/P10;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;€;€;€;€;€;€;€;€;€;€;€;;Nº;Nº;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;;;;;;;;
0111;Município;Mealhada;9 912;178 301;161 099;17 988;5 277;8 016;8 890;9 446;10 996;13 136;15 994;20 072;22 665;25 731;36 001;5 266;7 995;8 890;9 319;10 612;12 484;15 075;18 812;21 059;23 669;31 400;37,4;3,0;6,0;;;;;;;;
0608;Município;Mira;5 863;96 995;87 238;16 544;4 362;6 724;7 902;8 796;9 833;11 688;13 929;17 517;19 823;22 946;33 501;4 305;6 683;7 842;8 769;9 545;11 144;13 256;16 528;18 419;21 270;29 333;39,6;3,2;6,8;;;;;;;;
0609;Município;Miranda do Corvo;5 854;95 126;87 166;16 250;5 175;7 651;8 591;9 099;10 330;12 072;14 585;18 019;20 221;22 837;30 939;5 174;7 624;8 573;9 077;9 998;11 577;13 817;17 075;18 964;21 320;28 091;36,0;2,8;5,4;;;;;;;;
0610;Município;Montemor-o-Velho;12 114;217 690;197 391;17 970;5 859;8 373;9 018;9 611;11 273;13 371;16 297;20 391;22 862;25 666;34 945;5 859;8 342;9 004;9 325;10 825;12 718;15 371;18 981;21 152;23 533;30 918;35,9;2,8;5,3;;;;;;;;
1808;Município;Mortágua;4 531;71 540;65 480;15 789;4 971;7 620;8 481;8 943;10 014;11 552;13 753;17 224;19 456;21 676;29 790;4 949;7 615;8 441;8 926;9 694;11 126;13 129;16 273;18 224;20 265;26 708;36,3;2,7;5,4;;;;;;;;
0611;Município;Oliveira do Hospital;9 408;139 818;129 803;14 862;5 215;7 397;8 295;8 836;9 501;10 921;13 110;16 509;18 247;20 303;28 147;5 185;7 363;8 254;8 818;9 315;10 612;12 604;15 764;17 634;19 396;25 819;35,1;2,6;5,0;;;;;;;;
0612;Município;Pampilhosa da Serra;1 766;25 870;24 142;14 649;5 859;7 643;8 520;8 890;9 740;11 370;13 720;16 568;18 255;20 019;26 505;5 859;7 634;8 494;8 890;9 498;10 970;12 959;15 768;17 492;18 898;24 315;31,9;2,5;4,1;;;;;;;;
0613;Município;Penacova;6 715;100 219;92 909;14 925;4 895;7 061;8 105;8 888;9 837;11 438;13 471;16 784;18 755;21 398;28 664;4 848;7 024;8 091;8 860;9 578;10 978;12 925;15 822;17 885;20 136;26 040;35,0;2,9;5,4;;;;;;;;
0614;Município;Penela;2 719;41 962;38 387;15 433;5 082;7 236;7 989;8 772;9 513;10 968;13 255;16 797;19 139;21 681;29 278;5 076;7 215;7 922;8 742;9 315;10 606;12 674;15 764;18 097;20 345;26 570;36,6;2,8;5,2;;;;;;;;
0615;Município;Soure;8 702;151 774;138 273;17 441;5 859;8 384;8 999;9 574;11 228;13 190;15 865;19 954;22 344;25 075;33 863;5 859;8 368;8 984;9 315;10 753;12 539;15 032;18 669;20 776;23 059;29 913;35,0;2,8;5,1;;;;;;;;
0616;Município;Tábua;5 495;80 946;74 841;14 731;4 696;6 854;7 800;8 597;9 233;10 327;12 168;15 243;17 303;18 920;26 882;4 667;6 825;7 755;8 556;9 226;10 060;11 837;14 598;16 454;18 216;24 524;38,2;2,7;5,3;;;;;;;;
0617;Município;Vila Nova de Poiares;3 524;52 637;48 542;14 937;4 701;7 055;8 167;8 890;9 650;11 178;13 250;16 454;18 735;21 492;29 452;4 666;7 000;8 097;8 890;9 402;10 700;12 471;15 517;17 783;20 118;26 373;36,2;2,9;5,7;;;;;;;;
193;NUTS 3;   Região de Leiria;146 168;2 658 020;2 378 598;18 185;5 400;8 121;8 890;9 399;11 017;13 070;15 825;19 886;22 505;25 634;35 750;5 359;8 073;8 890;9 315;10 583;12 408;14 901;18 460;20 825;23 417;31 135;37,7;2,9;5,8;;;;;;;;
1002;Município;Alvaiázere;2 987;42 521;39 277;14 235;4 792;6 953;7 634;8 422;9 301;10 651;12 559;15 461;17 222;19 670;27 400;4 792;6 927;7 620;8 389;9 251;10 280;12 015;14 731;16 459;18 418;24 688;35,2;2,7;5,2;;;;;;;;
1003;Município;Ansião;5 607;86 773;79 875;15 476;5 281;7 559;8 366;8 890;9 908;11 403;13 661;16 866;18 817;21 554;29 974;5 264;7 513;8 334;8 890;9 624;10 969;13 033;15 943;17 878;20 132;26 773;35,4;2,7;5,1;;;;;;;;
1004;Município;Batalha;7 948;141 284;127 968;17 776;5 651;8 323;8 921;9 469;11 111;13 152;15 906;19 939;22 333;25 163;34 126;5 624;8 277;8 891;9 317;10 677;12 460;15 003;18 546;20 803;23 151;30 357;36,4;2,8;5,4;;;;;;;;
1007;Município;Castanheira de Pêra;1 407;19 856;18 461;14 112;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;
1008;Município;Figueiró dos Vinhos;2 713;39 755;36 527;14 653;4 792;7 011;7 743;8 525;9 370;10 651;12 765;16 046;18 092;20 356;29 197;4 792;6 985;7 735;8 509;9 314;10 358;12 168;15 079;17 141;19 011;25 764;35,7;2,7;5,4;;;;;;;;
1009;Município;Leiria;66 072;1 305 235;1 151 461;19 755;5 532;8 426;9 056;9 723;11 539;13 850;17 025;21 702;24 540;28 000;39 479;5 514;8 372;9 031;9 401;11 040;13 080;15 894;20 030;22 453;25 234;33 789;38,7;3,0;6,1;;;;;;;;
1010;Município;Marinha Grande;21 099;394 174;351 599;18 682;5 385;8 416;9 063;9 790;11 629;13 814;16 696;20 758;23 471;26 619;36 483;5 357;8 362;9 032;9 470;11 095;13 086;15 535;19 120;21 454;24 096;31 632;37,1;2,9;5,9;;;;;;;;
1013;Município;Pedrógão Grande;1 794;24 508;22 722;13 661;4 559;6 742;7 442;8 064;9 031;10 137;11 823;15 090;16 891;19 034;26 375;4 548;6 716;7 442;8 050;9 031;9 933;11 454;14 037;15 871;17 800;23 867;35,4;2,7;5,2;;;;;;;;
1015;Município;Pombal;24 789;408 244;372 334;16 469;5 063;7 837;8 748;9 160;10 582;12 322;14 737;18 317;20 550;23 066;31 594;5 009;7 782;8 705;9 131;10 189;11 795;13 988;17 118;19 129;21 545;28 289;36,1;2,8;5,6;;;;;;;;
1016;Município;Porto de Mós;11 752;195 671;178 375;16 650;5 527;8 071;8 852;9 209;10 534;12 267;14 699;18 251;20 614;23 366;31 983;5 497;8 006;8 826;9 170;10 173;11 745;13 985;17 091;19 204;21 684;28 610;35,8;2,7;5,2;;;;;;;;
194;NUTS 3;   Viseu Dão Lafões;117 393;2 061 014;1 851 256;17 557;5 008;7 620;8 631;9 055;10 311;12 159;14 962;18 954;21 430;24 481;35 090;4 979;7 620;8 596;9 031;9 983;11 664;14 193;17 930;20 063;22 548;30 520;38,7;3,0;6,1;;;;;;;;
0901;Município;Aguiar da Beira;2 171;32 541;30 105;14 989;5 051;7 436;8 341;8 890;9 529;10 892;13 189;16 307;18 053;20 225;28 498;4 984;7 409;8 331;8 890;9 333;10 551;12 666;15 589;17 371;19 300;25 633;35,7;2,6;5,1;;;;;;;;
1802;Município;Carregal do Sal;4 053;62 938;57 876;15 529;5 055;7 664;8 673;9 007;9 897;11 281;13 744;16 974;18 965;21 258;29 917;5 037;7 620;8 651;8 989;9 594;10 894;13 131;16 241;17 933;20 056;26 829;35,8;2,6;5,3;;;;;;;;
1803;Município;Castro Daire;5 977;80 353;74 757;13 444;4 002;6 240;7 056;7 806;8 962;10 029;11 719;14 456;16 481;18 492;25 891;4 002;6 214;7 012;7 795;8 937;9 847;11 379;13 931;15 737;17 595;23 668;36,6;2,8;5,9;;;;;;;;
1806;Município;Mangualde;8 558;144 210;131 233;16 851;5 484;7 975;8 819;9 149;10 559;12 448;15 286;18 885;21 011;23 478;31 644;5 432;7 935;8 789;9 124;10 249;11 881;14 447;17 883;19 623;21 833;28 327;36,1;2,8;5,2;;;;;;;;
1809;Município;Nelas;6 227;105 801;95 588;16 991;5 152;7 620;8 578;9 070;10 292;12 162;14 843;18 560;20 857;23 381;32 567;5 140;7 614;8 542;9 053;9 992;11 686;14 011;17 551;19 538;21 856;28 766;37,5;2,9;5,6;;;;;;;;
1810;Município;Oliveira de Frades;4 630;71 945;66 214;15 539;5 171;7 737;8 724;9 055;9 932;11 380;13 576;16 993;19 162;21 737;29 874;5 140;7 696;8 707;9 038;9 624;10 925;12 979;16 100;18 093;20 431;27 111;35,4;2,7;5,3;;;;;;;;
1811;Município;Penalva do Castelo;3 176;45 846;42 667;14 435;4 590;6 689;7 860;8 745;9 500;10 921;12 907;16 108;17 914;20 011;27 684;4 546;6 668;7 836;8 720;9 318;10 529;12 468;15 314;17 143;18 809;25 607;35,6;2,8;5,6;;;;;;;;
1814;Município;Santa Comba Dão;5 193;82 842;75 772;15 953;5 251;7 667;8 536;9 007;10 075;11 722;13 853;17 425;19 522;22 042;31 010;5 242;7 624;8 515;8 993;9 709;11 232;13 357;16 417;18 301;20 591;27 335;35,9;2,7;5,2;;;;;;;;
1816;Município;São Pedro do Sul;6 971;106 473;97 396;15 274;4 548;6 984;8 065;8 793;9 583;10 902;12 934;16 298;18 355;20 783;29 443;4 532;6 953;8 009;8 778;9 319;10 524;12 476;15 470;17 596;19 575;26 498;37,5;2,8;5,8;;;;;;;;
1817;Município;Sátão;5 037;76 297;70 092;15 147;4 323;6 679;7 693;8 635;9 539;10 940;13 199;16 868;18 687;21 239;29 202;4 286;6 613;7 656;8 613;9 315;10 597;12 659;16 115;17 932;19 929;26 321;37,6;3,0;6,1;;;;;;;;
1821;Município;Tondela;12 272;202 152;184 013;16 473;5 472;7 912;8 782;9 183;10 439;12 076;14 386;17 780;20 142;22 951;31 656;5 458;7 874;8 744;9 157;10 092;11 586;13 632;16 787;18 911;21 400;28 229;36,0;2,7;5,2;;;;;;;;
1822;Município;Vila Nova de Paiva;1 886;28 021;25 714;14 857;4 388;6 740;7 697;8 482;9 232;10 759;12 715;15 961;18 594;20 939;29 688;4 352;6 730;7 623;8 469;9 189;10 422;12 217;15 180;17 652;19 591;26 595;37,4;2,9;6,1;;;;;;;;
1823;Município;Viseu;46 811;953 327;837 160;20 365;5 173;8 115;8 890;9 405;11 132;13 649;17 505;22 309;25 353;29 146;42 849;5 129;8 071;8 890;9 316;10 753;13 005;16 455;20 765;23 029;26 085;35 813;40,5;3,2;7,0;;;;;;;;
1824;Município;Vouzela;4 431;68 268;62 669;15 407;5 236;7 620;8 574;9 031;10 017;11 341;13 547;17 112;19 178;21 486;28 629;5 209;7 578;8 546;9 030;9 677;10 889;13 019;16 209;18 293;20 194;25 933;35,0;2,7;5,0;;;;;;;;
195;NUTS 3;   Beira Baixa;49 356;851 327;765 171;17 249;5 341;7 661;8 588;9 031;10 250;12 119;14 803;18 573;21 096;24 125;34 314;5 311;7 630;8 562;9 030;9 895;11 620;14 042;17 493;19 607;22 105;29 956;37,8;2,9;5,6;;;;;;;;
0502;Município;Castelo Branco;26 871;517 896;458 467;19 273;5 595;8 289;8 951;9 455;11 122;13 401;16 704;21 238;24 128;27 360;39 219;5 567;8 242;8 924;9 315;10 700;12 715;15 600;19 709;22 042;24 603;33 365;38,5;3,0;6,0;;;;;;;;
0505;Município;Idanha-a-Nova;4 247;61 295;56 630;14 433;5 214;7 326;8 084;8 788;9 521;10 701;12 632;15 674;17 719;19 836;26 409;5 180;7 292;8 045;8 760;9 320;10 347;12 039;14 825;16 582;18 529;24 255;34,3;2,5;4,7;;;;;;;;
0506;Município;Oleiros;2 399;34 817;32 128;14 513;5 112;6 921;7 651;8 411;9 183;10 509;12 297;15 027;16 871;18 947;27 553;5 068;6 872;7 620;8 393;9 162;10 166;11 916;14 363;16 068;17 964;25 136;36,4;2,6;5,0;;;;;;;;
0507;Município;Penamacor;2 174;31 882;29 295;14 665;5 040;7 367;8 223;8 878;9 704;11 046;13 097;15 798;17 851;19 809;27 141;5 040;7 356;8 199;8 866;9 396;10 675;12 588;14 948;16 616;18 480;24 557;34,7;2,5;4,9;;;;;;;;
0508;Município;Proença-a-Nova;3 443;54 007;49 165;15 686;4 923;7 166;7 995;8 794;9 729;11 275;13 712;17 329;19 512;22 272;31 084;4 884;7 118;7 990;8 764;9 450;10 839;13 054;16 341;18 263;20 458;26 955;36,7;2,9;5,5;;;;;;;;
0511;Município;Vila Velha de Ródão;1 666;27 286;24 887;16 378;6 049;8 334;8 951;9 183;10 672;12 653;15 124;18 442;20 604;23 347;31 223;5 952;8 306;8 945;9 173;10 353;12 066;14 100;17 093;19 110;21 576;27 773;33,2;2,6;4,7;;;;;;;;
0509;Município;Sertã;7 009;101 200;93 232;14 439;4 733;6 648;7 559;8 354;9 216;10 496;12 495;15 459;17 579;19 684;27 393;4 723;6 626;7 548;8 311;9 198;10 206;11 970;14 823;16 648;18 484;24 848;36,7;2,8;5,3;;;;;;;;
0510;Município;Vila de Rei;1 547;22 943;21 367;14 831;5 492;7 579;8 321;8 890;9 733;11 346;13 699;16 717;18 601;21 024;27 680;5 492;7 573;8 292;8 890;9 478;11 009;13 067;15 586;17 634;19 835;25 257;33,7;2,6;4,6;;;;;;;;
196;NUTS 3;   Beiras e Serra da Estrela;103 529;1 722 453;1 557 588;16 637;5 080;7 522;8 426;8 903;9 994;11 706;14 126;17 686;19 899;22 852;32 986;5 048;7 476;8 379;8 890;9 699;11 258;13 513;16 772;18 669;21 196;28 956;37,8;2,8;5,7;;;;;;;;
0902;Município;Almeida;3 040;48 537;44 190;15 966;4 839;7 189;8 299;8 974;10 137;12 202;14 879;18 395;20 221;22 820;30 450;4 792;7 150;8 243;8 953;9 900;11 647;14 183;17 104;18 830;20 797;27 055;35,8;2,9;5,6;;;;;;;;
0501;Município;Belmonte;2 940;44 233;40 903;15 045;5 033;7 513;8 250;8 834;9 605;11 081;13 410;16 644;17 961;20 139;29 337;5 020;7 445;8 220;8 827;9 327;10 738;12 988;15 795;17 334;19 153;26 267;35,5;2,6;5,2;;;;;;;;
0903;Município;Celorico da Beira;3 019;45 793;42 265;15 168;4 792;7 016;8 100;8 890;9 748;11 269;13 506;16 850;18 393;20 814;29 358;4 792;7 010;8 068;8 890;9 501;10 838;12 900;15 947;17 817;19 662;26 879;36,1;2,8;5,6;;;;;;;;
0503;Município;Covilhã;23 989;413 354;371 140;17 231;5 527;7 937;8 737;9 029;10 154;11 828;14 188;17 612;19 913;23 082;34 452;5 508;7 897;8 699;9 009;9 812;11 417;13 562;16 739;18 656;21 370;29 984;38,0;2,7;5,4;;;;;;;;
0904;Município;Figueira de Castelo Rodrigo;2 592;37 233;34 335;14 364;4 213;6 365;7 094;7 847;9 032;10 262;12 199;15 097;17 127;19 572;29 695;4 169;6 358;7 088;7 847;9 031;9 993;11 772;14 396;16 385;18 347;26 506;38,2;2,9;6,4;;;;;;;;
0905;Município;Fornos de Algodres;1 889;27 321;25 210;14 463;4 593;6 995;7 784;8 610;9 391;10 892;12 875;15 719;17 372;19 560;27 595;4 553;6 985;7 784;8 598;9 315;10 543;12 367;15 029;16 666;18 346;24 728;35,6;2,6;5,4;;;;;;;;
0504;Município;Fundão;13 120;207 815;189 399;15 840;4 792;7 327;8 294;8 890;9 829;11 473;13 856;17 152;19 159;21 868;30 850;4 792;7 290;8 257;8 890;9 539;11 065;13 231;16 204;18 128;20 331;27 430;36,9;2,8;5,7;;;;;;;;
0906;Município;Gouveia;5 870;88 085;80 734;15 006;4 792;6 854;7 723;8 568;9 437;10 787;12 831;15 925;17 947;20 261;29 538;4 792;6 838;7 695;8 535;9 315;10 501;12 359;15 193;17 009;19 198;26 469;36,9;2,8;5,5;;;;;;;;
0907;Município;Guarda;19 506;394 047;347 392;20 201;5 527;8 335;8 997;9 589;11 381;13 967;17 549;22 143;25 253;28 994;41 983;5 514;8 269;8 968;9 315;10 988;13 264;16 466;20 598;23 027;25 965;35 406;39,4;3,1;6,4;;;;;;;;
0908;Município;Manteigas;1 559;22 552;20 894;14 466;5 401;7 620;8 496;8 890;9 640;10 786;12 326;14 972;16 493;18 997;26 623;5 400;7 590;8 458;8 890;9 337;10 534;11 989;14 308;15 695;18 083;24 629;34,1;2,4;4,6;;;;;;;;
0909;Município;Mêda;2 110;30 983;28 365;14 684;4 391;6 688;7 620;8 412;9 263;10 735;12 807;15 798;17 705;19 765;28 837;4 391;6 678;7 620;8 324;9 221;10 438;12 227;15 006;16 914;18 868;25 479;36,6;2,8;5,8;;;;;;;;
0910;Município;Pinhel;4 103;59 523;54 944;14 507;4 618;6 676;7 562;8 351;9 261;10 651;12 704;15 984;17 904;20 279;27 837;4 540;6 656;7 559;8 304;9 218;10 413;12 232;15 237;17 061;19 043;25 230;36,2;2,9;5,6;;;;;;;;
0911;Município;Sabugal;5 008;74 663;68 608;14 909;4 458;6 973;7 904;8 750;9 738;11 219;13 201;16 295;18 403;20 788;28 902;4 410;6 940;7 845;8 699;9 470;10 802;12 651;15 373;17 182;19 307;26 000;36,4;2,8;5,9;;;;;;;;
0912;Município;Seia;10 876;169 292;155 342;15 566;5 360;7 514;8 307;8 890;9 781;11 171;13 275;16 599;18 644;21 317;30 255;5 328;7 478;8 273;8 890;9 460;10 808;12 799;15 803;17 843;20 034;26 963;36,0;2,7;5,1;;;;;;;;
0913;Município;Trancoso;3 908;59 022;53 867;15 103;4 232;6 597;7 650;8 496;9 300;10 551;12 673;16 197;18 224;20 754;29 247;4 215;6 582;7 620;8 433;9 257;10 258;12 136;15 278;17 398;19 389;26 380;38,5;2,9;6,3;;;;;;;;
1D;NUTS 2;Oeste e Vale do Tejo;415 901;7 253 685;6 507 473;17 441;4 949;7 606;8 527;9 031;10 377;12 242;14 903;18 739;21 354;24 513;35 000;4 920;7 576;8 491;9 006;10 021;11 718;14 110;17 606;19 852;22 471;30 463;38,6;3,0;6,2;;;;;;;;
1D1;NUTS 3;Oeste;186 636;3 249 499;2 909 446;17 411;4 792;7 499;8 426;8 944;10 233;12 060;14 756;18 573;21 228;24 371;34 972;4 792;7 449;8 392;8 916;9 879;11 550;13 982;17 469;19 700;22 352;30 406;39,1;3,0;6,3;;;;;;;;
1001;Município;Alcobaça;28 203;467 158;424 182;16 564;5 384;7 847;8 678;9 080;10 341;12 066;14 421;17 914;20 189;23 031;31 376;5 333;7 794;8 641;9 061;9 983;11 518;13 731;16 846;18 954;21 442;28 133;36,4;2,8;5,3;;;;;;;;
1101;Município;Alenquer;22 448;407 253;365 085;18 142;5 297;7 975;8 880;9 350;10 921;12 990;15 967;20 057;22 592;25 719;35 917;5 271;7 934;8 848;9 315;10 514;12 375;15 022;18 603;20 962;23 438;31 339;37,9;3,0;5,9;;;;;;;;
1102;Município;Arruda dos Vinhos;7 058;154 192;134 055;21 846;5 701;8 571;9 091;9 902;11 718;14 569;18 268;23 362;26 576;30 801;46 272;5 639;8 514;9 075;9 591;11 215;13 755;17 053;21 142;24 271;27 417;39 131;40,9;3,2;6,9;;;;;;;;
1005;Município;Bombarral;6 266;100 934;91 279;16 108;4 553;7 023;7 958;8 743;9 713;11 302;13 660;17 072;19 341;22 561;31 948;4 511;6 984;7 922;8 719;9 475;10 930;13 061;15 981;18 177;20 893;28 233;38,4;3,0;6,3;;;;;;;;
1104;Município;Cadaval;6 455;104 186;94 505;16 140;4 581;7 012;7 932;8 785;9 725;11 500;14 136;17 500;19 813;22 508;31 491;4 491;6 984;7 912;8 763;9 481;11 084;13 470;16 493;18 430;20 897;28 020;38,2;3,0;6,2;;;;;;;;
1006;Município;Caldas da Rainha;26 966;469 816;418 314;17 423;4 289;7 065;8 091;8 867;9 943;11 839;14 475;18 361;21 125;24 338;35 789;4 230;6 992;8 038;8 831;9 635;11 326;13 770;17 280;19 525;22 202;30 808;40,6;3,2;7,3;;;;;;;;
1108;Município;Lourinhã;13 312;221 718;199 162;16 656;4 445;7 051;8 029;8 840;9 896;11 660;14 092;17 739;20 286;23 535;33 511;4 418;6 984;7 986;8 799;9 614;11 181;13 450;16 721;18 846;21 533;29 231;39,1;3,1;6,6;;;;;;;;
1011;Município;Nazaré;7 899;123 991;112 574;15 697;4 192;6 905;7 860;8 708;9 787;11 396;13 661;16 842;18 989;21 813;30 642;4 138;6 854;7 811;8 654;9 490;10 980;13 135;15 871;17 929;20 265;27 278;38,1;3,0;6,6;;;;;;;;
1012;Município;Óbidos;5 944;102 870;91 887;17 306;4 512;7 016;8 033;8 838;9 861;11 657;14 240;18 193;20 607;23 416;35 191;4 434;6 999;7 984;8 818;9 571;11 182;13 570;17 074;19 168;21 754;30 762;40,7;3,1;6,9;;;;;;;;
1014;Município;Peniche;13 625;226 241;204 667;16 605;4 753;7 520;8 401;8 890;10 035;11 791;14 329;18 038;20 333;23 503;32 963;4 734;7 467;8 366;8 890;9 706;11 319;13 733;17 039;19 017;21 588;28 991;37,9;2,9;6,1;;;;;;;;
1112;Município;Sobral de Monte Agraço;5 286;97 667;86 807;18 477;4 940;7 664;8 585;9 038;10 510;12 430;15 656;19 808;22 651;26 219;37 883;4 880;7 638;8 556;9 009;10 103;11 917;14 755;18 289;21 014;23 781;32 434;39,9;3,1;6,6;;;;;;;;
1113;Município;Torres Vedras;43 174;773 473;686 929;17 915;4 792;7 497;8 433;8 924;10 158;12 027;14 776;18 965;21 838;25 274;36 786;4 741;7 446;8 398;8 898;9 824;11 494;14 005;17 780;20 236;22 974;31 580;40,0;3,1;6,7;;;;;;;;
1D2;NUTS 3;   Médio Tejo;107 683;1 879 360;1 691 671;17 453;5 245;7 784;8 720;9 152;10 564;12 466;15 147;18 962;21 551;24 700;35 056;5 207;7 749;8 683;9 126;10 201;11 900;14 323;17 810;20 048;22 646;30 450;37,7;2,9;5,8;;;;;;;;
1401;Município;Abrantes;17 618;305 246;274 782;17 326;5 293;7 735;8 632;9 108;10 463;12 284;14 749;18 496;21 139;24 361;34 893;5 269;7 735;8 607;9 096;10 133;11 766;14 027;17 384;19 611;22 371;30 097;37,7;2,9;5,7;;;;;;;;
1402;Município;Alcanena;6 772;103 620;95 065;15 301;5 005;7 549;8 410;8 931;9 975;11 419;13 455;16 412;18 390;21 060;28 765;4 988;7 515;8 358;8 898;9 624;10 973;12 796;15 557;17 615;19 866;26 115;35,4;2,6;5,2;;;;;;;;
1408;Município;Constância;1 979;36 013;32 443;18 198;5 694;8 366;9 031;9 492;11 065;13 178;16 788;20 948;23 377;26 526;36 955;5 671;8 361;9 015;9 315;10 650;12 659;15 756;19 282;21 453;23 936;31 865;36,4;2,9;5,6;;;;;;;;
1410;Município;Entroncamento;10 237;218 895;192 579;21 383;5 708;8 804;9 457;10 524;12 781;15 807;19 824;25 019;27 907;31 559;43 965;5 676;8 792;9 315;10 165;12 114;14 791;18 272;22 492;24 935;27 796;36 900;38,0;3,2;6,5;;;;;;;;
1411;Município;Ferreira do Zêzere;3 840;55 753;51 863;14 519;4 873;7 006;7 900;8 721;9 740;11 163;13 212;16 306;18 119;20 257;27 003;4 859;7 005;7 868;8 678;9 435;10 760;12 711;15 372;17 324;19 315;24 545;34,7;2,8;5,1;;;;;;;;
1413;Município;Mação;3 221;50 037;45 879;15 534;5 566;7 779;8 614;9 009;9 875;11 400;13 510;16 778;18 718;21 258;30 526;5 559;7 746;8 586;8 980;9 583;10 930;12 905;15 977;17 741;19 737;26 788;34,9;2,5;4,8;;;;;;;;
1421;Município;Ourém;22 031;354 600;323 240;16 095;4 834;7 552;8 480;8 944;10 099;11 746;14 155;17 737;19 894;22 649;31 392;4 792;7 488;8 440;8 906;9 748;11 270;13 445;16 665;18 673;21 248;28 098;36,8;2,8;5,9;;;;;;;;
1417;Município;Sardoal;1 896;29 862;27 174;15 750;5 368;7 606;8 530;8 962;9 741;11 436;13 414;16 450;18 530;21 074;30 404;5 368;7 593;8 507;8 958;9 482;10 976;12 874;15 527;17 497;19 891;26 871;36,1;2,6;5,0;;;;;;;;
1418;Município;Tomar;18 868;329 583;294 175;17 468;4 792;7 445;8 360;8 972;10 279;12 148;14 754;18 488;21 190;24 468;35 981;4 792;7 401;8 314;8 937;9 938;11 650;13 922;17 345;19 627;22 393;30 982;39,1;3,0;6,5;;;;;;;;
1419;Município;Torres Novas;17 629;325 600;291 569;18 470;5 649;8 242;8 926;9 502;11 114;13 136;16 074;20 232;23 008;26 379;37 169;5 612;8 206;8 904;9 315;10 682;12 560;15 100;18 862;21 240;23 951;32 108;37,5;2,9;5,7;;;;;;;;
1420;Município;Vila Nova da Barquinha;3 592;70 152;62 901;19 530;6 253;8 890;9 287;10 022;11 927;14 613;17 956;22 694;25 462;28 904;39 213;6 253;8 881;9 253;9 748;11 353;13 826;16 829;20 773;23 086;25 962;33 708;36,1;2,9;5,4;;;;;;;;
1D3;NUTS 3;   Lezíria do Tejo;121 582;2 124 827;1 906 357;17 476;4 960;7 575;8 489;9 031;10 437;12 325;14 917;18 770;21 403;24 543;35 007;4 936;7 551;8 455;9 009;10 083;11 785;14 130;17 621;19 885;22 496;30 545;38,5;3,0;6,2;;;;;;;;
1403;Município;Almeirim;11 398;180 754;164 464;15 858;4 386;6 713;7 710;8 531;9 704;11 366;13 517;17 078;19 588;22 755;32 528;4 361;6 681;7 670;8 509;9 445;10 926;12 996;16 098;18 323;21 086;28 731;38,6;3,2;6,6;;;;;;;;
1404;Município;Alpiarça;3 634;57 648;52 676;15 863;4 715;6 890;7 756;8 628;9 773;11 332;13 514;16 721;19 029;22 160;31 964;4 709;6 858;7 747;8 604;9 520;10 986;13 004;15 953;17 906;20 688;28 377;38,1;3,0;6,0;;;;;;;;
1103;Município;Azambuja;10 798;187 073;169 134;17 325;5 207;7 849;8 785;9 260;10 788;12 727;15 356;19 235;21 589;24 596;34 264;5 183;7 810;8 752;9 229;10 392;12 116;14 459;17 897;20 109;22 713;30 330;37,2;2,9;5,9;;;;;;;;
1405;Município;Benavente;15 096;276 710;246 131;18 330;4 897;7 778;8 770;9 140;10 651;12 676;15 624;19 700;22 486;25 826;36 602;4 871;7 744;8 743;9 112;10 275;12 111;14 765;18 400;20 861;23 518;31 567;39,2;3,0;6,5;;;;;;;;
1406;Município;Cartaxo;12 267;220 441;197 653;17 970;5 139;7 928;8 832;9 381;11 015;13 200;15 984;19 910;22 512;25 365;35 639;5 112;7 900;8 784;9 315;10 603;12 520;15 005;18 519;20 754;23 167;30 882;37,6;2,9;6,0;;;;;;;;
1407;Município;Chamusca;4 375;64 662;59 822;14 780;5 610;7 573;8 269;8 900;9 887;11 218;13 058;15 767;17 722;19 928;27 543;5 610;7 569;8 251;8 890;9 602;10 868;12 549;15 010;16 752;18 787;24 889;33,5;2,5;4,4;;;;;;;;
1409;Município;Coruche;8 776;142 320;129 918;16 217;5 423;7 546;8 297;8 909;10 250;11 969;14 134;17 288;19 381;22 382;30 902;5 400;7 525;8 262;8 890;9 940;11 573;13 504;16 405;18 340;20 764;27 659;36,3;2,8;5,1;;;;;;;;
1412;Município;Golegã;2 836;48 480;43 945;17 095;5 802;8 059;8 871;9 324;10 665;12 572;14 849;18 579;21 058;23 363;34 331;5 781;7 998;8 837;9 293;10 355;11 902;14 110;17 478;19 732;21 869;29 909;35,6;2,7;5,2;;;;;;;;
