Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Agregados Fiscais;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por agregado fiscal;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;20;25;30;40;50;60;70;75;80;90;;P80/P20;P90/P10;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;€;€;€;€;€;€;€;€;€;€;€;;Nº;Nº;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;;;;;;;;
0305;Município;Celorico de Basto;7 706;100 321;93 475;13 019;3 857;6 149;7 126;7 995;8 890;9 643;11 125;13 658;15 457;17 614;24 473;3 824;6 108;7 118;7 976;8 890;9 398;10 757;13 102;14 780;16 955;22 300;36,4;2,8;5,8;;;;;;;;
1804;Município;Cinfães;7 888;95 548;89 302;12 113;2 843;5 439;6 226;7 037;8 389;9 183;10 458;12 614;14 325;16 633;23 463;2 843;5 431;6 210;7 009;8 366;9 176;10 241;12 197;13 747;15 821;21 738;38,6;2,9;7,6;;;;;;;;
1303;Município;Felgueiras;28 595;399 808;371 043;13 982;4 490;7 075;7 995;8 633;9 119;10 199;11 984;14 830;16 778;18 454;25 793;4 463;7 054;7 969;8 615;9 100;9 863;11 591;14 293;16 162;17 935;23 720;35,7;2,5;5,3;;;;;;;;
1305;Município;Lousada;23 741;323 430;302 358;13 623;3 916;6 668;7 635;8 404;9 009;10 194;12 104;15 200;16 986;18 389;25 712;3 886;6 651;7 620;8 390;8 996;9 869;11 706;14 566;16 450;17 863;23 694;36,3;2,7;6,1;;;;;;;;
1307;Município;Marco de Canaveses;22 939;305 194;283 164;13 305;3 070;5 838;6 858;7 776;8 890;9 780;11 547;14 222;16 067;18 089;25 836;3 059;5 812;6 854;7 747;8 890;9 533;11 165;13 617;15 365;17 419;23 651;38,8;3,0;7,7;;;;;;;;
1309;Município;Paços de Ferreira;27 524;377 477;351 226;13 714;4 325;6 821;7 764;8 422;8 925;10 043;11 816;14 697;16 616;17 914;25 082;4 312;6 804;7 744;8 405;8 914;9 745;11 412;14 168;16 041;17 614;23 178;36,1;2,6;5,4;;;;;;;;
1311;Município;Penafiel;33 950;497 943;457 298;14 667;4 002;6 613;7 620;8 406;9 169;10 540;12 600;15 745;17 604;19 810;28 149;3 988;6 600;7 597;8 385;9 150;10 186;12 078;15 028;16 913;18 796;25 395;38,3;2,8;6,4;;;;;;;;
1813;Município;Resende;4 430;55 771;51 721;12 589;2 570;5 278;6 063;6 863;8 335;9 100;10 372;12 704;14 423;16 931;25 373;2 540;5 263;6 058;6 863;8 310;9 097;10 119;12 212;13 980;16 113;23 347;40,9;3,1;9,2;;;;;;;;
11D;NUTS 3;   Douro;86 009;1 384 563;1 249 009;16 098;4 067;6 374;7 363;8 255;9 288;10 810;13 176;16 985;19 367;22 559;33 707;4 022;6 355;7 346;8 217;9 254;10 500;12 618;16 093;18 213;20 928;29 276;40,6;3,3;7,3;;;;;;;;
1701;Município;Alijó;5 141;67 786;62 967;13 185;3 699;5 859;6 497;7 223;8 784;9 622;11 357;14 155;16 150;18 440;26 408;3 673;5 840;6 471;7 207;8 761;9 395;10 990;13 596;15 417;17 570;23 971;37,8;3,0;6,5;;;;;;;;
1801;Município;Armamar;2 396;33 210;30 668;13 861;3 859;5 992;6 854;7 620;8 890;9 849;11 559;14 291;16 415;18 741;27 479;3 812;5 966;6 820;7 595;8 890;9 617;11 207;13 865;15 617;17 948;24 878;38,9;3,0;6,5;;;;;;;;
0403;Município;Carrazeda de Ansiães;2 427;34 697;31 938;14 296;4 117;6 253;6 983;7 691;8 890;10 019;11 895;14 912;17 148;20 251;29 300;4 047;6 253;6 955;7 670;8 890;9 781;11 554;14 376;16 416;18 748;26 228;38,7;3,0;6,5;;;;;;;;
0404;Município;Freixo de Espada à Cinta;1 599;22 978;21 232;14 370;4 886;6 587;7 432;8 235;9 231;10 449;12 570;15 540;17 534;19 918;27 900;4 837;6 552;7 422;8 157;9 218;10 210;12 024;14 830;16 869;19 107;24 729;36,2;2,9;5,1;;;;;;;;
1805;Município;Lamego;11 495;192 615;172 197;16 756;4 002;6 445;7 532;8 406;9 394;10 918;13 431;17 626;20 462;24 151;35 820;4 002;6 440;7 479;8 377;9 316;10 627;12 816;16 726;18 982;21 969;30 802;41,6;3,4;7,7;;;;;;;;
1704;Município;Mesão Frio;1 760;23 150;21 498;13 154;3 852;5 859;6 756;7 586;8 890;9 768;11 146;13 575;15 430;17 687;24 539;3 848;5 859;6 728;7 586;8 890;9 519;10 835;13 123;14 731;17 041;22 707;37,1;2,9;5,9;;;;;;;;
1807;Município;Moimenta da Beira;3 911;59 627;54 633;15 246;4 080;6 602;7 620;8 529;9 493;11 087;13 229;16 832;18 689;21 403;30 604;4 059;6 589;7 620;8 507;9 315;10 724;12 707;16 035;17 887;20 072;27 092;38,1;3,0;6,7;;;;;;;;
1707;Município;Murça;2 460;33 413;30 846;13 583;3 709;5 783;6 522;7 354;8 802;9 886;11 474;14 511;16 263;19 181;28 116;3 699;5 783;6 492;7 332;8 793;9 701;11 173;13 775;15 644;18 035;25 039;38,9;3,1;6,8;;;;;;;;
1812;Município;Penedono;1 266;17 135;15 644;13 535;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;
1708;Município;Peso da Régua;7 026;109 136;98 995;15 533;4 211;6 492;7 518;8 277;9 237;10 653;12 919;16 307;18 742;21 805;32 161;4 200;6 464;7 487;8 215;9 191;10 380;12 364;15 421;17 770;20 385;28 389;39,3;3,2;6,8;;;;;;;;
1710;Município;Sabrosa;2 671;37 539;34 779;14 054;4 448;6 440;7 440;8 279;9 235;10 477;12 126;15 037;17 236;19 021;26 184;4 412;6 400;7 372;8 262;9 217;10 139;11 719;14 455;16 198;18 164;23 978;36,2;2,8;5,4;;;;;;;;
1711;Município;Santa Marta de Penaguião;3 240;40 268;37 588;12 428;3 000;5 406;5 959;6 613;8 064;9 161;10 700;13 075;14 912;17 319;24 238;2 990;5 394;5 941;6 613;8 050;9 149;10 455;12 612;14 387;16 462;22 522;39,7;3,1;7,5;;;;;;;;
1815;Município;São João da Pesqueira;3 102;42 682;39 133;13 759;3 805;5 781;6 538;7 317;8 765;9 798;11 550;14 401;16 314;18 736;26 395;3 763;5 740;6 522;7 271;8 709;9 494;11 095;13 780;15 490;17 770;24 061;39,1;3,1;6,4;;;;;;;;
1818;Município;Sernancelhe;2 217;30 458;28 186;13 738;4 545;6 581;7 476;8 114;9 040;10 179;11 679;14 568;16 749;18 140;26 162;4 444;6 482;7 443;8 087;9 031;9 806;11 276;13 891;15 870;17 587;23 880;36,0;2,7;5,4;;;;;;;;
1819;Município;Tabuaço;2 044;27 568;25 506;13 487;3 718;5 754;6 649;7 453;8 890;9 678;11 399;13 964;16 075;18 704;26 693;3 718;5 715;6 631;7 411;8 885;9 439;11 034;13 456;15 370;17 683;23 946;38,4;3,1;6,4;;;;;;;;
1820;Município;Tarouca;2 952;42 557;39 350;14 416;3 908;6 440;7 453;8 365;9 150;10 531;12 544;15 844;18 144;20 175;27 618;3 852;6 405;7 369;8 292;9 149;10 242;12 165;15 190;17 317;18 929;25 070;37,8;3,0;6,5;;;;;;;;
0409;Município;Torre de Moncorvo;3 342;49 340;45 118;14 764;4 309;6 274;7 193;8 073;9 084;10 570;12 599;15 912;17 945;20 614;29 166;4 255;6 265;7 150;8 038;9 061;10 294;12 020;15 113;16 946;19 189;26 034;38,2;3,1;6,1;;;;;;;;
0914;Município;Vila Nova de Foz Côa;3 061;44 237;40 332;14 452;3 429;5 861;6 713;7 675;9 031;10 428;12 757;15 605;17 214;20 492;29 664;3 393;5 819;6 678;7 620;9 024;10 125;12 123;14 844;16 394;19 072;26 469;39,3;3,3;7,8;;;;;;;;
1714;Município;Vila Real;23 899;476 166;418 398;19 924;4 632;7 354;8 436;9 010;10 553;12 857;16 700;21 707;25 049;29 171;43 941;4 573;7 294;8 388;8 983;10 221;12 303;15 691;20 142;22 775;25 973;36 412;42,0;3,6;8,0;;;;;;;;
