region;year;employees_count
Douro;2020;34875
Douro;2021;35549
Douro;2022;37314
Douro;2023;39343
Douro;2024;40207
Terras de Tras-os-Montes;2014;15697
Terras de Tras-os-Montes;2015;16255
Terras de Tras-os-Montes;2016;16766
Terras de Tras-os-Montes;2017;17138
Terras de Tras-os-Montes;2018;17559
Terras de Tras-os-Montes;2019;17617
Terras de Tras-os-Montes;2020;18107
Terras de Tras-os-Montes;2021;18404
Terras de Tras-os-Montes;2022;18853
Terras de Tras-os-Montes;2023;19591
Terras de Tras-os-Montes;2024;19707
Centro;2014;385062
Centro;2015;394749
Centro;2016;407291
Centro;2017;423923
Centro;2018;439199
Centro;2019;442561
Centro;2020;444344
Centro;2021;445473
Centro;2022;473399
Centro;2023;490776
Centro;2024;497594
Regiao de Aveiro;2014;98368
Regiao de Aveiro;2015;101027
Regiao de Aveiro;2016;106482
Regiao de Aveiro;2017;111036
Regiao de Aveiro;2018;117298
Regiao de Aveiro;2019;118389
Regiao de Aveiro;2020;119180
Regiao de Aveiro;2021;117166
Regiao de Aveiro;2022;127100
Regiao de Aveiro;2023;131410
Regiao de Aveiro;2024;131216
Regiao de Coimbra;2014;91037
Regiao de Coimbra;2015;93998
Regiao de Coimbra;2016;95633
Regiao de Coimbra;2017;100266
Regiao de Coimbra;2018;101543
Regiao de Coimbra;2019;102856
Regiao de Coimbra;2020;103975
Regiao de Coimbra;2021;104161
Regiao de Coimbra;2022;111437
Regiao de Coimbra;2023;114228
Regiao de Coimbra;2024;117601
Regiao de Leiria;2014;81138
Regiao de Leiria;2015;83217
Regiao de Leiria;2016;86265
Regiao de Leiria;2017;89775
Regiao de Leiria;2018;91777
Regiao de Leiria;2019;92357
Regiao de Leiria;2020;92504
Regiao de Leiria;2021;94709
Regiao de Leiria;2022;98098
Regiao de Leiria;2023;101701
Regiao de Leiria;2024;103510
Viseu Dao Lafoes;2014;54665
Viseu Dao Lafoes;2015;56306
Viseu Dao Lafoes;2016;58117
Viseu Dao Lafoes;2017;60427
Viseu Dao Lafoes;2018;63458
Viseu Dao Lafoes;2019;65071
Viseu Dao Lafoes;2020;64891
Viseu Dao Lafoes;2021;65303
Viseu Dao Lafoes;2022;69493
Viseu Dao Lafoes;2023;72453
Viseu Dao Lafoes;2024;74675
Beira Baixa;2014;19205
Beira Baixa;2015;18862
Beira Baixa;2016;18976
Beira Baixa;2017;19074
Beira Baixa;2018;20595
Beira Baixa;2019;20454
Beira Baixa;2020;20429
Beira Baixa;2021;20093
Beira Baixa;2022;21005
Beira Baixa;2023;21994
Beira Baixa;2024;22041
Beiras e Serra da Estrela;2014;40649
Beiras e Serra da Estrela;2015;41339
Beiras e Serra da Estrela;2016;41818
Beiras e Serra da Estrela;2017;43345
Beiras e Serra da Estrela;2018;44528
Beiras e Serra da Estrela;2019;43434
Beiras e Serra da Estrela;2020;43365
Beiras e Serra da Estrela;2021;44041
Beiras e Serra da Estrela;2022;46266
Beiras e Serra da Estrela;2023;48990
Beiras e Serra da Estrela;2024;48551
Oeste e Vale do Tejo;2014;172346
Oeste e Vale do Tejo;2015;176637
Oeste e Vale do Tejo;2016;181245
Oeste e Vale do Tejo;2017;192179
Oeste e Vale do Tejo;2018;203271
Oeste e Vale do Tejo;2019;207475
Oeste e Vale do Tejo;2020;207244
Oeste e Vale do Tejo;2021;205140
Oeste e Vale do Tejo;2022;217876
Oeste e Vale do Tejo;2023;228581
Oeste e Vale do Tejo;2024;232968
Oeste;2014;76041
Oeste;2015;78135
Oeste;2016;80561
Oeste;2017;85297
Oeste;2018;93248
Oeste;2019;94993
Oeste;2020;93635
Oeste;2021;91960
Oeste;2022;97506
Oeste;2023;103758
Oeste;2024;104588
Medio Tejo;2014;45875
Medio Tejo;2015;47312
Medio Tejo;2016;47227
Medio Tejo;2017;49621
Medio Tejo;2018;50555
Medio Tejo;2019;51812
