age_group;gender;year;employees_count
45 - 49 anos;feminino;2018;182700
45 - 49 anos;feminino;2019;187561
45 - 49 anos;feminino;2020;191836
45 - 49 anos;feminino;2021;196191
45 - 49 anos;feminino;2022;210248
45 - 49 anos;feminino;2023;216135
45 - 49 anos;feminino;2024;215100
50 - 54 anos;masculino;2014;134964
50 - 54 anos;masculino;2015;141049
50 - 54 anos;masculino;2016;149949
50 - 54 anos;masculino;2017;157982
50 - 54 anos;masculino;2018;165922
50 - 54 anos;masculino;2019;166923
50 - 54 anos;masculino;2020;169949
50 - 54 anos;masculino;2021;171732
50 - 54 anos;masculino;2022;183896
50 - 54 anos;masculino;2023;192811
50 - 54 anos;masculino;2024;197258
50 - 54 anos;feminino;2014;119807
50 - 54 anos;feminino;2015;127124
50 - 54 anos;feminino;2016;135742
50 - 54 anos;feminino;2017;143839
50 - 54 anos;feminino;2018;150845
50 - 54 anos;feminino;2019;154288
50 - 54 anos;feminino;2020;156080
50 - 54 anos;feminino;2021;160214
50 - 54 anos;feminino;2022;173036
50 - 54 anos;feminino;2023;182343
50 - 54 anos;feminino;2024;187381
55 - 59 anos;masculino;2014;100043
55 - 59 anos;masculino;2015;106199
55 - 59 anos;masculino;2016;113202
55 - 59 anos;masculino;2017;122797
55 - 59 anos;masculino;2018;131577
55 - 59 anos;masculino;2019;134804
55 - 59 anos;masculino;2020;139411
55 - 59 anos;masculino;2021;141593
55 - 59 anos;masculino;2022;150231
55 - 59 anos;masculino;2023;157204
55 - 59 anos;masculino;2024;159778
55 - 59 anos;feminino;2014;81699
55 - 59 anos;feminino;2015;88701
55 - 59 anos;feminino;2016;95729
55 - 59 anos;feminino;2017;103455
55 - 59 anos;feminino;2018;111087
55 - 59 anos;feminino;2019;115932
55 - 59 anos;feminino;2020;120749
55 - 59 anos;feminino;2021;124597
55 - 59 anos;feminino;2022;135162
55 - 59 anos;feminino;2023;142975
55 - 59 anos;feminino;2024;145885
60 - 64 anos;masculino;2014;48273
60 - 64 anos;masculino;2015;52491
60 - 64 anos;masculino;2016;56506
60 - 64 anos;masculino;2017;64123
60 - 64 anos;masculino;2018;67556
60 - 64 anos;masculino;2019;70416
60 - 64 anos;masculino;2020;73844
60 - 64 anos;masculino;2021;79524
60 - 64 anos;masculino;2022;90520
60 - 64 anos;masculino;2023;99062
60 - 64 anos;masculino;2024;102405
60 - 64 anos;feminino;2014;38102
60 - 64 anos;feminino;2015;41962
60 - 64 anos;feminino;2016;45431
60 - 64 anos;feminino;2017;51301
60 - 64 anos;feminino;2018;55434
60 - 64 anos;feminino;2019;59566
60 - 64 anos;feminino;2020;62484
60 - 64 anos;feminino;2021;67493
60 - 64 anos;feminino;2022;76763
60 - 64 anos;feminino;2023;85504
60 - 64 anos;feminino;2024;89520
65+ anos;masculino;2014;12687
65+ anos;masculino;2015;14235
65+ anos;masculino;2016;15954
65+ anos;masculino;2017;18372
65+ anos;masculino;2018;21276
65+ anos;masculino;2019;24844
65+ anos;masculino;2020;25548
65+ anos;masculino;2021;27505
65+ anos;masculino;2022;31840
65+ anos;masculino;2023;36069
65+ anos;masculino;2024;39491
65+ anos;feminino;2014;9183
65+ anos;feminino;2015;10667
65+ anos;feminino;2016;12181
65+ anos;feminino;2017;13559
65+ anos;feminino;2018;15426
65+ anos;feminino;2019;17310
65+ anos;feminino;2020;17936
65+ anos;feminino;2021;19391
65+ anos;feminino;2022;21994
65+ anos;feminino;2023;24598
65+ anos;feminino;2024;26977
Ignorado;masculino;2014;1415
Ignorado;masculino;2015;1458
Ignorado;masculino;2016;1609
Ignorado;masculino;2017;1670
Ignorado;masculino;2018;1869
Ignorado;masculino;2019;318
Ignorado;masculino;2020;230
Ignorado;masculino;2021;386
Ignorado;masculino;2022;200
Ignorado;masculino;2023;3
Ignorado;masculino;2024;327
Ignorado;feminino;2014;812
Ignorado;feminino;2015;894
Ignorado;feminino;2016;945
Ignorado;feminino;2017;1013
Ignorado;feminino;2018;1118
Ignorado;feminino;2019;474
Ignorado;feminino;2020;232
Ignorado;feminino;2021;572
Ignorado;feminino;2022;177
Ignorado;feminino;2023;4
Ignorado;feminino;2024;422
