year;quarter;period;country;gov_balance_pct_gdp;unit;data_flag;notes;source_id;source
2014;Q2;2014-Q2;PT;-4.9;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2014;Q3;2014-Q3;PT;-7.6;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2014;Q4;2014-Q4;PT;-7.4;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2015;Q1;2015-Q1;PT;-7.4;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2015;Q2;2015-Q2;PT;-6.7;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2015;Q3;2015-Q3;PT;-3.4;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2015;Q4;2015-Q4;PT;-4.5;percentage_of_gdp;;Saida do procedimento de deficit excessivo da UE;F007;INE - Instituto Nacional de Estatística
2016;Q1;2016-Q1;PT;-3.8;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2016;Q2;2016-Q2;PT;-3.5;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2016;Q3;2016-Q3;PT;-3.7;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2016;Q4;2016-Q4;PT;-1.9;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2017;Q1;2017-Q1;PT;-3.8;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2017;Q2;2017-Q2;PT;-3.6;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2017;Q3;2017-Q3;PT;-2.5;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2017;Q4;2017-Q4;PT;-3.0;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2018;Q1;2018-Q1;PT;-0.8;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2018;Q2;2018-Q2;PT;-1.0;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2018;Q3;2018-Q3;PT;-0.1;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2018;Q4;2018-Q4;PT;-0.4;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2019;Q1;2019-Q1;PT;-0.2;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2019;Q2;2019-Q2;PT;0.0;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2019;Q3;2019-Q3;PT;-0.2;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2019;Q4;2019-Q4;PT;0.1;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2020;Q1;2020-Q1;PT;-0.1;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2020;Q2;2020-Q2;PT;-1.9;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2020;Q3;2020-Q3;PT;-4.1;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2020;Q4;2020-Q4;PT;-5.8;percentage_of_gdp;;Impacto COVID-19 — deficit elevado;F007;INE - Instituto Nacional de Estatística
2021;Q1;2021-Q1;PT;-6.9;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2021;Q2;2021-Q2;PT;-5.9;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2021;Q3;2021-Q3;PT;-3.9;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2021;Q4;2021-Q4;PT;-2.8;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2022;Q1;2022-Q1;PT;-1.7;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2022;Q2;2022-Q2;PT;0.1;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2022;Q3;2022-Q3;PT;1.0;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2022;Q4;2022-Q4;PT;-0.3;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2023;Q1;2023-Q1;PT;0.2;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2023;Q2;2023-Q2;PT;0.1;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2023;Q3;2023-Q3;PT;0.5;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2023;Q4;2023-Q4;PT;1.1;percentage_of_gdp;;Primeiro excedente orcamental desde registo;F007;INE - Instituto Nacional de Estatística
2024;Q1;2024-Q1;PT;0.9;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2024;Q2;2024-Q2;PT;1.0;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2024;Q3;2024-Q3;PT;0.7;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2024;Q4;2024-Q4;PT;0.6;percentage_of_gdp;;Excedente orcamental mantido;F007;INE - Instituto Nacional de Estatística
2025;Q1;2025-Q1;PT;0.6;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2025;Q2;2025-Q2;PT;0.7;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2025;Q3;2025-Q3;PT;0.2;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2025;Q4;2025-Q4;PT;0.7;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2026;Q1;2026-Q1;PT;0.5;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
