year;quarter;period;country;gdp_million_eur;unit;price_basis;seasonal_adjusted;notes;source_id;source
2010;Q1;2010-Q1;PT;44770.701;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2010;Q2;2010-Q2;PT;44732.876;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2010;Q3;2010-Q3;PT;45182.466;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2010;Q4;2010-Q4;PT;45174.308;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2011;Q1;2011-Q1;PT;44786.773;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2011;Q2;2011-Q2;PT;44256.146;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2011;Q3;2011-Q3;PT;44054.044;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2011;Q4;2011-Q4;PT;43221.038;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2012;Q1;2012-Q1;PT;42832.622;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2012;Q2;2012-Q2;PT;42011.582;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2012;Q3;2012-Q3;PT;41942.018;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2012;Q4;2012-Q4;PT;41752.528;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2013;Q1;2013-Q1;PT;42045.053;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2013;Q2;2013-Q2;PT;42433.846;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2013;Q3;2013-Q3;PT;42911.021;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2013;Q4;2013-Q4;PT;43285.729;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2014;Q1;2014-Q1;PT;43108.606;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2014;Q2;2014-Q2;PT;43115.977;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2014;Q3;2014-Q3;PT;43439.149;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2014;Q4;2014-Q4;PT;43522.93;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2015;Q1;2015-Q1;PT;44377.129;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2015;Q2;2015-Q2;PT;44677.519;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2015;Q3;2015-Q3;PT;45010.63;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2015;Q4;2015-Q4;PT;45327.431;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2016;Q1;2016-Q1;PT;45872.213;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2016;Q2;2016-Q2;PT;46139.406;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2016;Q3;2016-Q3;PT;46831.078;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2016;Q4;2016-Q4;PT;47538.052;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2017;Q1;2017-Q1;PT;47946.532;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2017;Q2;2017-Q2;PT;48587.418;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2017;Q3;2017-Q3;PT;49182.407;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
