year;quarter;period;country;gdp_chain_volume_million_eur;unit;price_basis;seasonal_adjusted;notes;source_id;source
2008;Q1;2008-Q1;PT;53603.409;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2008;Q2;2008-Q2;PT;53334.802;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2008;Q3;2008-Q3;PT;53261.783;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2008;Q4;2008-Q4;PT;52600.214;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2009;Q1;2009-Q1;PT;51268.946;million_eur;chain_volume_2021;yes;Crise financeira global;F007;INE - Instituto Nacional de Estatística
2009;Q2;2009-Q2;PT;51323.966;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2009;Q3;2009-Q3;PT;51762.652;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2009;Q4;2009-Q4;PT;51800.855;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2010;Q1;2010-Q1;PT;52262.13;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2010;Q2;2010-Q2;PT;52443.24;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2010;Q3;2010-Q3;PT;52635.853;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2010;Q4;2010-Q4;PT;52397.421;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2011;Q1;2011-Q1;PT;52162.228;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2011;Q2;2011-Q2;PT;51796.158;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2011;Q3;2011-Q3;PT;51436.789;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2011;Q4;2011-Q4;PT;50749.539;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2012;Q1;2012-Q1;PT;50479.294;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2012;Q2;2012-Q2;PT;49716.488;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2012;Q3;2012-Q3;PT;49203.595;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2012;Q4;2012-Q4;PT;48394.616;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2013;Q1;2013-Q1;PT;48567.409;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2013;Q2;2013-Q2;PT;48983.071;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2013;Q3;2013-Q3;PT;48845.071;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2013;Q4;2013-Q4;PT;49451.938;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2014;Q1;2014-Q1;PT;49097.277;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2014;Q2;2014-Q2;PT;49233.148;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2014;Q3;2014-Q3;PT;49285.081;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2014;Q4;2014-Q4;PT;49683.979;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2015;Q1;2015-Q1;PT;49981.856;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2015;Q2;2015-Q2;PT;50017.132;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2015;Q3;2015-Q3;PT;50099.863;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2015;Q4;2015-Q4;PT;50337.298;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2016;Q1;2016-Q1;PT;50510.995;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2016;Q2;2016-Q2;PT;50746.451;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2016;Q3;2016-Q3;PT;51307.722;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2016;Q4;2016-Q4;PT;51888.004;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2017;Q1;2017-Q1;PT;52390.649;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2017;Q2;2017-Q2;PT;52540.941;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2017;Q3;2017-Q3;PT;52900.092;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2017;Q4;2017-Q4;PT;53398.541;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2018;Q1;2018-Q1;PT;53711.486;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2018;Q2;2018-Q2;PT;54224.892;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2018;Q3;2018-Q3;PT;54588.738;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
