year;district;benefit_amount
2024;RA ACORES;2764475.56
2024;RA MADEIRA;5079895.56
2024;SANTAREM;31088941.19
2024;SETUBAL;90354478.04
2024;VIANA DO CASTELO;11270383.25
2024;VILA REAL;3953067.86
2024;VISEU;12821706.44
2024;EVORA;7021268.07
2025;AVEIRO;40247078.99
2025;BEJA;19897193.13
2025;BRAGA;37546999.3
2025;BRAGANCA;5616311.19
2025;CASTELO BRANCO;11438877.51
2025;COIMBRA;21157990.51
2025;FARO;79394819.83
2025;GUARDA;4351059.63
2025;LEIRIA;39541919.7
2025;LISBOA;272907218.62
2025;OUTRO;2979411.86
2025;PORTALEGRE;4421027.95
2025;PORTO;87296735.33
2025;RA ACORES;3553768.47
2025;RA MADEIRA;5793754.27
2025;SANTAREM;38273879.58
2025;SETUBAL;102460784.33
2025;VIANA DO CASTELO;14505951.74
2025;VILA REAL;4974391.88
2025;VISEU;18027342.03
2025;EVORA;7636354.67
