year;district;contribution_amount
2024;PORTALEGRE;15777916.43
2024;PORTO;428671038.2
2024;RA ACORES;14292479.92
2024;RA MADEIRA;34292024.34
2024;SANTAREM;111612018.93
2024;SETUBAL;362020351.12
2024;VIANA DO CASTELO;49377759.15
2024;VILA REAL;15156095.95
2024;VISEU;51922503.83
2024;EVORA;31000543.88
2025;AVEIRO;177472694.26
2025;BEJA;102223999.24
2025;BRAGA;182205810.32
2025;BRAGANCA;19393159.76
2025;CASTELO BRANCO;41702911.79
2025;COIMBRA;92493416.0
2025;FARO;347630188.43
2025;GUARDA;16975418.54
2025;LEIRIA;178668743.77
2025;LISBOA;1546513930.84
2025;OUTRO;82197508.58
2025;PORTALEGRE;17963885.33
2025;PORTO;509632780.28
2025;RA ACORES;19142270.97
2025;RA MADEIRA;44868485.77
2025;SANTAREM;138457898.54
2025;SETUBAL;454689502.38
2025;VIANA DO CASTELO;56419470.39
2025;VILA REAL;18802940.2
2025;VISEU;64916085.46
2025;EVORA;36592747.83
