Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Sujeitos Passivos;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por sujeito passivo;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado por sujeito passivo (NUTS III=100);;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;Taxa de crescimento anual médio do rendimento bruto declarado deduzido do IRS liquidado por sujeito passivo (2019 - 2021);Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2020);;;Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2021);;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;25;50;75;90;10;20;25;30;40;50;60;70;75;80;90;2019;2021;P80/P20;P90/P10;;25;50;75;25;50;75;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;%;;;;;€;€;€;€;€;€;€;€;€;€;€;%;;Nº;Nº;%;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;;;;;;;;
1610;Município;Vila Nova de Cerveira;6 770;78 949;71 837;11 662;3 710;5 658;6 479;7 222;8 576;9 661;11 025;12 756;13 916;15 301;21 028;102;107;102;101;94;3 637;5 595;6 409;7 128;8 484;9 424;10 541;12 010;13 035;14 215;18 370;33,7;32,7;2,5;5,1;2,1;3,2;0,5;-1,0;5,2;3,8;4,7;;;;;;;;
112;NUTS 3;   Cávado;296 269;3 864 580;3 429 233;13 044;4 322;5 958;6 724;7 468;8 945;9 897;11 376;13 496;15 004;17 086;25 278;100;100;100;100;100;4 282;5 908;6 655;7 381;8 833;9 567;10 879;12 627;13 828;15 402;21 315;34,9;34,4;2,6;5,0;3,1;2,2;2,4;1,6;6,1;3,8;5,4;;;;;;;;
0301;Município;Amares;13 255;148 182;135 202;11 179;3 891;5 422;6 037;6 724;8 146;9 310;10 394;12 026;13 202;14 654;20 454;90;90;94;88;81;3 842;5 374;6 001;6 653;8 041;9 300;9 997;11 482;12 389;13 590;17 906;32,9;32,2;2,5;4,7;5,2;2,1;4,5;2,2;7,0;6,0;6,4;;;;;;;;
0302;Município;Barcelos;83 772;948 845;865 084;11 327;4 410;5 827;6 506;7 165;8 554;9 390;10 421;11 880;12 939;14 310;19 756;102;97;95;86;78;4 373;5 782;6 453;7 096;8 439;9 310;10 049;11 308;12 163;13 275;17 278;31,3;30,7;2,3;4,0;4,2;2,1;3,7;2,0;6,9;4,7;5,8;;;;;;;;
0303;Município;Braga;136 809;2 051 934;1 783 134;14 999;4 655;6 528;7 385;8 223;9 513;10 993;12 913;15 745;17 866;20 868;30 017;108;110;111;119;119;4 627;6 469;7 309;8 113;9 391;10 566;12 184;14 416;15 994;18 154;24 600;35,7;35,5;2,8;5,3;3,6;1,5;1,6;1,4;5,4;5,6;4,7;;;;;;;;
0306;Município;Esposende;25 515;330 007;291 123;12 934;4 039;5 642;6 393;7 174;8 787;9 704;11 192;13 270;14 756;16 742;24 658;94;95;98;98;98;4 006;5 583;6 327;7 087;8 648;9 415;10 690;12 437;13 600;15 059;20 817;36,0;35,5;2,7;5,2;3,6;4,1;3,2;1,6;5,6;4,1;5,6;;;;;;;;
0310;Município;Terras de Bouro;4 521;45 626;42 035;10 092;3 035;4 813;5 490;6 075;7 264;8 616;9 635;11 131;12 022;13 580;18 176;70;82;87;80;72;3 018;4 763;5 469;6 030;7 189;8 487;9 415;10 551;11 344;12 680;16 168;34,2;33,1;2,7;5,4;5,1;6,5;6,1;2,6;6,9;4,0;3,8;;;;;;;;
0313;Município;Vila Verde;32 397;339 987;312 655;10 494;3 502;5 114;5 736;6 360;7 721;9 022;9 844;11 386;12 395;13 769;19 033;81;85;91;83;75;3 462;5 081;5 687;6 300;7 604;8 910;9 532;10 889;11 735;12 869;16 813;32,8;32,5;2,5;4,9;4,9;3,4;4,2;2,5;5,5;5,6;5,1;;;;;;;;
119;NUTS 3;   Ave;310 861;3 687 611;3 339 116;11 863;4 408;6 028;6 708;7 340;8 645;9 506;10 702;12 337;13 511;15 050;21 296;100;100;100;100;100;4 374;6 015;6 665;7 280;8 549;9 405;10 295;11 698;12 645;13 879;18 469;32,0;31,9;2,3;4,2;3,9;1,7;2,8;1,6;5,5;5,1;6,2;;;;;;;;
0304;Município;Cabeceiras de Basto;10 362;102 901;95 196;9 931;3 017;4 777;5 278;5 847;7 114;8 424;9 351;10 652;11 710;13 124;18 269;69;79;89;87;86;3 014;4 711;5 250;5 805;7 045;8 318;9 310;10 231;11 156;12 310;16 268;34,5;33,8;2,6;5,4;4,6;4,2;4,1;3,1;5,7;5,1;4,0;;;;;;;;
