Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Agregados Fiscais;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por agregado fiscal;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;20;25;30;40;50;60;70;75;80;90;;P80/P20;P90/P10;;;;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;;;;;;;;;;;;%;Nº;Nº;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;;;;;;;;;;;
1419;Município;Torres Novas;17 535;319 362;286 225;18 213;5 553;7 955;8 684;9 283;10 870;12 917;15 687;19 946;22 750;25 860;36 785;5 525;7 917;8 656;9 151;10 478;12 342;14 851;18 563;20 938;23 584;31 795;37,7;3,0;5,8;;;;;;;;;;;
0510;Município;Vila de Rei;1 509;21 756;20 392;14 418;5 555;7 386;8 236;8 610;9 495;11 089;13 684;16 244;17 790;19 995;26 757;5 533;7 372;8 215;8 605;9 296;10 831;12 918;15 411;17 006;18 912;24 820;33,5;2,6;4,5;;;;;;;;;;;
1420;Município;Vila Nova da Barquinha;3 574;68 257;61 448;19 098;6 012;8 568;9 108;9 857;11 775;14 236;17 375;22 151;24 825;28 504;37 934;6 012;8 548;9 106;9 547;11 287;13 438;16 350;20 233;22 708;25 546;33 045;36,2;3,0;5,5;;;;;;;;;;;
16J;NUTS 3;   Beiras e Serra da Estrela;102 573;1 676 303;1 518 414;16 343;4 971;7 201;8 094;8 606;9 761;11 487;13 928;17 291;19 470;22 454;32 480;4 918;7 200;8 065;8 577;9 486;11 097;13 334;16 523;18 363;20 864;28 622;38,2;2,9;5,8;;;;;;;;;;;
0902;Município;Almeida;3 009;46 363;42 334;15 408;4 617;6 625;7 671;8 432;9 762;11 822;14 284;17 665;19 798;22 237;29 986;4 577;6 595;7 659;8 400;9 404;11 280;13 629;16 711;18 297;20 211;26 470;36,5;3,1;5,8;;;;;;;;;;;
0501;Município;Belmonte;2 901;43 913;40 491;15 137;4 948;7 438;8 197;8 476;9 504;11 153;13 484;16 445;17 819;20 120;29 344;4 908;7 366;8 189;8 467;9 236;10 711;12 996;15 871;17 112;19 264;26 240;36,1;2,6;5,3;;;;;;;;;;;
0903;Município;Celorico da Beira;3 003;44 213;40 909;14 723;4 580;6 817;7 739;8 400;9 476;10 968;13 386;16 665;17 945;20 305;28 176;4 538;6 726;7 702;8 400;9 282;10 601;12 760;15 737;17 271;19 017;25 929;36,4;2,8;5,7;;;;;;;;;;;
0503;Município;Covilhã;23 722;403 298;363 230;17 001;5 406;7 681;8 400;8 811;10 009;11 731;14 083;17 426;19 819;22 836;33 987;5 404;7 652;8 385;8 788;9 682;11 325;13 526;16 724;18 611;21 203;29 613;38,2;2,8;5,5;;;;;;;;;;;
0904;Município;Figueira de Castelo Rodrigo;2 572;36 072;33 260;14 025;3 934;6 180;6 832;7 493;8 753;9 867;11 782;14 884;16 877;18 918;28 254;3 934;6 180;6 802;7 479;8 715;9 635;11 464;14 265;16 136;17 985;25 636;38,6;2,9;6,5;;;;;;;;;;;
0905;Município;Fornos de Algodres;1 844;26 535;24 463;14 390;4 687;7 037;7 841;8 485;9 350;10 797;12 876;15 795;17 347;19 200;26 746;4 682;6 996;7 800;8 451;9 151;10 517;12 270;15 012;16 808;18 303;24 201;35,7;2,6;5,2;;;;;;;;;;;
0504;Município;Fundão;12 999;201 897;184 292;15 532;4 808;7 140;8 012;8 492;9 620;11 278;13 558;16 756;18 524;21 240;30 182;4 758;7 069;7 980;8 458;9 345;10 901;13 009;15 856;17 596;19 938;26 976;37,1;2,8;5,7;;;;;;;;;;;
0906;Município;Gouveia;5 793;86 027;79 007;14 850;4 682;6 780;7 518;8 290;9 265;10 542;12 628;15 821;17 705;19 889;29 216;4 682;6 774;7 500;8 252;9 154;10 258;12 249;15 141;16 997;18 885;26 585;37,3;2,8;5,7;;;;;;;;;;;
0907;Município;Guarda;19 368;384 053;339 142;19 829;5 459;7 905;8 651;9 360;11 177;13 765;17 188;21 867;24 852;28 421;41 063;5 431;7 868;8 623;9 151;10 805;13 058;16 194;20 311;22 748;25 566;34 978;39,6;3,2;6,4;;;;;;;;;;;
