Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Sujeitos Passivos;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por sujeito passivo;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;20;25;30;40;50;60;70;75;80;90;;P80/P20;P90/P10;;;;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;;;;;;;;;;;;%;Nº;Nº;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;;;;;;;;;;;
0208;Município;Ferreira do Alentejo;5 152;55 096;50 542;10 694;4 044;5 536;6 145;6 776;7 785;8 741;9 967;11 559;12 709;14 118;19 664;4 023;5 498;6 087;6 717;7 694;8 693;9 614;10 956;11 899;13 088;17 140;31,0;2,4;4,3;;;;;;;;;;;
0209;Município;Mértola;4 363;44 314;40 889;10 157;3 982;5 264;5 794;6 357;7 485;8 476;9 488;10 899;11 932;13 363;18 477;3 967;5 218;5 745;6 313;7 360;8 400;9 157;10 434;11 198;12 315;16 275;30,9;2,4;4,1;;;;;;;;;;;
0210;Município;Moura;8 287;87 407;80 062;10 547;3 410;4 989;5 582;6 182;7 424;8 616;9 806;11 486;12 569;14 165;19 753;3 381;4 941;5 525;6 153;7 330;8 501;9 462;10 930;11 833;13 115;17 355;33,6;2,7;5,1;;;;;;;;;;;
0212;Município;Ourique;3 342;38 049;34 468;11 385;4 062;5 421;6 154;6 740;8 110;8 989;10 203;12 034;13 428;15 341;21 533;4 021;5 386;6 110;6 676;7 985;8 890;9 787;11 355;12 434;13 978;18 542;33,1;2,6;4,6;;;;;;;;;;;
0213;Município;Serpa;9 130;94 953;87 031;10 400;3 600;5 077;5 653;6 201;7 444;8 549;9 644;11 174;12 296;13 809;19 215;3 570;5 017;5 596;6 146;7 361;8 405;9 245;10 604;11 516;12 727;16 994;32,7;2,5;4,8;;;;;;;;;;;
0214;Município;Vidigueira;3 602;39 544;36 158;10 978;4 193;5 525;6 218;6 818;8 012;8 891;10 115;11 780;12 980;14 595;20 561;4 193;5 488;6 161;6 799;7 912;8 865;9 731;11 213;12 062;13 458;17 789;31,3;2,5;4,2;;;;;;;;;;;
185;NUTS 3;   Lezíria do Tejo;167 095;2 051 580;1 844 902;12 278;4 308;5 835;6 563;7 200;8 400;9 593;11 142;13 182;14 577;16 375;22 995;4 294;5 795;6 519;7 154;8 367;9 280;10 676;12 372;13 497;14 875;19 714;33,1;2,6;4,6;;;;;;;;;;;
1403;Município;Almeirim;15 642;174 551;159 424;11 159;3 877;5 293;5 888;6 540;7 763;8 815;10 338;12 216;13 560;15 250;21 043;3 868;5 267;5 850;6 498;7 680;8 700;9 952;11 617;12 715;14 002;18 308;33,3;2,7;4,7;;;;;;;;;;;
1404;Município;Alpiarça;5 080;55 694;51 134;10 963;4 316;5 511;6 062;6 604;7 687;8 764;10 147;11 894;13 089;14 797;20 102;4 314;5 491;6 024;6 583;7 633;8 660;9 769;11 258;12 409;13 666;17 750;31,7;2,5;4,1;;;;;;;;;;;
1103;Município;Azambuja;14 903;181 272;164 294;12 163;4 372;6 098;6 862;7 605;8 767;10 022;11 591;13 505;14 711;16 302;22 156;4 363;6 041;6 806;7 512;8 662;9 689;11 043;12 614;13 599;14 822;19 094;31,1;2,5;4,4;;;;;;;;;;;
1405;Município;Benavente;20 500;268 350;238 170;13 090;4 300;6 210;7 000;7 708;8 850;10 188;11 733;13 817;15 300;17 174;23 821;4 282;6 145;6 926;7 629;8 764;9 816;11 188;12 888;14 019;15 457;20 182;33,6;2,5;4,7;;;;;;;;;;;
1406;Município;Cartaxo;16 737;212 483;190 946;12 695;4 571;6 299;7 046;7 789;8 904;10 184;11 732;13 772;15 186;16 929;23 299;4 554;6 241;6 987;7 671;8 794;9 823;11 160;12 887;13 917;15 291;19 866;31,8;2,5;4,4;;;;;;;;;;;
1407;Município;Chamusca;6 140;62 760;58 183;10 221;4 282;5 474;6 080;6 540;7 519;8 527;9 559;10 889;11 808;12 971;17 950;4 277;5 463;6 037;6 496;7 471;8 420;9 233;10 428;11 203;12 204;16 004;29,9;2,2;3,7;;;;;;;;;;;
1409;Município;Coruche;12 611;138 086;126 588;10 950;4 377;5 588;6 180;6 716;7 683;8 700;9 996;11 765;12 883;14 257;19 701;4 357;5 562;6 142;6 658;7 625;8 604;9 659;11 219;12 126;13 278;17 390;31,3;2,4;4,0;;;;;;;;;;;
1412;Município;Golegã;4 030;48 197;43 581;11 959;4 537;6 026;6 780;7 284;8 418;9 568;11 050;12 993;14 226;15 831;21 794;4 530;6 007;6 754;7 238;8 365;9 303;10 563;12 221;13 171;14 425;18 750;31,0;2,4;4,1;;;;;;;;;;;
1414;Município;Rio Maior;14 976;171 368;155 814;11 443;4 017;5 482;6 202;6 865;8 147;9 208;10 639;12 445;13 654;15 261;20 927;4 005;5 454;6 183;6 796;8 059;9 100;10 240;11 773;12 769;14 000;18 215;32,6;2,6;4,5;;;;;;;;;;;
1415;Município;Salvaterra de Magos;15 199;173 358;157 678;11 406;4 124;5 630;6 273;6 843;7 983;9 072;10 522;12 403;13 634;15 347;21 186;4 105;5 578;6 240;6 808;7 882;8 943;10 078;11 724;12 807;14 057;18 471;32,3;2,5;4,5;;;;;;;;;;;
1416;Município;Santarém;41 277;565 462;499 090;13 699;4 528;6 180;6 941;7 630;8 846;10 272;12 009;14 622;16 383;18 751;26 864;4 505;6 149;6 863;7 540;8 763;9 867;11 427;13 510;14 859;16 677;22 440;34,5;2,7;5,0;;;;;;;;;;;
186;NUTS 3;   Alto Alentejo;77 362;907 851;821 941;11 735;4 425;5 754;6 412;7 062;8 300;9 298;10 711;12 491;13 770;15 553;21 713;4 406;5 748;6 367;6 996;8 199;9 151;10 271;11 775;12 828;14 181;18 744;32,2;2,5;4,3;;;;;;;;;;;
1201;Município;Alter do Chão;2 270;25 857;23 531;11 391;4 690;6 151;6 706;7 200;8 300;9 134;10 186;11 698;12 812;14 664;20 649;4 603;6 086;6 580;7 151;8 200;9 044;9 851;11 106;12 039;13 346;17 863;30,6;2,2;3,9;;;;;;;;;;;
1202;Município;Arronches;2 079;22 779;20 937;10 957;4 603;5 529;6 166;6 661;8 135;9 247;10 500;12 047;12 981;14 305;19 197;4 577;5 485;6 133;6 605;8 012;9 096;10 104;11 301;12 194;13 258;17 071;29,7;2,4;3,7;;;;;;;;;;;
1203;Município;Avis;2 845;29 775;27 477;10 466;4 565;5 697;6 248;6 840;7 786;8 766;10 051;11 498;12 493;13 699;17 810;4 538;5 658;6 218;6 780;7 733;8 680;9 655;10 923;11 746;12 786;15 841;29,2;2,3;3,5;;;;;;;;;;;
1204;Município;Campo Maior;5 652;74 200;65 767;13 128;4 699;6 540;7 408;8 170;9 351;10 728;11 915;13 477;14 615;16 168;21 716;4 682;6 493;7 319;8 022;9 151;10 236;11 257;12 614;13 602;14 794;18 981;31,9;2,3;4,1;;;;;;;;;;;
1205;Município;Castelo de Vide;2 359;28 102;25 425;11 913;4 482;5 887;6 551;7 220;8 400;9 398;10 782;12 563;13 680;15 371;21 530;4 482;5 767;6 540;7 187;8 359;9 162;10 320;11 832;12 807;14 128;18 619;31,9;2,5;4,2;;;;;;;;;;;
1206;Município;Crato;2 372;25 165;23 256;10 609;4 464;5 853;6 404;7 084;8 225;8 963;10 066;11 744;12 741;13 936;18 767;4 463;5 787;6 367;7 037;8 036;8 880;9 712;11 029;11 949;12 869;16 303;28,3;2,2;3,7;;;;;;;;;;;
1207;Município;Elvas;14 668;177 498;159 744;12 101;4 293;5 809;6 580;7 243;8 484;9 603;11 104;12 928;14 290;16 116;22 484;4 274;5 786;6 530;7 200;8 401;9 268;10 554;12 069;13 192;14 521;19 321;32,6;2,5;4,5;;;;;;;;;;;
1208;Município;Fronteira;2 201;24 822;22 601;11 278;4 682;5 799;6 364;6 817;7 826;8 755;9 884;11 578;12 841;14 425;21 087;4 682;5 759;6 317;6 747;7 714;8 671;9 543;11 064;12 028;13 314;18 367;31,6;2,3;3,9;;;;;;;;;;;
1209;Município;Gavião;2 570;26 673;24 786;10 379;4 482;5 477;6 166;6 700;7 780;8 629;9 783;11 323;12 289;13 509;18 060;4 449;5 450;6 080;6 632;7 734;8 544;9 500;10 764;11 632;12 655;16 206;29,7;2,3;3,6;;;;;;;;;;;
1210;Município;Marvão;2 260;23 385;21 590;10 348;4 212;5 443;6 239;6 840;7 951;8 815;9 820;11 381;12 310;13 313;17 507;4 200;5 418;6 217;6 812;7 815;8 678;9 513;10 830;11 520;12 411;15 572;29,8;2,3;3,7;;;;;;;;;;;
1211;Município;Monforte;1 929;20 495;18 811;10 624;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;
1212;Município;Nisa;4 647;51 004;46 737;10 976;4 312;5 514;6 144;6 720;7 981;8 915;10 299;11 993;13 228;14 729;20 514;4 298;5 487;6 088;6 640;7 848;8 840;9 873;11 318;12 333;13 519;17 774;31,2;2,5;4,1;;;;;;;;;;;
1213;Município;Ponte de Sor;11 432;116 841;107 164;10 221;3 587;5 071;5 559;6 033;7 154;8 309;9 381;11 038;12 082;13 384;18 694;3 541;5 044;5 520;6 004;7 079;8 218;9 151;10 560;11 399;12 437;16 518;33,2;2,5;4,7;;;;;;;;;;;
1214;Município;Portalegre;16 940;228 958;204 190;13 516;4 865;6 481;7 200;7 832;9 016;10 350;12 112;14 722;16 514;18 717;25 931;4 841;6 420;7 139;7 771;8 932;9 990;11 492;13 629;14 981;16 594;21 824;32,6;2,6;4,5;;;;;;;;;;;
1215;Município;Sousel;3 138;32 296;29 927;10 292;4 507;5 465;5 951;6 503;7 602;8 604;9 486;10 963;12 049;13 211;17 883;4 491;5 459;5 888;6 492;7 487;8 488;9 228;10 510;11 423;12 481;16 251;30,0;2,3;3,6;;;;;;;;;;;
187;NUTS 3;   Alentejo Central;109 942;1 408 607;1 259 768;12 812;4 799;6 407;7 131;7 743;8 808;9 999;11 532;13 577;14 977;16 884;24 017;4 765;6 354;7 055;7 652;8 717;9 655;10 986;12 657;13 761;15 185;20 340;31,8;2,4;4,3;;;;;;;;;;;
0701;Município;Alandroal;3 826;37 557;34 987;9 816;4 282;5 514;6 001;6 540;7 630;8 526;9 478;10 807;11 639;12 555;16 121;4 275;5 471;5 995;6 484;7 506;8 458;9 151;10 320;11 012;11 801;14 603;27,9;2,2;3,4;;;;;;;;;;;
0702;Município;Arraiolos;4 892;55 602;51 127;11 366;4 900;6 313;6 893;7 483;8 480;9 463;10 820;12 308;13 496;14 829;19 705;4 891;6 292;6 858;7 407;8 400;9 160;10 340;11 693;12 558;13 719;17 457;28,3;2,2;3,6;;;;;;;;;;;
0703;Município;Borba;4 714;51 446;47 285;10 914;4 725;6 101;6 711;7 215;8 180;9 055;10 170;11 740;12 619;13 924;18 862;4 682;6 094;6 678;7 141;8 042;8 951;9 835;11 191;11 898;12 950;16 495;28,7;2,1;3,5;;;;;;;;;;;
0704;Município;Estremoz;9 194;111 089;100 554;12 083;4 851;6 365;7 086;7 619;8 656;9 712;11 093;12 837;14 086;15 800;22 396;4 822;6 313;6 999;7 536;8 568;9 365;10 602;12 028;13 013;14 298;19 139;30,1;2,3;4,0;;;;;;;;;;;
0705;Município;Évora;38 814;596 975;518 908;15 380;5 406;7 421;8 216;8 787;10 175;11 748;13 740;16 526;18 488;21 052;29 588;5 324;7 323;8 115;8 705;9 795;11 179;12 790;14 874;16 356;18 281;24 067;32,6;2,5;4,5;;;;;;;;;;;
0706;Município;Montemor-o-Novo;10 967;133 414;120 169;12 165;4 778;6 205;6 904;7 512;8 520;9 498;10 878;12 618;13 935;15 562;22 038;4 760;6 155;6 839;7 449;8 428;9 200;10 465;11 904;12 964;14 235;18 906;31,1;2,3;4,0;;;;;;;;;;;
0707;Município;Mora;3 243;35 695;32 742;11 007;4 846;6 044;6 600;7 200;8 065;8 870;9 976;11 693;12 843;13 851;18 398;4 841;5 977;6 566;7 168;8 004;8 823;9 656;11 071;12 087;12 961;16 318;29,1;2,2;3,4;;;;;;;;;;;
0708;Município;Mourão;1 577;16 337;15 120;10 360;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;
0709;Município;Portel;3 932;38 866;36 205;9 885;4 187;5 352;5 887;6 394;7 514;8 400;9 271;10 746;11 610;12 920;16 870;4 187;5 348;5 834;6 363;7 463;8 332;9 151;10 291;11 057;12 144;15 188;29,2;2,3;3,6;;;;;;;;;;;
0710;Município;Redondo;4 491;47 027;43 310;10 471;4 200;5 503;6 026;6 569;7 657;8 620;9 653;11 098;12 137;13 776;19 018;4 173;5 460;6 010;6 537;7 576;8 535;9 309;10 619;11 473;12 753;16 784;30,5;2,3;4,0;;;;;;;;;;;
0711;Município;Reguengos de Monsaraz;7 114;80 608;73 664;11 331;4 282;5 806;6 501;7 117;8 252;9 240;10 626;12 284;13 484;15 254;20 385;4 272;5 780;6 469;7 049;8 137;9 087;10 236;11 637;12 638;13 884;17 673;31,0;2,4;4,1;;;;;;;;;;;
0712;Município;Vendas Novas;7 984;99 275;89 616;12 434;4 501;6 482;7 200;7 791;8 830;10 105;11 598;13 713;14 965;16 638;23 083;4 495;6 377;7 149;7 694;8 737;9 784;11 074;12 735;13 788;15 104;19 733;30,8;2,4;4,4;;;;;;;;;;;
0713;Município;Viana do Alentejo;3 623;40 240;37 111;11 107;4 427;5 927;6 615;7 253;8 366;9 335;10 400;12 105;13 276;14 654;20 000;4 425;5 902;6 604;7 150;8 230;9 151;10 132;11 441;12 453;13 537;17 768;29,7;2,3;4,0;;;;;;;;;;;
0714;Município;Vila Viçosa;5 571;64 475;58 969;11 573;4 908;6 437;6 986;7 501;8 503;9 456;10 789;12 463;13 446;14 689;20 183;4 883;6 400;6 916;7 432;8 406;9 158;10 352;11 715;12 484;13 600;17 899;29,0;2,1;3,7;;;;;;;;;;;
150;NUTS 3;  Algarve;334 266;4 140 168;3 679 934;12 386;3 716;5 485;6 254;6 995;8 369;9 503;11 100;13 215;14 700;16 661;23 647;3 660;5 430;6 180;6 901;8 248;9 168;10 591;12 336;13 526;15 001;20 097;35,2;2,8;5,5;;;;;;;;;;;
0801;Município;Albufeira;34 441;406 739;364 284;11 810;3 532;5 344;6 045;6 715;8 016;9 108;10 625;12 540;13 826;15 548;21 852;3 489;5 277;5 979;6 650;7 904;8 993;10 196;11 770;12 848;14 202;19 003;35,2;2,7;5,4;;;;;;;;;;;
0802;Município;Alcoutim;1 797;18 941;17 507;10 540;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;
0803;Município;Aljezur;3 712;40 403;36 397;10 884;3 018;4 829;5 390;6 032;7 321;8 553;9 797;11 655;12 580;13 923;20 234;2 986;4 757;5 271;5 930;7 212;8 405;9 409;10 996;11 869;12 830;17 820;36,2;2,7;6,0;;;;;;;;;;;
0804;Município;Castro Marim;4 686;51 572;46 981;11 005;3 441;5 089;5 701;6 323;7 621;8 801;10 047;11 985;13 155;14 940;20 619;3 418;5 052;5 643;6 288;7 566;8 702;9 711;11 238;12 450;13 750;18 093;34,4;2,7;5,3;;;;;;;;;;;
0805;Município;Faro;49 208;728 117;628 561;14 797;4 186;6 224;7 160;7 968;9 295;11 076;13 180;16 107;18 110;20 887;29 272;4 123;6 150;7 059;7 845;9 128;10 567;12 278;14 539;16 062;18 072;23 847;36,0;2,9;5,8;;;;;;;;;;;
0806;Município;Lagoa;16 681;200 173;179 100;12 000;3 720;5 483;6 263;6 985;8 278;9 360;10 817;12 726;14 128;15 996;22 271;3 660;5 434;6 169;6 866;8 169;9 155;10 350;11 996;13 141;14 547;19 182;34,5;2,7;5,2;;;;;;;;;;;
0807;Município;Lagos;22 748;276 996;245 936;12 177;3 580;5 508;6 292;7 013;8 372;9 423;10 918;12 880;14 277;16 073;23 159;3 488;5 444;6 190;6 930;8 233;9 152;10 378;12 000;13 127;14 543;19 671;35,0;2,7;5,6;;;;;;;;;;;
0808;Município;Loulé;54 003;668 953;592 494;12 387;3 459;5 331;6 119;6 872;8 286;9 386;10 949;13 013;14 432;16 300;23 036;3 402;5 252;6 029;6 772;8 132;9 156;10 453;12 172;13 332;14 736;19 693;36,4;2,8;5,8;;;;;;;;;;;
0809;Município;Monchique;3 372;33 523;30 926;9 942;3 522;5 015;5 449;6 073;7 167;8 395;9 240;10 670;11 788;13 093;17 895;3 476;5 015;5 376;5 986;7 081;8 270;9 055;10 195;11 133;12 306;16 083;32,5;2,5;4,6;;;;;;;;;;;
0810;Município;Olhão;29 644;351 264;316 482;11 849;3 773;5 454;6 186;6 930;8 326;9 423;11 017;12 999;14 378;16 200;22 729;3 735;5 410;6 128;6 864;8 220;9 151;10 519;12 154;13 290;14 695;19 403;33,6;2,7;5,2;;;;;;;;;;;
0811;Município;Portimão;43 275;547 448;486 275;12 650;3 995;5 707;6 448;7 116;8 400;9 690;11 286;13 465;15 045;17 015;24 010;3 961;5 643;6 377;7 034;8 347;9 338;10 773;12 595;13 802;15 378;20 435;34,8;2,7;5,2;;;;;;;;;;;
0812;Município;São Brás de Alportel;7 616;97 246;86 074;12 769;3 617;5 456;6 260;7 000;8 449;9 776;11 465;13 843;15 485;17 630;24 489;3 588;5 421;6 180;6 909;8 400;9 389;10 867;12 837;14 120;15 732;20 622;36,1;2,9;5,7;;;;;;;;;;;
0813;Município;Silves;26 483;300 182;272 847;11 335;3 839;5 448;6 196;6 901;8 226;9 270;10 755;12 600;13 773;15 382;20 795;3 795;5 399;6 162;6 831;8 121;9 125;10 255;11 816;12 799;14 081;17 957;32,3;2,6;4,7;;;;;;;;;;;
0814;Município;Tavira;19 088;221 703;198 019;11 615;3 500;5 109;5 753;6 413;7 800;8 871;10 345;12 325;13 799;15 673;22 588;3 442;5 052;5 700;6 352;7 682;8 751;9 914;11 583;12 729;14 189;19 212;35,6;2,8;5,6;;;;;;;;;;;
0815;Município;Vila do Bispo;3 923;43 970;39 554;11 208;3 453;5 379;6 101;6 889;8 088;9 189;10 503;12 078;13 339;14 828;19 942;3 344;5 318;6 000;6 727;7 986;8 971;9 992;11 329;12 416;13 529;17 197;33,0;2,5;5,1;;;;;;;;;;;
0816;Município;Vila Real de Santo António;13 589;152 938;138 498;11 255;3 600;5 234;5 950;6 690;7 987;8 922;10 287;12 118;13 445;15 152;21 278;3 599;5 212;5 905;6 608;7 926;8 812;9 881;11 430;12 501;13 883;18 404;33,6;2,7;5,1;;;;;;;;;;;
200;NUTS 3; R. A. Açores;162 128;2 085 796;1 907 506;12 865;3 640;5 377;6 121;6 829;8 372;9 529;10 988;13 341;15 170;17 621;25 696;3 617;5 344;6 085;6 787;8 302;9 354;10 707;12 812;14 379;16 382;22 765;38,1;3,1;6,3;;;;;;;;;;;
4101;Município;Vila do Porto;3 789;59 368;52 181;15 668;3 692;5 458;6 212;6 998;8 770;9 788;11 351;14 048;16 294;19 543;31 608;3 673;5 440;6 181;6 987;8 704;9 676;11 056;13 409;15 220;17 890;27 338;44,3;3,3;7,4;;;;;;;;;;;
4201;Município;Lagoa (R.A.A.);9 296;107 219;97 834;11 534;2 869;4 595;5 091;5 623;6 940;8 527;9 738;11 459;12 839;14 865;22 832;2 862;4 577;5 075;5 611;6 938;8 483;9 552;11 192;12 394;14 168;20 514;40,6;3,1;7,2;;;;;;;;;;;
4202;Município;Nordeste;2 903;26 260;24 945;9 046;2 794;4 394;4 807;5 119;6 165;7 405;8 820;10 059;10 979;12 154;16 686;2 753;4 377;4 785;5 092;6 158;7 367;8 820;9 883;10 716;11 686;15 512;35,5;2,7;5,6;;;;;;;;;;;
4203;Município;Ponta Delgada;47 375;712 298;640 276;15 035;4 388;6 137;6 947;7 831;9 210;10 606;12 618;15 981;18 399;21 706;30 412;4 373;6 101;6 917;7 768;9 140;10 373;12 156;15 031;17 048;19 596;26 244;38,3;3,2;6,0;;;;;;;;;;;
4204;Município;Povoação;3 776;34 632;32 817;9 172;2 307;3 979;4 572;5 022;6 136;7 342;8 665;10 011;11 059;12 332;17 969;2 300;3 973;4 557;5 014;6 075;7 301;8 604;9 788;10 811;11 940;16 465;37,9;3,0;7,2;;;;;;;;;;;
4205;Município;Ribeira Grande;18 894;202 225;189 054;10 703;2 933;4 577;5 122;5 731;7 125;8 631;9 692;11 255;12 475;14 194;21 189;2 929;4 558;5 107;5 704;7 094;8 571;9 541;11 009;12 068;13 652;19 304;37,7;3,0;6,6;;;;;;;;;;;
4206;Município;Vila Franca do Campo;6 403;61 619;57 404;9 623;2 352;3 863;4 470;4 911;5 826;7 069;8 770;10 068;11 106;12 693;19 731;2 317;3 835;4 446;4 896;5 789;7 043;8 714;9 915;10 839;12 254;18 185;40,2;3,2;7,9;;;;;;;;;;;
4301;Município;Angra do Heroísmo;24 180;331 649;302 597;13 716;4 140;5 987;6 745;7 551;8 846;10 112;11 838;14 711;16 651;19 064;27 279;4 115;5 973;6 709;7 498;8 820;9 913;11 458;13 997;15 605;17 630;23 986;36,9;3,0;5,8;;;;;;;;;;;
4302;Município;Vila da Praia da Vitória;13 801;166 920;155 032;12 095;3 988;5 767;6 506;7 228;8 637;9 656;11 003;13 124;14 701;16 682;22 997;3 944;5 731;6 455;7 163;8 565;9 459;10 727;12 587;13 930;15 596;20 761;34,3;2,7;5,3;;;;;;;;;;;
4401;Município;Santa Cruz da Graciosa;2 842;32 269;29 986;11 354;3 519;5 134;5 745;6 284;7 527;8 842;10 202;11 671;13 216;15 510;22 709;3 487;5 080;5 705;6 239;7 471;8 822;9 956;11 376;12 703;14 579;20 401;36,5;2,9;5,9;;;;;;;;;;;
4501;Município;Calheta (R.A.A.);2 530;24 892;23 527;9 839;2 810;4 750;5 440;6 064;7 264;8 582;9 437;10 595;11 363;12 750;17 567;2 774;4 707;5 394;6 023;7 205;8 545;9 263;10 325;11 073;12 162;16 569;34,5;2,6;6,0;;;;;;;;;;;
4502;Município;Velas;3 457;39 203;36 723;11 340;3 642;5 406;6 219;6 841;8 241;9 158;10 399;12 112;13 608;15 414;21 570;3 613;5 370;6 193;6 833;8 195;9 107;10 147;11 703;12 987;14 740;19 429;34,3;2,7;5,4;;;;;;;;;;;
4601;Município;Lajes do Pico;2 976;32 538;30 588;10 933;3 702;5 451;6 176;6 671;7 891;8 844;9 878;11 432;12 470;14 485;21 450;3 693;5 441;6 112;6 639;7 832;8 820;9 670;11 100;12 032;13 828;19 437;33,5;2,5;5,3;;;;;;;;;;;
4602;Município;Madalena;4 446;51 504;48 137;11 584;4 031;5 802;6 506;7 220;8 394;9 279;10 499;12 248;13 460;15 393;21 992;4 025;5 770;6 506;7 139;8 321;9 151;10 256;11 827;12 880;14 601;19 657;33,2;2,5;4,9;;;;;;;;;;;
4603;Município;São Roque do Pico;2 277;26 889;24 873;11 809;3 443;5 129;5 912;6 701;7 909;9 079;10 265;12 020;13 937;16 417;23 985;3 438;5 124;5 857;6 700;7 903;9 061;10 002;11 740;13 241;15 474;21 440;36,9;3,0;6,2;;;;;;;;;;;
4701;Município;Horta;10 331;142 137;129 962;13 758;4 434;6 329;7 125;7 861;9 092;10 239;11 988;14 511;16 479;18 832;26 402;4 428;6 284;7 076;7 833;9 030;10 030;11 632;13 884;15 458;17 356;23 186;35,8;2,8;5,2;;;;;;;;;;;
4801;Município;Lajes das Flores;995;11 478;10 581;11 536;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;
4802;Município;Santa Cruz das Flores;1 547;18 392;17 082;11 889;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;
4901;Município;Corvo;310;4 304;3 909;13 885;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;
300;NUTS 3; R. A. Madeira;160 111;2 094 933;1 877 640;13 084;3 792;5 483;6 257;7 057;8 592;9 762;11 442;13 902;15 781;18 306;25 922;3 758;5 455;6 211;7 000;8 524;9 527;11 058;13 149;14 659;16 597;22 308;36,6;3,0;5,9;;;;;;;;;;;
3101;Município;Calheta (R.A.M.);5 735;59 647;54 800;10 401;2 392;4 305;4 779;5 405;6 780;8 292;9 588;11 383;12 667;14 838;21 236;2 347;4 283;4 725;5 352;6 744;8 219;9 364;11 010;12 053;13 830;18 842;38,1;3,2;8,0;;;;;;;;;;;
3102;Município;Câmara de Lobos;18 317;176 151;166 250;9 617;3 363;4 780;5 392;5 876;7 018;8 303;9 188;10 552;11 384;12 556;17 320;3 348;4 767;5 374;5 846;7 000;8 266;9 130;10 314;11 036;12 051;16 005;32,3;2,5;4,8;;;;;;;;;;;
3103;Município;Funchal;72 880;1 104 631;965 959;15 157;4 257;6 120;7 026;7 882;9 186;10 839;12 907;16 279;18 816;21 943;30 866;4 205;6 055;6 949;7 811;9 094;10 495;12 321;15 022;16 960;19 309;25 569;37,5;3,2;6,1;;;;;;;;;;;
3104;Município;Machico;12 677;136 917;127 346;10 800;3 665;5 215;5 800;6 461;7 731;8 912;10 197;11 900;13 202;14 882;21 115;3 651;5 199;5 785;6 433;7 675;8 852;9 919;11 464;12 502;13 928;18 772;33,0;2,7;5,1;;;;;;;;;;;
3105;Município;Ponta do Sol;4 388;44 178;41 055;10 068;2 531;4 307;4 843;5 458;6 636;7 989;9 251;10 952;12 224;13 831;20 816;2 513;4 304;4 841;5 425;6 607;7 962;9 152;10 616;11 611;13 140;18 577;37,4;3,1;7,4;;;;;;;;;;;
3106;Município;Porto Moniz;1 446;15 329;14 197;10 601;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;
3107;Município;Ribeira Brava;6 924;72 333;67 450;10 447;3 441;4 925;5 533;6 154;7 539;8 622;9 746;11 523;12 545;14 200;20 241;3 424;4 904;5 502;6 121;7 464;8 610;9 550;11 149;11 998;13 415;18 189;33,6;2,7;5,3;;;;;;;;;;;
3108;Município;Santa Cruz;27 010;360 300;326 400;13 339;4 135;6 019;7 000;7 890;9 223;10 713;12 428;15 014;16 833;19 009;25 449;4 114;5 982;6 966;7 839;9 150;10 411;11 969;14 100;15 473;17 243;22 044;33,8;2,9;5,4;;;;;;;;;;;
3109;Município;Santana;4 002;38 342;36 068;9 581;3 039;4 573;5 085;5 529;6 706;7 979;9 146;10 602;11 458;12 635;18 111;3 017;4 561;5 041;5 507;6 658;7 934;9 088;10 318;11 006;12 120;16 471;34,2;2,7;5,5;;;;;;;;;;;
3110;Município;São Vicente;2 602;26 711;24 714;10 266;2 965;4 540;5 154;5 693;6 856;8 159;9 259;11 130;12 328;14 026;20 697;2 903;4 538;5 145;5 626;6 806;8 114;9 151;10 688;11 754;13 340;18 690;35,9;2,9;6,4;;;;;;;;;;;
3201;Município;Porto Santo;4 130;60 395;53 401;14 623;4 877;6 719;7 505;8 248;9 593;11 114;12 867;15 495;17 500;20 582;28 034;4 845;6 685;7 390;8 170;9 341;10 647;12 144;14 284;15 897;18 198;23 819;34,3;2,7;4,9;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
