Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Sujeitos Passivos;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por sujeito passivo;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;20;25;30;40;50;60;70;75;80;90;;P80/P20;P90/P10;;;;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;;;;;;;;;;;;%;Nº;Nº;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;;;;;;;;;;;
0906;Município;Gouveia;8 393;86 027;79 007;10 250;3 610;4 894;5 428;5 967;7 127;8 290;9 185;10 582;11 709;13 278;18 969;3 554;4 871;5 421;5 932;7 045;8 185;9 083;10 173;11 178;12 486;16 692;33,7;2,6;4,7;;;;;;;;;;;
0907;Município;Guarda;28 383;384 053;339 142;13 531;4 312;5 997;6 796;7 593;8 891;10 397;12 231;14 809;16 458;18 764;26 394;4 287;5 947;6 726;7 503;8 794;9 998;11 578;13 650;14 927;16 621;22 220;34,3;2,8;5,2;;;;;;;;;;;
0908;Município;Manteigas;2 222;22 025;20 382;9 912;4 094;5 111;5 565;5 979;7 031;8 176;8 976;10 280;11 024;12 285;16 613;4 039;5 093;5 542;5 952;6 977;8 048;8 891;9 890;10 613;11 513;15 184;31,9;2,3;3,8;;;;;;;;;;;
0909;Município;Mêda;3 127;29 924;27 416;9 570;2 937;4 435;4 874;5 392;6 602;7 773;8 851;10 276;11 258;12 591;17 547;2 919;4 421;4 865;5 353;6 452;7 723;8 721;9 882;10 650;11 815;15 501;34,6;2,7;5,3;;;;;;;;;;;
0910;Município;Pinhel;6 178;58 497;53 912;9 469;2 952;4 480;4 919;5 403;6 476;7 712;8 840;10 350;11 467;12 643;17 550;2 925;4 456;4 892;5 350;6 393;7 629;8 743;9 891;10 783;11 863;15 714;34,2;2,7;5,4;;;;;;;;;;;
0911;Município;Sabugal;7 107;71 475;65 907;10 057;2 981;4 792;5 424;5 997;7 213;8 401;9 516;11 048;12 017;13 404;18 575;2 952;4 744;5 341;5 887;7 160;8 386;9 178;10 508;11 389;12 518;16 339;34,1;2,6;5,5;;;;;;;;;;;
0912;Município;Seia;15 738;165 401;151 710;10 510;4 047;5 231;5 760;6 292;7 399;8 450;9 425;11 032;12 161;13 572;19 267;4 018;5 215;5 748;6 247;7 334;8 400;9 151;10 570;11 521;12 604;16 949;32,1;2,4;4,2;;;;;;;;;;;
0913;Município;Trancoso;5 708;56 611;51 958;9 918;3 037;4 616;5 097;5 593;6 796;8 156;8 930;10 379;11 544;12 921;18 623;2 981;4 597;5 067;5 554;6 748;8 046;8 866;9 956;10 900;12 072;16 551;34,8;2,6;5,6;;;;;;;;;;;
170;NUTS 3;  A. M. Lisboa;2 031 237;34 256 016;28 906 897;16 865;4 570;6 793;7 700;8 433;10 007;11 917;14 375;17 839;20 249;23 278;33 420;4 526;6 713;7 585;8 400;9 627;11 283;13 281;15 912;17 686;19 898;26 677;37,6;3,0;5,9;;;;;;;;;;;
1502;Município;Alcochete;12 772;228 211;191 716;17 868;4 870;7 089;7 953;8 660;10 172;12 240;15 164;19 249;21 969;25 101;35 014;4 835;7 000;7 843;8 545;9 810;11 594;13 910;17 052;19 096;21 272;27 920;38,1;3,0;5,8;;;;;;;;;;;
