nationality;resident_count_male;resident_count_female;permits_granted_male;permits_granted_female
Afeganistão;315;283;257;269
África do Sul;865;883;219;186
Albânia;51;40;4;2
Alemanha;9720;8620;2128;1807
Andorra;6;5;0;2
Angola;11130;14672;2097;2500
Antígua e Barbuda;7;5;1;0
Apátrida;13;11;0;0
Arábia Saudita;58;39;7;4
Argélia;465;285;122;50
Argentina;387;426;107;105
Arménia;30;52;4;10
Austrália;311;237;58;22
Áustria;768;699;148;134
Azerbaijão;22;30;7;5
Bahamas;2;2;2;2
Bahrein;8;4;3;0
Bangladesh;8546;2390;1738;394
Barbados;2;2;0;0
Bélgica;3147;2510;546;413
Belize;1;3;0;0
Benin;13;1;3;1
Bermudas;1;1;1;0
Bielorrússia;201;393;35;47
Bolívia;45;92;7;12
Bósnia e Herzegovina;19;42;2;6
Botswana;4;8;1;4
Brasil;92708;111986;18900;20556
Brunei;2;3;1;0
Bulgária;3199;3292;109;127
Burkina Faso;20;7;0;0
Burundi;4;6;0;0
Butão;3;4;0;1
Cabo Verde;16455;17638;1775;2114
Camarões;154;95;44;19
Camboja;18;28;2;4
Canadá;678;593;129;116
Cazaquistão;346;363;55;45
Chade;2;1;1;1
Chile;195;214;48;48
China;11495;11287;654;702
Chipre;74;52;24;20
Colômbia;743;947;232;163
Comores;1;2;1;1
Congo;31;52;5;8
República Democrática do Congo;130;117;11;12
Coreia do Sul;90;136;15;16
Costa do Marfim;118;71;18;10
Costa Rica;42;52;10;15
Croácia;209;220;32;48
Cuba;596;668;125;75
Desconhecido;13;9;1;0
Dinamarca;904;624;197;146
Djibuti;3;0;1;0
Dominica;14;6;1;2
Egipto;337;236;70;40
El Salvador;31;24;8;4
Emiratos Árabes Unidos;13;7;2;0
Equador;230;239;99;77
Eritreia;159;50;5;7
Eslováquia;124;269;43;74
Eslovénia;100;151;31;44
Espanha;9467;9079;1877;1706
Estados Unidos da América;3351;3534;1179;1296
Estónia;105;211;24;46
Etiópia;27;33;11;7
Ilhas Fiji;2;1;1;0
Filipinas;293;814;34;103
Finlândia;542;615;98;95
França;14066;12653;2433;2321
Gabão;12;15;0;3
Gâmbia;228;46;63;7
Gana;152;60;36;18
Geórgia;246;221;50;21
Granada;2;0;1;0
Grécia;410;384;115;88
Guatemala;38;41;9;10
Guiana;6;5;0;2
Guiné;825;379;81;31
Guiné-Bissau;10888;9469;2159;1587
Guiné Equatorial;17;27;4;6
Haiti;12;2;4;1
Honduras;25;33;12;8
Hong Kong;90;104;54;68
Hungria;399;660;102;115
Iémen;27;17;2;0
Índia;24177;6074;6152;1255
Indonésia;571;146;187;30
Irão;799;632;187;151
Iraque;306;272;51;45
Irlanda;1935;1392;517;358
Islândia;76;58;18;11
Israel;216;185;60;51
Itália;17642;13177;2849;2453
Jamaica;9;8;1;2
Japão;194;289;41;49
Jordânia;199;186;25;19
Kosovo;13;13;2;1
Kuwait;20;13;2;3
Laos;0;2;0;0
Lesoto;0;2;0;0
Letónia;190;402;57;65
Líbano;317;250;66;45
Libéria;12;3;2;0
Líbia;73;67;9;4
Liechtenstein;4;4;2;1
Lituânia;265;631;62;106
Luxemburgo;257;215;63;59
Macau;0;3;0;1
Macedónia do Norte;20;37;4;6
Madagáscar;4;12;1;3
Malásia;36;69;5;11
Maláui;7;13;4;1
Maldivas;1;6;0;1
Mali;57;8;5;1
Malta;59;50;16;16
Marrocos;1206;930;277;152
Ilhas Maurícias;12;15;5;5
Mauritânia;21;2;3;0
México;289;410;69;79
Moçambique;1608;2195;360;390
Moldávia;2430;2747;296;242
Mongólia;5;19;0;3
Montenegro;11;8;3;1
Mianmar;2;4;1;4
Namíbia;12;22;3;4
Nepal;13607;7938;1820;939
Nicarágua;19;29;5;10
Níger;6;2;5;2
Nigéria;591;275;130;56
Noruega;623;429;117;69
Nova Zelândia;52;52;13;8
Omã;5;3;0;0
Países Baixos;5875;5138;973;877
Palestina;36;25;7;3
Panamá;18;46;4;4
Paquistão;5341;2158;1451;555
Paraguai;40;109;8;13
Peru;177;289;59;54
Polónia;1237;2414;380;570
Qatar;1;0;0;0
Quénia;41;66;6;15
Quirguistão;13;20;2;0
Reino Unido;23312;18620;242;175
Reino Unido;5;7;1;3
República Centro-Africana;4;4;0;0
República Checa;239;381;68;76
República Dominicana;57;114;11;17
Roménia;15423;13488;569;470
Ruanda;10;17;3;0
Rússia;1951;3205;279;329
Santa Lúcia;1;2;1;0
São Cristóvão e Nevis;30;16;8;3
São Tomé e Príncipe;5104;6130;955;1025
Senegal;1222;451;233;67
Serra Leoa;69;37;14;3
Sérvia;118;156;28;28
Seychelles;5;3;0;0
Singapura;32;61;9;13
Síria;665;526;109;75
Somália;45;16;7;0
Sri Lanka;64;42;21;10
Essuatíni;5;5;3;2
Sudão;98;73;19;16
Sudão do Sul;31;33;6;5
Suécia;3018;2468;463;348
Suíça;1659;1520;295;281
Suriname;3;1;0;0
Tailândia;1089;706;101;83
Taiwan;15;31;2;8
Tajiquistão;13;21;2;2
Tanzânia;20;17;3;5
Timor-Leste;98;136;25;28
Togo;35;15;11;5
Trindade e Tobago;13;4;3;1
Tunísia;307;243;83;65
Turquemenistão;6;7;0;1
Turquia;681;682;106;109
Ucrânia;12407;14788;566;592
Uganda;22;21;6;3
Uruguai;122;104;34;16
Uzbequistão;729;472;90;31
Vanuatu;4;0;1;0
Venezuela;3440;4856;573;658
Vietname;303;337;44;54
Zâmbia;12;17;6;2
Zimbabwe;31;41;5;5
