nationality;resident_count_male;resident_count_female;permits_granted_male;permits_granted_female
Afeganistão;41;21;3;3
África do Sul;779;826;155;156
Albânia;44;40;6;7
Alemanha;7707;6962;1568;1257
Andorra;7;6;0;1
Angola;10088;12603;1972;2506
Antígua e Barbuda;1;0;1;0
Apátrida;19;14;1;1
Arábia Saudita;95;87;10;5
Argélia;292;225;109;76
Argentina;258;302;56;68
Arménia;34;47;5;7
Austrália;243;216;58;41
Áustria;690;627;158;131
Azerbaijão;29;38;6;7
Bahamas;0;1;0;0
Bahrein;7;5;1;0
Bangladesh;6293;1671;1812;584
Barbados;1;3;0;0
Bélgica;2643;2138;529;385
Belize;3;5;0;0
Benin;10;1;0;0
Bermudas;0;1;0;1
Bielorrússia;191;373;15;33
Bolívia;34;86;3;7
Bósnia e Herzegovina;18;41;6;3
Botswana;2;2;0;1
Brasil;65146;86158;23575;25221
Brunei;0;2;0;1
Bulgária;3344;3495;139;162
Burkina Faso;23;7;7;2
Burundi;3;3;1;1
Butão;3;2;2;0
Cabo Verde;17452;19984;1996;2384
Camarões;106;77;27;18
Camboja;8;21;5;10
Canadá;541;471;97;71
Cazaquistão;259;322;58;43
Chade;2;0;1;0
Chile;143;163;39;50
China;13922;13917;1038;1126
Chipre;47;37;20;9
Colômbia;486;778;139;203
Comores;0;1;0;1
Congo;32;47;3;9
República Democrática do Congo;121;122;12;21
Coreia do Sul;83;117;33;28
Costa do Marfim;106;63;17;13
Costa Rica;33;48;5;4
Croácia;192;183;36;43
Cuba;494;622;72;79
Desconhecido;7;4;1;0
Dinamarca;694;471;141;93
Djibuti;4;2;0;0
Dominica;9;4;3;1
Egipto;293;182;73;55
El Salvador;28;26;7;6
Emiratos Árabes Unidos;19;12;1;1
Equador;252;243;106;83
Eritreia;160;49;10;7
Eslováquia;98;224;22;53
Eslovénia;71;102;25;32
Espanha;8102;7746;1703;1543
Estados Unidos da América;2034;2100;536;579
Estónia;79;180;24;29
Etiópia;26;31;7;5
Ilhas Fiji;2;2;0;0
Filipinas;264;733;45;114
Finlândia;625;646;66;99
França;12315;10810;2569;2361
Gabão;13;15;4;2
Gâmbia;144;42;29;6
Gana;125;48;23;12
Geórgia;230;220;37;23
Granada;2;2;1;0
Grécia;319;314;88;83
Guatemala;25;34;9;6
Guiana;5;4;1;0
Guiné;963;452;120;82
Guiné-Bissau;10067;8819;1932;1525
Guiné Equatorial;32;37;2;3
Haiti;7;2;5;0
Países Baixos;5389;4649;822;697
Honduras;18;30;7;4
Hong Kong;15;14;7;4
Hungria;316;565;89;116
Iémen;22;7;11;4
Índia;13235;4384;4996;1271
Indonésia;321;104;184;19
Irão;605;494;174;135
Iraque;220;184;45;61
Irlanda;1307;942;350;230
Islândia;58;50;20;15
Israel;143;125;37;34
Itália;14878;10530;4505;3360
Jamaica;8;6;0;0
Japão;186;269;32;32
Jordânia;260;196;57;32
Kosovo;17;19;0;1
Kuwait;34;23;9;8
Laos;0;1;0;0
Lesoto;0;2;0;1
Letónia;142;351;21;47
Líbano;311;254;69;62
Libéria;11;3;1;1
Líbia;90;78;22;22
Liechtenstein;4;4;0;0
Lituânia;251;582;31;95
Luxemburgo;160;135;52;39
Macau;0;1;0;0
Macedónia do Norte;28;38;11;8
Madagáscar;1;10;0;2
Malásia;34;56;10;17
Maláui;5;13;0;0
Maldivas;2;6;0;1
Mali;45;7;7;0
Malta;35;26;14;6
Marrocos;864;820;163;129
Ilhas Marshall;1;0;0;0
Ilhas Maurícias;17;17;2;5
Mauritânia;20;3;1;0
México;238;357;60;65
Moçambique;1465;2036;297;336
Moldávia;2346;2752;346;315
Mongólia;4;16;1;3
Montenegro;9;7;6;1
Mianmar;3;0;0;0
Namíbia;9;19;2;3
Nauru;1;0;1;0
Nepal;10761;6088;3171;1839
Nicarágua;12;23;3;5
Níger;1;0;0;0
Nigéria;433;235;118;51
Noruega;499;375;111;54
Nova Zelândia;39;45;5;8
Omã;7;2;3;0
Palestina;43;36;11;10
Panamá;20;46;5;9
Papua-Nova Guiné;1;1;1;1
Paquistão;3788;1522;769;268
Paraguai;31;93;10;14
Peru;108;217;26;59
Polónia;883;1876;209;413
Qatar;1;2;1;0
Quénia;39;68;5;9
Quirguistão;10;17;2;1
Reino Unido;18554;15804;4645;3708
Reino Unido;4;5;0;0
República Centro-Africana;4;5;0;0
República Checa;173;336;50;81
República Dominicana;57;104;6;18
Roménia;16859;14206;1099;763
Ruanda;11;18;4;3
Rússia;1768;3117;253;393
Samoa;0;1;0;0
São Cristóvão e Nevis;37;30;9;6
São Tomé e Príncipe;4586;5655;713;812
São Vicente e Granadinas;1;0;0;0
Senegal;993;453;235;51
Serra Leoa;53;35;7;5
Sérvia;91;128;16;24
Seychelles;3;2;0;0
Singapura;15;37;7;11
Síria;610;495;107;99
Somália;23;19;3;5
Sri Lanka;56;33;8;5
Essuatíni;1;5;0;0
Sudão;68;37;25;14
Sudão do Sul;16;23;13;13
Suécia;2702;2210;479;391
Suíça;1357;1225;247;226
Suriname;0;1;0;1
Tailândia;1104;622;15;46
Taiwan;13;23;4;7
Tajiquistão;12;14;2;1
Tanzânia;26;14;7;2
Timor-Leste;172;172;43;62
Togo;20;17;3;3
Trindade e Tobago;9;5;0;2
Tunísia;214;144;60;48
Turquemenistão;5;7;1;1
Turquia;640;653;194;199
Ucrânia;13604;16114;821;1008
Uganda;16;16;3;5
Uruguai;83;88;14;21
Uzbequistão;647;462;89;37
Vanuatu;2;0;1;0
Venezuela;2639;3912;788;1100
Vietname;242;273;87;102
Zâmbia;5;8;2;3
Zimbabwe;29;35;5;12
