nationality;resident_count_male;resident_count_female;permits_granted_male;permits_granted_female
Afeganistão;36;14;13;1
África do Sul;480;540;199;188
Albânia;24;35;4;6
Alemanha;5755;5405;1016;897
Andorra;8;3;2;0
Angola;7604;9250;818;1013
Apátrida;19;12;7;5
Arábia Saudita;63;52;48;47
Argélia;176;150;18;30
Argentina;200;224;22;25
Arménia;39;63;5;8
Austrália;172;160;40;27
Áustria;495;460;115;126
Azerbaijão;21;29;8;10
Bahamas;0;1;0;0
Bahrein;8;2;6;2
Bangladesh;2742;708;479;258
Barbados;1;3;0;0
Bélgica;1925;1583;463;350
Belize;4;4;1;1
Benin;10;1;1;1
Bermudas;0;1;0;0
Bielorrússia;188;377;8;31
Bolívia;30;75;5;7
Bósnia e Herzegovina;18;41;2;7
Botswana;4;3;2;0
Brasil;32900;52526;5056;6518
Bulgária;3471;3562;369;433
Burkina Faso;18;6;5;1
Burundi;4;2;1;1
Butão;2;2;2;1
Cabo Verde;16160;18826;998;1062
Camarões;97;51;15;6
Camboja;2;7;1;0
Canadá;440;390;82;60
Cazaquistão;216;300;15;21
Chade;4;1;2;0
Chile;103;111;16;11
China;11613;11584;1244;1356
Chipre;19;24;5;10
Colômbia;349;573;50;80
Comores;0;1;0;0
Congo;25;48;7;9
República Democrática do Congo;123;111;9;16
Ilhas Cook;0;1;0;0
Coreia do Sul;99;107;20;10
Costa do Marfim;86;43;7;12
Costa Rica;35;45;11;17
Croácia;146;154;62;35
Cuba;404;525;36;38
Desconhecido;9;4;1;0
Dinamarca;516;363;174;98
Djibuti;0;1;0;1
Dominica;5;4;4;2
Egipto;210;105;43;28
El Salvador;26;18;5;3
Emiratos Árabes Unidos;16;9;10;8
Equador;184;187;86;59
Eritreia;120;36;59;12
Eslováquia;82;166;26;45
Eslovénia;63;73;14;24
Espanha;6369;6157;1447;1291
Estados Unidos da América;1465;1423;296;318
Estónia;45;147;14;38
Etiópia;22;26;5;4
Ilhas Fiji;2;5;0;1
Filipinas;215;548;15;60
Finlândia;610;553;89;120
França;8146;7173;2492;2170
Gabão;10;11;0;1
Gâmbia;110;39;12;8
Gana;100;46;22;9
Geórgia;279;252;14;18
Granada;2;2;0;0
Grécia;214;211;69;70
Guatemala;16;27;2;3
Guiana;5;4;2;1
Guiné;882;393;91;67
Guiné-Bissau;8032;7166;542;578
Guiné Equatorial;31;31;3;0
Haiti;5;2;0;0
Países Baixos;4204;3633;743;602
Honduras;10;26;1;7
Hong Kong;4;9;2;0
Hungria;208;389;56;87
Iémen;11;3;4;1
Índia;5490;2500;1209;592
Indonésia;106;76;35;14
Irão;377;322;80;66
Iraque;164;121;96;76
Irlanda;748;589;223;157
Islândia;35;35;9;2
Israel;93;85;20;32
Itália;7677;5248;3139;2128
Jamaica;7;6;1;2
Japão;185;265;20;20
Jordânia;165;128;64;58
Kosovo;22;21;9;7
Kuwait;20;9;14;9
Laos;6;5;0;0
Lesoto;0;2;0;0
Letónia;118;273;30;48
Líbano;182;143;68;64
Libéria;10;2;0;0
Líbia;69;57;31;25
Liechtenstein;4;4;0;0
Lituânia;200;449;33;74
Luxemburgo;105;88;15;25
Macau;1;2;0;0
Macedónia do Norte;16;27;4;5
Madagáscar;1;8;0;1
Malásia;24;38;4;5
Maláui;4;15;1;2
Maldivas;3;3;1;2
Mali;40;9;5;1
Malta;23;19;8;4
Marrocos;742;769;63;80
Ilhas Maurícias;11;8;2;2
Mauritânia;21;4;3;0
México;212;304;42;42
Moçambique;1247;1607;158;171
Moldávia;2333;2877;94;162
Mongólia;9;18;3;0
Montenegro;7;5;2;2
Mianmar;6;4;1;1
Namíbia;4;14;2;6
Nepal;4718;2719;998;748
Nicarágua;3;13;1;3
Níger;1;1;1;0
Nigéria;326;182;61;27
Noruega;367;313;85;83
Nova Zelândia;30;25;8;7
Omã;4;3;2;2
Palau;0;1;0;0
Palestina;35;27;4;2
Panamá;20;41;16;21
Paquistão;2299;1081;411;214
Paraguai;35;83;3;13
Peru;85;166;12;25
Polónia;588;1310;162;336
Quénia;28;50;10;11
Quirguistão;12;19;2;3
Reino Unido;11942;10489;2182;1650
Reino Unido;4;6;2;0
República Centro-Africana;5;4;0;0
República Checa;139;246;54;68
República Dominicana;54;93;17;9
Roménia;16832;13918;1456;965
Ruanda;7;26;0;5
Rússia;1490;2774;156;265
Samoa;0;1;0;0
Santa Lúcia;0;1;0;0
São Cristóvão e Nevis;16;15;5;4
São Tomé e Príncipe;3916;4689;366;406
Senegal;805;436;62;51
Serra Leoa;42;22;11;1
Sérvia;89;116;24;17
Seychelles;4;3;3;1
Singapura;8;24;2;5
Síria;398;318;206;165
Somália;28;19;4;0
Sri Lanka;42;30;3;6
Essuatíni;0;5;0;0
Sudão;17;11;6;2
Suécia;2027;1537;575;458
Suíça;990;851;221;164
Tailândia;1165;526;239;111
Taiwan;13;19;2;1
Tajiquistão;9;9;1;1
Tanzânia;18;8;3;1
Timor-Leste;127;80;24;25
Togo;18;12;1;1
Trindade e Tobago;8;4;3;2
Tunísia;137;95;28;23
Turquemenistão;3;4;0;0
Turquia;388;355;94;100
Ucrânia;15530;16923;549;698
Uganda;14;12;1;4
Uruguai;69;64;12;9
Uzbequistão;574;443;41;33
Vanuatu;0;1;0;0
Venezuela;1216;1888;350;574
Vietname;93;101;58;54
Zâmbia;3;6;1;1
Zimbabwe;24;28;9;8
