nationality;resident_count_male;resident_count_female;permits_granted_male;permits_granted_female
Afeganistão;557;413;199;133
África do Sul;1656;1669;384;389
Albânia;64;56;13;17
Alemanha;11968;10890;2894;2589
Andorra;10;7;2;1
Angola;25209;30380;11265;13109
Antígua e Barbuda;12;8;2;1
Apátrida;6;6;0;0
Arábia Saudita;116;87;6;1
Argélia;1471;552;760;182
Argentina;836;797;337;301
Arménia;52;96;22;34
Austrália;505;399;141;117
Áustria;910;900;214;250
Azerbaijão;58;49;13;6
Bahamas;2;1;0;0
Bahrein;13;10;1;1
Bangladesh;20395;5271;7492;2585
Barbados;4;0;1;0
Bélgica;3782;2941;956;667
Belize;4;3;0;0
Benin;22;7;7;3
Bermudas;3;4;2;1
Bielorrússia;441;636;178;192
Bolívia;74;111;18;20
Bósnia e Herzegovina;25;41;4;3
Botswana;4;12;0;2
Brasil;181073;187376;79009;68253
Brunei;2;2;1;0
Bulgária;2218;2347;134;126
Burkina Faso;24;8;3;3
Burundi;6;6;1;0
Butão;6;7;1;1
Cabo Verde;23728;25157;7261;7362
Camarões;220;136;39;19
Camboja;47;51;9;8
Canadá;1148;1052;318;320
Cazaquistão;406;409;52;55
Chade;1;1;0;0
Chile;444;451;195;186
China;13865;14008;623;792
Chipre;129;90;43;34
Colômbia;1547;1545;608;483
Comores;1;2;0;1
Congo;42;59;10;11
República Democrática do Congo;160;157;20;21
Coreia do Sul;151;214;43;57
Costa do Marfim;157;83;44;18
Costa Rica;61;70;21;18
Croácia;211;305;58;87
Cuba;915;892;231;205
Desconhecido;13;7;2;0
Dinamarca;1075;725;275;149
Djibuti;5;2;0;0
Dominica;24;3;4;1
Egipto;617;390;171;93
El Salvador;59;44;22;10
Emiratos Árabes Unidos;17;14;1;3
Equador;593;553;206;185
Eritreia;115;39;7;2
Eslováquia;216;363;83;98
Eslovénia;140;187;42;51
Espanha;10693;9880;2341;1941
Estados Unidos da América;7038;7088;2382;2441
Estónia;174;265;54;70
Etiópia;49;45;17;12
Ilhas Fiji;2;1;2;0
Filipinas;407;1128;115;262
Finlândia;609;691;109;171
França;14575;12974;2826;2312
Gabão;14;14;2;1
Gâmbia;648;68;256;21
Gana;259;90;66;20
Geórgia;278;229;54;40
Granada;6;3;3;1
Grécia;695;439;213;103
Guatemala;57;55;13;9
Guiana;5;5;0;1
Guiné;899;426;218;126
Guiné-Bissau;18671;13864;6286;4034
Guiné Equatorial;25;30;4;4
Haiti;16;4;3;0
Honduras;31;45;5;11
Hong Kong;120;130;21;17
Hungria;614;842;192;232
Iémen;36;16;6;2
Índia;33813;10238;7928;4257
Indonésia;834;197;228;36
Irão;1323;1133;266;220
Iraque;369;348;37;50
Irlanda;3220;2230;1127;748
Islândia;121;92;44;30
Israel;485;437;195;185
Itália;20547;15680;5000;3804
Jamaica;8;11;1;2
Japão;265;384;51;83
Jordânia;322;259;34;19
Kiribati;1;0;0;0
Kosovo;15;17;5;3
Kuwait;44;41;5;3
Laos;0;3;0;0
Lesoto;0;1;0;0
Letónia;343;553;111;145
Líbano;655;461;158;97
Libéria;16;7;2;2
Líbia;86;74;10;1
Liechtenstein;6;6;1;2
Lituânia;382;752;105;155
Luxemburgo;395;331;120;101
Macau;0;4;0;1
Macedónia do Norte;30;55;5;17
Madagáscar;9;18;6;7
Malásia;62;108;17;20
Maláui;9;18;2;6
Maldivas;1;7;0;0
Mali;76;12;16;2
Malta;104;80;40;21
Marrocos;2426;1313;908;282
Ilhas Marshall;1;0;0;0
Ilhas Maurícias;29;26;4;6
Mauritânia;27;4;7;1
México;419;576;100;125
Moçambique;3914;4213;1842;1635
Moldávia;2490;2666;270;239
Mongólia;5;24;1;3
Montenegro;14;9;1;3
Mianmar;5;12;3;2
Namíbia;18;30;4;6
Nepal;17936;12036;3868;3969
Nicarágua;27;39;6;10
Níger;8;3;2;1
Nigéria;1017;461;332;149
Noruega;718;478;156;112
Nova Zelândia;121;86;44;26
Omã;4;4;1;1
Países Baixos;7283;6309;1726;1451
Palestina;53;38;6;6
Panamá;35;64;7;10
Papua-Nova Guiné;1;1;0;0
Paquistão;13266;3882;5514;1355
Paraguai;66;140;22;32
Peru;488;435;222;116
Polónia;1858;3073;551;822
Qatar;10;3;2;0
Quénia;73;103;23;22
Quirguistão;21;23;7;3
Reino Unido;26228;21181;4099;3266
Reino Unido;36;40;14;18
República Centro-Africana;3;2;1;0
República Checa;343;495;114;126
República Dominicana;88;142;26;22
Roménia;10679;10202;671;584
Ruanda;22;20;13;5
Rússia;4950;5951;2441;2452
Samoa;1;1;0;0
Santa Lúcia;2;2;1;0
São Cristóvão e Nevis;48;29;6;4
São Tomé e Príncipe;12928;13560;7386;7118
São Vicente e Granadinas;1;0;0;0
Senegal;2056;515;619;94
Serra Leoa;118;37;19;1
Sérvia;145;194;28;38
Seychelles;2;6;0;1
Singapura;61;95;17;27
Síria;780;654;85;88
Somália;67;20;19;3
Sri Lanka;135;68;61;17
Essuatíni;9;9;3;3
Sudão;118;85;18;9
Sudão do Sul;35;39;3;1
Suécia;3351;2719;625;504
Suíça;2009;1827;438;370
Suriname;3;5;1;2
Tailândia;1247;897;192;172
Taiwan;28;46;7;10
Tajiquistão;22;24;6;4
Tanzânia;30;25;6;2
Timor-Leste;778;421;640;224
Togo;49;19;6;1
Trindade e Tobago;17;9;5;3
Tunísia;707;465;269;125
Turquemenistão;6;8;0;0
Turquia;1336;1219;301;253
Ucrânia;10581;12918;597;582
Uganda;30;30;4;7
Uruguai;140;127;28;15
Uzbequistão;828;505;86;60
Vanuatu;8;1;3;1
Venezuela;3906;5394;662;784
Vietname;537;515;84;75
Zâmbia;13;15;2;3
Zimbabwe;54;64;16;12
