nationality;resident_count_male;resident_count_female;permits_granted_male;permits_granted_female
Afeganistão;25;13;4;1
África do Sul;389;450;112;115
Albânia;21;26;5;7
Alemanha;5142;4888;821;766
Andorra;6;3;4;3
Angola;7791;9203;737;742
Apátrida;6;6;2;4
Arábia Saudita;53;45;38;34
Argélia;181;134;22;22
Argentina;212;226;26;11
Arménia;40;49;7;5
Austrália;149;149;25;19
Áustria;394;363;101;95
Azerbaijão;17;18;4;2
Bahamas;1;0;1;0
Bahrein;10;1;1;0
Bangladesh;2309;490;282;155
Barbados;1;4;0;0
Bélgica;1538;1315;322;272
Belize;3;3;0;0
Benin;11;1;0;0
Bermudas;2;1;0;0
Bielorrússia;214;412;13;20
Bolívia;26;78;6;9
Bósnia e Herzegovina;16;38;2;1
Botswana;1;3;0;0
Brasil;30938;50313;2996;4063
Bulgária;3489;3530;355;502
Burkina Faso;12;5;3;1
Burundi;4;2;0;0
Butão;1;2;1;1
Cabo Verde;16899;19679;924;1067
Camarões;118;51;42;11
Camboja;7;12;0;4
Canadá;395;343;39;37
Cazaquistão;220;308;14;21
Chade;2;2;0;0
Chile;93;123;10;21
China;11314;11189;1342;1497
Chipre;13;16;8;9
Colômbia;317;569;46;57
Comores;1;0;0;0
Congo;33;50;12;13
República Democrática do Congo;123;102;15;9
Ilhas Cook;1;0;0;0
Coreia do Sul;91;124;11;10
Costa do Marfim;94;38;8;11
Costa Rica;23;38;3;8
Croácia;93;129;22;36
Cuba;427;538;41;48
Desconhecido;9;6;0;1
Dinamarca;369;289;89;60
Djibuti;3;2;0;0
Dominica;1;4;0;0
Egipto;192;87;20;24
El Salvador;21;17;3;1
Emiratos Árabes Unidos;7;2;2;1
Equador;160;182;56;37
Eritreia;93;37;132;35
Eslováquia;61;146;25;37
Eslovénia;55;62;16;22
Espanha;5619;5514;1182;1032
Estados Unidos da América;1400;1305;274;227
Estónia;35;122;12;33
Etiópia;28;25;15;3
Ilhas Fiji;1;3;1;0
Filipinas;224;526;35;46
Finlândia;541;457;113;103
França;6005;5288;1833;1642
Gabão;12;10;2;6
Gâmbia;110;41;13;10
Gana;87;54;14;6
Geórgia;332;285;13;14
Granada;2;2;0;0
Grécia;159;168;54;53
Guatemala;20;23;1;2
Guiana;4;3;1;0
Guiné;943;420;113;85
Guiné-Bissau;8354;7299;427;524
Guiné Equatorial;30;25;0;2
Haiti;4;2;2;0
Países Baixos;3644;3196;632;533
Honduras;11;21;1;5
Hong Kong;6;5;1;1
Hungria;178;342;39;52
Iémen;15;3;5;0
Índia;4931;2313;638;386
Indonésia;87;70;25;16
Irão;362;290;68;67
Iraque;128;100;79;52
Irlanda;567;464;141;92
Islândia;28;38;7;6
Israel;72;63;19;11
Itália;5027;3496;1900;1206
Jamaica;9;6;3;0
Japão;190;250;20;23
Jordânia;111;78;52;38
Kosovo;10;11;0;1
Kuwait;4;2;3;0
Laos;3;3;1;0
Lesoto;0;3;0;0
Letónia;98;251;13;35
Líbano;131;87;41;36
Libéria;11;2;0;0
Líbia;54;42;6;8
Liechtenstein;4;4;3;2
Lituânia;184;401;32;65
Luxemburgo;98;68;18;9
Macau;1;1;0;1
Macedónia do Norte;11;22;0;9
Madagáscar;0;7;0;1
Malásia;25;35;5;5
Maláui;3;14;1;3
Maldivas;2;1;0;0
Mali;46;11;4;6
Malta;12;12;3;3
Marrocos;783;793;44;48
Ilhas Maurícias;12;10;5;3
Mauritânia;21;4;3;0
México;183;291;36;45
Moçambique;1246;1602;166;176
Moldávia;2786;3339;99;150
Mongólia;8;19;0;4
Montenegro;7;5;1;0
Mianmar;5;4;2;2
Namíbia;3;13;1;0
Nepal;3863;1972;785;563
Nicarágua;2;13;0;1
Níger;0;1;0;0
Nigéria;301;177;82;39
Noruega;315;258;53;51
Nova Zelândia;22;23;4;7
Omã;2;0;0;0
Palau;1;0;0;0
Palestina;41;32;11;8
Panamá;7;25;5;4
Paquistão;2133;1042;310;158
Paraguai;30;73;9;9
Peru;108;176;14;14
Polónia;472;1104;144;282
Qatar;3;1;0;1
Quénia;28;47;10;10
Quirguistão;10;17;1;0
Reino Unido;10204;9180;1664;1402
Reino Unido;2;5;0;0
República Centro-Africana;4;4;3;2
República Checa;102;208;25;60
República Dominicana;43;93;7;9
Roménia;16591;13838;1480;999
Ruanda;7;19;1;8
Rússia;1494;2789;115;199
Samoa;0;1;0;0
Santa Lúcia;0;1;0;0
São Cristóvão e Nevis;12;5;3;3
São Tomé e Príncipe;4003;4965;237;311
Senegal;877;479;54;59
Serra Leoa;36;24;7;8
Sérvia;74;114;13;13
Seychelles;5;2;1;0
Singapura;14;24;6;4
Síria;259;211;240;187
Somália;29;22;1;1
Sri Lanka;51;26;9;10
Essuatíni;0;4;0;0
Sudão;37;13;6;3
Suécia;1497;1136;423;326
Suíça;823;734;157;157
Tailândia;1022;453;187;110
Taiwan;17;22;2;7
Tajiquistão;9;7;3;2
Tanzânia;16;11;1;0
Timor-Leste;124;64;40;19
Togo;19;18;6;0
Tonga;0;1;0;0
Trindade e Tobago;3;4;0;2
Tunísia;121;82;13;9
Turquemenistão;2;3;0;0
Turquia;347;349;29;42
Ucrânia;16700;17790;568;672
Uganda;14;11;4;1
Uruguai;63;64;11;9
Uzbequistão;538;430;25;33
Vanuatu;1;0;1;0
Venezuela;970;1386;179;274
Vietname;53;71;32;36
Zâmbia;0;5;0;2
Zimbabwe;16;21;4;3
