year;nationality;gender;permits_granted;resident_count
2015;Israel;Masculino;10;58
2015;Itália;Feminino;705;2622
2015;Itália;Masculino;872;3508
2015;Iémen;Feminino;1;5
2015;Iémen;Masculino;1;13
2015;Jamaica;Feminino;1;7
2015;Jamaica;Masculino;0;5
2015;Japão;Feminino;24;224
2015;Japão;Masculino;16;173
2015;Jordânia;Feminino;28;58
2015;Jordânia;Masculino;31;80
2015;Kosovo;Feminino;3;12
2015;Kosovo;Masculino;3;15
2015;Kuwait;Feminino;0;0
2015;Kuwait;Masculino;1;1
2015;Laos;Feminino;0;5
2015;Laos;Masculino;1;4
2015;Lesoto;Feminino;2;3
2015;Lesoto;Masculino;0;0
2015;Letónia;Feminino;33;239
2015;Letónia;Masculino;19;94
2015;Libéria;Feminino;1;2
2015;Libéria;Masculino;0;14
2015;Liechtenstein;Feminino;1;2
2015;Liechtenstein;Masculino;0;1
2015;Lituânia;Feminino;48;364
2015;Lituânia;Masculino;21;171
2015;Luxemburgo;Feminino;7;61
2015;Luxemburgo;Masculino;14;83
2015;Líbano;Feminino;18;62
2015;Líbano;Masculino;18;100
2015;Líbia;Feminino;10;41
2015;Líbia;Masculino;5;155
2015;Macau;Feminino;0;0
2015;Macau;Masculino;0;1
2015;Macedónia do Norte;Feminino;5;12
2015;Macedónia do Norte;Masculino;5;15
2015;Madagáscar;Feminino;4;8
2015;Madagáscar;Masculino;0;1
2015;Maldivas;Feminino;0;1
2015;Maldivas;Masculino;0;2
2015;Mali;Feminino;1;6
2015;Mali;Masculino;2;39
2015;Malta;Feminino;1;14
2015;Malta;Masculino;2;11
2015;Malásia;Feminino;4;35
2015;Malásia;Masculino;5;24
2015;Maláui;Feminino;2;10
2015;Maláui;Masculino;0;2
2015;Marrocos;Feminino;80;829
2015;Marrocos;Masculino;56;852
2015;Mauritânia;Feminino;0;3
2015;Mauritânia;Masculino;1;21
2015;Mianmar;Feminino;0;3
2015;Mianmar;Masculino;1;4
2015;Moldávia;Feminino;144;3744
2015;Moldávia;Masculino;91;3204
2015;Mongólia;Feminino;2;18
2015;Mongólia;Masculino;1;14
2015;Montenegro;Feminino;1;4
2015;Montenegro;Masculino;0;5
2015;Moçambique;Feminino;155;1589
2015;Moçambique;Masculino;163;1220
2015;México;Feminino;25;256
2015;México;Masculino;23;177
2015;Namíbia;Feminino;1;12
2015;Namíbia;Masculino;0;6
2015;Nepal;Feminino;413;1506
2015;Nepal;Masculino;956;3292
2015;Nicarágua;Feminino;1;12
2015;Nicarágua;Masculino;0;4
2015;Nigéria;Feminino;25;176
2015;Nigéria;Masculino;34;252
2015;Noruega;Feminino;25;228
2015;Noruega;Masculino;42;287
2015;Nova Zelândia;Feminino;3;16
2015;Nova Zelândia;Masculino;6;23
2015;Níger;Feminino;0;1
2015;Níger;Masculino;2;5
2015;Omã;Feminino;0;0
2015;Omã;Masculino;0;3
2015;Palau;Feminino;0;1
2015;Palau;Masculino;0;0
2015;Palestina;Feminino;6;25
2015;Palestina;Masculino;4;27
2015;Panamá;Feminino;1;22
2015;Panamá;Masculino;0;5
2015;Paquistão;Feminino;165;984
2015;Paquistão;Masculino;403;2058
2015;Paraguai;Feminino;8;69
2015;Paraguai;Masculino;6;23
2015;Países Baixos;Feminino;393;2744
2015;Países Baixos;Masculino;441;3113
2015;Peru;Feminino;16;170
2015;Peru;Masculino;8;86
2015;Polónia;Feminino;234;987
2015;Polónia;Masculino;81;395
2015;Quirguistão;Feminino;0;20
2015;Quirguistão;Masculino;0;11
2015;Quénia;Feminino;9;46
2015;Quénia;Masculino;4;18
2015;Reino Unido;Feminino;813;8186
2015;Reino Unido;Masculino;1053;9051
2015;República Centro-Africana;Feminino;0;3
2015;República Centro-Africana;Masculino;1;4
2015;República Checa;Feminino;44;184
2015;República Checa;Masculino;29;92
2015;República Democrática do Congo;Feminino;6;107
2015;República Democrática do Congo;Masculino;3;128
2015;República Dominicana;Feminino;10;96
2015;República Dominicana;Masculino;4;36
2015;Reunião;Feminino;0;0
2015;Reunião;Masculino;0;1
2015;Roménia;Feminino;1004;13809
2015;Roménia;Masculino;1565;16714
2015;Ruanda;Feminino;8;14
2015;Ruanda;Masculino;0;6
2015;Rússia;Feminino;200;2746
2015;Rússia;Masculino;93;1517
2015;Samoa;Feminino;0;1
