nationality;resident_count_male;resident_count_female;permits_granted_male;permits_granted_female
Afeganistão;440;335;178;82
África do Sul;1069;1093;354;363
Albânia;56;43;12;10
Alemanha;10786;9714;2120;1899
Andorra;10;9;4;2
Angola;14145;17616;3356;3583
Antígua e Barbuda;5;2;3;0
Apátrida;11;9;0;1
Arábia Saudita;37;22;14;8
Argélia;670;345;256;97
Argentina;531;548;159;161
Arménia;33;65;10;18
Austrália;380;293;106;83
Áustria;845;798;181;202
Azerbaijão;30;38;10;9
Bahamas;2;2;0;0
Bahrein;7;6;3;3
Bangladesh;13467;3001;5240;913
Barbados;3;1;1;0
Bélgica;3396;2692;632;465
Belize;2;2;1;0
Benin;19;4;7;3
Bermudas;1;3;0;2
Bielorrússia;273;458;82;96
Bolívia;53;101;10;13
Bósnia e Herzegovina;18;45;5;5
Botswana;7;11;3;4
Brasil;110746;128998;23308;25005
Brunei;1;2;0;0
Bulgária;2529;2610;158;120
Burkina Faso;21;6;5;1
Burundi;2;3;0;0
Butão;5;5;2;1
Cabo Verde;17920;18828;2322;2407
Camarões;190;116;40;21
Camboja;23;25;16;11
Canadá;856;768;239;203
Cazaquistão;374;386;58;48
Chade;2;1;0;0
Chile;284;302;96;104
China;11138;10862;539;576
Chipre;103;72;38;27
Colômbia;1013;1122;322;261
Comores;2;1;1;0
Congo;29;54;6;7
República Democrática do Congo;137;142;11;17
Coreia do Sul;112;159;28;34
Costa do Marfim;128;65;17;11
Costa Rica;42;59;9;8
Croácia;202;262;54;74
Cuba;746;737;196;127
Desconhecido;14;9;2;3
Dinamarca;928;655;207;123
Djibuti;4;0;0;0
Dominica;11;4;8;0
Egipto;398;238;115;54
El Salvador;47;32;17;9
Emiratos Árabes Unidos;6;4;0;1
Equador;298;317;73;95
Eritreia;132;46;1;0
Eslováquia;167;324;64;91
Eslovénia;121;169;31;40
Espanha;9981;9527;1923;1676
Estados Unidos da América;4844;4950;1666;1622
Estónia;142;231;49;47
Etiópia;36;32;10;4
Ilhas Fiji;1;0;0;0
Filipinas;309;899;56;143
Finlândia;575;635;107;127
França;14548;12964;2541;2150
Gabão;15;18;3;3
Gâmbia;413;51;195;11
Gana;189;62;44;13
Geórgia;269;221;46;25
Granada;3;2;2;2
Grécia;557;422;218;103
Guatemala;47;47;9;9
Guiana;4;4;0;0
Guiné;817;365;117;63
Guiné-Bissau;13223;10514;2660;1575
Guiné Equatorial;18;27;2;4
Haiti;16;6;5;4
Honduras;29;35;5;3
Hong Kong;103;124;38;35
Hungria;502;728;155;146
Iémen;23;11;4;3
Índia;28651;6765;5891;1523
Indonésia;726;166;200;29
Irão;963;834;280;272
Iraque;302;253;30;25
Irlanda;2432;1727;654;467
Islândia;92;73;25;17
Israel;301;268;99;98
Itália;19285;14754;3862;3115
Jamaica;9;8;1;1
Japão;236;332;44;53
Jordânia;174;139;35;24
Kosovo;14;13;1;1
Kuwait;12;13;4;7
Laos;0;2;0;1
Lesoto;0;2;0;0
Letónia;274;475;109;128
Líbano;364;240;157;83
Libéria;14;5;1;2
Líbia;63;64;7;4
Liechtenstein;5;4;1;0
Lituânia;314;692;74;119
Luxemburgo;334;271;102;82
Macau;0;3;0;1
Macedónia do Norte;26;40;8;9
Madagáscar;3;12;0;2
Malásia;41;79;10;15
Maláui;7;12;1;0
Maldivas;1;7;0;1
Mali;73;9;11;3
Malta;78;68;26;21
Marrocos;1549;1026;446;205
Ilhas Maurícias;22;15;6;2
Mauritânia;25;4;2;2
México;331;495;84;126
Moçambique;2119;2666;589;602
Moldávia;2500;2743;272;229
Mongólia;5;20;0;4
Montenegro;14;7;5;1
Mianmar;4;4;1;3
Namíbia;14;27;4;4
Nepal;15022;8817;2327;1531
Nicarágua;27;34;8;6
Níger;6;3;1;1
Nigéria;732;318;186;71
Noruega;658;428;119;81
Nova Zelândia;83;67;30;16
Omã;3;1;1;0
Países Baixos;6461;5605;1231;977
Palestina;37;29;6;3
Panamá;34;57;8;7
Paquistão;8122;2706;3155;842
Paraguai;52;115;15;16
Peru;276;341;115;83
Polónia;1580;2746;482;619
Qatar;5;2;3;1
Quénia;42;69;12;16
Quirguistão;14;22;3;6
Reino Unido;25113;20105;1724;1270
Reino Unido;23;24;19;19
República Centro-Africana;4;4;0;0
República Checa;302;434;117;125
República Dominicana;58;123;16;19
Roménia;12296;11097;604;564
Ruanda;12;19;3;4
Rússia;2498;3577;759;695
Samoa;1;1;1;0
Santa Lúcia;1;2;0;0
São Cristóvão e Nevis;36;20;3;2
São Tomé e Príncipe;6095;6982;1348;1428
São Vicente e Granadinas;1;0;0;0
Senegal;1552;462;414;78
Serra Leoa;109;43;40;8
Sérvia;136;175;25;29
Seychelles;2;3;0;3
Singapura;41;68;12;14
Síria;653;540;67;61
Somália;49;21;6;6
Sri Lanka;80;49;17;11
Essuatíni;7;6;2;1
Sudão;102;75;13;8
Sudão do Sul;32;38;1;4
Suécia;3084;2569;422;385
Suíça;1804;1697;303;287
Suriname;2;3;0;2
Tailândia;1195;782;77;94
Taiwan;20;38;8;11
Tajiquistão;17;22;3;1
Tanzânia;28;20;8;5
Timor-Leste;145;216;44;57
Togo;48;19;9;3
Trindade e Tobago;13;6;3;1
Tunísia;414;317;143;104
Turquemenistão;4;8;0;1
Turquia;708;659;203;158
Ucrânia;11626;13819;507;618
Uganda;26;20;9;2
Uruguai;136;119;19;20
Uzbequistão;808;489;102;38
Vanuatu;3;0;1;0
Venezuela;3720;5216;659;903
Vietname;244;229;94;58
Zâmbia;13;16;1;0
Zimbabwe;40;49;14;9
