nationality;resident_count_male;resident_count_female;permits_granted_male;permits_granted_female
Afeganistão;55;18;20;3
África do Sul;788;852;187;176
Albânia;50;35;17;7
Alemanha;8450;7591;1352;1206
Andorra;9;6;1;0
Angola;10573;13876;2056;2773
Antígua e Barbuda;7;5;4;3
Apátrida;16;14;1;0
Arábia Saudita;89;86;11;7
Argélia;373;260;109;63
Argentina;324;353;70;61
Arménia;35;48;6;6
Austrália;279;241;49;42
Áustria;718;654;99;91
Azerbaijão;29;36;14;3
Bahamas;0;1;0;0
Bahrein;5;7;2;1
Bangladesh;7651;2265;1582;572
Barbados;2;3;1;0
Bélgica;2862;2321;433;354
Belize;3;4;0;0
Benin;9;1;0;0
Bermudas;0;1;0;0
Bielorrússia;182;382;13;27
Bolívia;44;86;9;7
Bósnia e Herzegovina;18;40;3;3
Botswana;4;4;1;1
Brasil;81320;102673;20202;22043
Brunei;1;3;1;1
Bulgária;3295;3450;97;128
Burkina Faso;22;8;1;1
Burundi;5;6;2;3
Butão;3;4;1;0
Cabo Verde;17231;19378;1946;2278
Camarões;131;90;30;17
Camboja;18;32;11;13
Canadá;582;516;91;81
Cazaquistão;292;341;51;38
Chade;2;0;0;0
Chile;158;181;40;40
China;13053;13021;628;750
Chipre;60;42;14;5
Colômbia;575;891;137;169
Comores;0;1;0;0
Congo;35;53;2;4
República Democrática do Congo;134;119;6;8
Coreia do Sul;98;130;29;25
Costa do Marfim;118;73;15;11
Costa Rica;37;41;8;3
Croácia;202;197;33;35
Cuba;540;659;62;52
Desconhecido;15;14;4;5
Dinamarca;793;540;145;106
Djibuti;3;2;0;0
Dominica;14;5;7;1
Egipto;324;225;67;56
El Salvador;28;22;2;4
Emiratos Árabes Unidos;24;12;7;5
Equador;203;211;48;46
Eritreia;161;52;0;1
Eslováquia;101;223;16;24
Eslovénia;79;130;17;35
Espanha;8705;8276;1476;1361
Estados Unidos da América;2361;2407;567;548
Estónia;91;199;21;29
Etiópia;23;35;5;6
Ilhas Fiji;2;1;0;0
Filipinas;292;780;39;79
Finlândia;544;608;80;83
França;13166;11769;2116;1956
Gabão;13;17;0;2
Gâmbia;193;46;65;6
Gana;134;51;26;8
Geórgia;227;220;19;25
Granada;1;2;0;0
Grécia;341;338;53;62
Guatemala;33;38;10;4
Guiana;6;5;1;1
Guiné;948;454;95;66
Guiné-Bissau;10413;9267;1873;1505
Guiné Equatorial;17;27;1;1
Haiti;9;1;2;0
Honduras;16;32;3;2
Hong Kong;32;32;19;17
Hungria;340;606;58;98
Iémen;24;16;8;8
Índia;19099;5451;5984;1188
Indonésia;381;128;109;25
Irão;698;583;196;177
Iraque;257;229;45;52
Irlanda;1516;1114;313;247
Islândia;66;53;14;8
Israel;185;152;45;35
Itália;16401;11758;2497;1982
Jamaica;9;5;0;0
Japão;171;270;22;24
Jordânia;247;212;37;35
Kosovo;15;20;1;3
Kuwait;24;19;5;6
Laos;1;4;0;1
Lesoto;0;2;0;0
Letónia;153;365;33;43
Líbano;331;276;53;43
Libéria;13;3;0;0
Líbia;84;79;7;9
Liechtenstein;5;5;1;2
Lituânia;262;629;34;84
Luxemburgo;214;173;66;44
Macau;0;2;0;0
Macedónia do Norte;18;32;0;5
Madagáscar;4;10;3;1
Malásia;39;68;9;17
Maláui;4;13;0;2
Maldivas;2;5;0;0
Mali;66;9;13;3
Malta;46;39;13;15
Marrocos;1018;918;237;181
Ilhas Marshall;1;0;0;0
Ilhas Maurícias;16;16;5;2
Mauritânia;21;3;2;0
México;241;399;37;69
Moçambique;1486;2192;290;391
Moldávia;2378;2805;284;232
Mongólia;5;17;0;1
Montenegro;7;8;0;0
Mianmar;3;0;0;0
Namíbia;11;21;2;2
Nepal;13339;7676;2433;1447
Nicarágua;17;21;7;2
Níger;1;1;0;0
Nigéria;510;248;94;41
Noruega;552;413;97;63
Nova Zelândia;37;45;12;7
Omã;5;3;0;1
Países Baixos;5580;4812;669;582
Palestina;48;38;6;6
Panamá;21;46;8;7
Paquistão;4523;1858;913;430
Paraguai;35;99;6;9
Peru;130;245;26;44
Polónia;993;2068;193;361
Qatar;7;4;6;3
Quénia;37;69;5;15
Quirguistão;15;21;3;5
Reino Unido;25611;20627;7780;5374
Reino Unido;4;4;0;2
República Centro-Africana;4;4;0;0
República Checa;185;356;32;65
República Dominicana;62;110;5;14
Roménia;16128;13924;554;429
Ruanda;10;19;1;1
Rússia;1851;3252;211;362
Samoa;0;1;0;0
Santa Lúcia;0;2;0;2
São Cristóvão e Nevis;27;19;0;0
São Tomé e Príncipe;4794;5912;750;830
São Vicente e Granadinas;1;0;0;0
Senegal;1100;437;170;47
Serra Leoa;58;37;7;4
Sérvia;95;139;19;19
Seychelles;7;4;2;1
Singapura;23;54;9;14
Síria;613;495;67;56
Somália;43;20;1;0
Sri Lanka;64;38;9;6
Essuatíni;2;5;1;1
Sudão;81;58;12;4
Sudão do Sul;25;28;9;4
Suécia;2843;2338;414;320
Suíça;1507;1370;258;239
Suriname;2;1;2;0
Tailândia;1074;649;4;28
Taiwan;14;28;5;7
Tajiquistão;12;20;0;3
Tanzânia;19;10;1;1
Timor-Leste;127;164;36;63
Togo;24;13;1;1
Trindade e Tobago;12;4;3;0
Tunísia;261;200;76;77
Turquemenistão;6;7;1;2
Turquia;757;761;162;145
Ucrânia;12886;15743;554;662
Uganda;18;19;4;7
Uruguai;96;95;15;7
Uzbequistão;663;474;44;30
Vanuatu;3;0;1;0
Venezuela;3134;4607;591;821
Vietname;330;356;152;153
Zâmbia;6;15;1;6
Zimbabwe;30;37;4;4
