nationality;resident_count_male;resident_count_female;permits_granted_male;permits_granted_female
Afeganistão;26;15;5;2
África do Sul;277;358;55;54
Albânia;16;26;2;3
Alemanha;4625;4410;525;499
Andorra;3;0;0;0
Angola;8487;9760;640;637
Antígua e Barbuda;0;1;0;0
Apátrida;5;4;0;0
Arábia Saudita;11;9;2;1
Argélia;183;133;20;18
Argentina;217;230;15;25
Arménia;32;42;4;4
Austrália;133;136;22;21
Áustria;311;296;55;61
Azerbaijão;22;24;6;6
Bahrein;3;1;0;0
Bangladesh;2191;380;579;78
Barbados;1;3;0;0
Bélgica;1288;1100;232;180
Belize;2;4;0;0
Benin;11;1;2;0
Bermudas;2;1;0;0
Bielorrússia;224;408;8;23
Bolívia;28;81;1;9
Bósnia e Herzegovina;18;39;2;5
Botswana;3;4;0;0
Brasil;31700;50890;2380;3336
Bulgária;3409;3313;368;489
Burkina Faso;9;4;1;2
Burundi;4;2;1;0
Butão;0;1;0;1
Cabo Verde;18007;20667;913;1112
Camarões;78;49;18;12
Camboja;3;7;1;1
Canadá;389;349;27;37
Cazaquistão;226;311;14;23
Chade;2;2;1;0
Chile;79;104;15;17
China;10850;10489;1248;1328
Chipre;4;8;1;2
Colômbia;337;570;37;57
Comores;1;0;0;0
Congo;20;44;0;2
República Democrática do Congo;128;107;3;6
Ilhas Cook;1;0;0;0
Coreia do Sul;70;112;8;14
Costa do Marfim;88;33;8;4
Costa Rica;22;31;5;4
Croácia;74;100;26;23
Cuba;402;499;26;37
Desconhecido;9;5;0;0
Dinamarca;322;253;42;41
Dominica;3;4;0;0
Egipto;213;85;16;5
El Salvador;18;18;2;2
Emiratos Árabes Unidos;4;1;0;0
Equador;121;171;19;16
Eritreia;24;16;4;4
Eslováquia;43;121;13;21
Eslovénia;43;53;18;14
Espanha;5031;4988;842;820
Estados Unidos da América;1340;1279;174;155
Estónia;31;90;11;18
Etiópia;23;28;6;2
Ilhas Fiji;2;5;0;1
Filipinas;229;527;63;69
Finlândia;452;382;192;134
França;4490;3950;1434;1061
Gabão;14;3;0;1
Gâmbia;116;36;6;3
Gana;79;58;15;6
Geórgia;410;317;18;27
Granada;2;2;0;0
Grécia;119;129;30;41
Guatemala;25;26;3;4
Guiana;3;1;0;0
Guiné;1078;448;66;62
Guiné-Bissau;9245;7846;553;576
Guiné Equatorial;27;24;1;5
Haiti;3;2;1;0
Países Baixos;3113;2744;441;393
Honduras;12;18;3;4
Hungria;152;328;25;52
Iémen;13;5;1;1
Índia;4822;2113;775;346
Indonésia;76;64;8;9
Irão;305;240;33;32
Iraque;65;61;6;8
Irlanda;480;412;114;76
Islândia;26;36;2;4
Israel;58;50;10;8
Itália;3508;2622;872;705
Jamaica;5;7;0;1
Japão;173;224;16;24
Jordânia;80;58;31;28
Kosovo;15;12;3;3
Kuwait;1;0;1;0
Laos;4;5;1;0
Lesoto;0;3;0;2
Letónia;94;239;19;33
Líbano;100;62;18;18
Libéria;14;2;0;1
Líbia;155;41;5;10
Liechtenstein;1;2;0;1
Lituânia;171;364;21;48
Luxemburgo;83;61;14;7
Macau;1;0;0;0
Macedónia do Norte;15;12;5;5
Madagáscar;1;8;0;4
Malásia;24;35;5;4
Maláui;2;10;0;2
Maldivas;2;1;0;0
Mali;39;6;2;1
Malta;11;14;2;1
Marrocos;852;829;56;80
Ilhas Maurícias;9;8;1;1
Mauritânia;21;3;1;0
México;177;256;23;25
Moçambique;1220;1589;163;155
Moldávia;3204;3744;91;144
Mongólia;14;18;1;2
Montenegro;5;4;0;1
Mianmar;4;3;1;0
Namíbia;6;12;0;1
Nepal;3292;1506;956;413
Nicarágua;4;12;0;1
Níger;5;1;2;0
Nigéria;252;176;34;25
Noruega;287;228;42;25
Nova Zelândia;23;16;6;3
Omã;3;0;0;0
Palau;0;1;0;0
Palestina;27;25;4;6
Panamá;5;22;0;1
Paquistão;2058;984;403;165
Paraguai;23;69;6;8
Peru;86;170;8;16
Polónia;395;987;81;234
Quénia;18;46;4;9
Quirguistão;11;20;0;0
Reino Unido;9049;8181;1053;813
Reino Unido;2;5;0;0
República Centro-Africana;4;3;1;0
República Checa;92;184;29;44
República Dominicana;36;96;4;10
Reunião;1;0;0;0
Roménia;16714;13809;1565;1004
Ruanda;6;14;0;8
Rússia;1517;2746;93;200
Samoa;0;1;0;0
Santa Lúcia;0;1;0;0
São Cristóvão e Nevis;6;9;1;5
São Tomé e Príncipe;4282;5264;227;278
São Vicente e Granadinas;1;0;0;0
Senegal;1026;489;60;45
Serra Leoa;39;24;2;3
Sérvia;74;118;8;11
Seychelles;4;2;0;0
Singapura;8;20;3;1
Síria;98;66;36;21
Somália;31;23;3;4
Sri Lanka;42;18;6;3
Essuatíni;2;6;0;1
Sudão;30;8;3;5
Suécia;1136;853;388;255
Suíça;678;585;119;96
Tailândia;1023;405;271;125
Taiwan;17;19;3;2
Tajiquistão;8;7;2;3
Tanzânia;18;14;3;0
Timor-Leste;111;58;27;17
Togo;16;19;1;4
Tonga;0;1;0;1
Trindade e Tobago;4;4;0;1
Tunísia;112;64;14;9
Turquemenistão;7;5;3;2
Turquia;305;291;18;20
Ucrânia;17436;18343;466;632
Uganda;12;6;1;0
Uruguai;61;61;10;9
Uzbequistão;567;425;20;28
Venezuela;854;1156;85;156
Vietname;37;40;7;8
Zâmbia;1;6;0;0
Zimbabwe;15;23;2;5
