profession_code;profession_description;year;avg_monthly_earnings_foreign_eur
9;Trabalhadores nao qualificados;2023;950.93
9;Trabalhadores nao qualificados;2024;1008.29
91;Trabalhadores de limpeza;2014;615.61
91;Trabalhadores de limpeza;2015;619.67
91;Trabalhadores de limpeza;2016;647.66
91;Trabalhadores de limpeza;2017;676.69
91;Trabalhadores de limpeza;2018;709.4
91;Trabalhadores de limpeza;2019;733.48
91;Trabalhadores de limpeza;2020;763.16
91;Trabalhadores de limpeza;2021;802.27
91;Trabalhadores de limpeza;2022;851.91
91;Trabalhadores de limpeza;2023;921.17
91;Trabalhadores de limpeza;2024;982.64
92;Trab.n/qualif.agricult., prod.animal, pesca e flor.;2014;684.29
92;Trab.n/qualif.agricult., prod.animal, pesca e flor.;2015;654.38
92;Trab.n/qualif.agricult., prod.animal, pesca e flor.;2016;671.54
92;Trab.n/qualif.agricult., prod.animal, pesca e flor.;2017;725.06
92;Trab.n/qualif.agricult., prod.animal, pesca e flor.;2018;775.21
92;Trab.n/qualif.agricult., prod.animal, pesca e flor.;2019;755.94
92;Trab.n/qualif.agricult., prod.animal, pesca e flor.;2020;794.7
92;Trab.n/qualif.agricult., prod.animal, pesca e flor.;2021;870.94
92;Trab.n/qualif.agricult., prod.animal, pesca e flor.;2022;881.12
92;Trab.n/qualif.agricult., prod.animal, pesca e flor.;2023;929.62
92;Trab.n/qualif.agricult., prod.animal, pesca e flor.;2024;990.34
93;Trab.n/qualif. da indust.ext., construc., indust. transf.e transp.;2014;686.48
93;Trab.n/qualif. da indust.ext., construc., indust. transf.e transp.;2015;677.28
93;Trab.n/qualif. da indust.ext., construc., indust. transf.e transp.;2016;700.11
93;Trab.n/qualif. da indust.ext., construc., indust. transf.e transp.;2017;726.05
93;Trab.n/qualif. da indust.ext., construc., indust. transf.e transp.;2018;757.66
93;Trab.n/qualif. da indust.ext., construc., indust. transf.e transp.;2019;782.03
93;Trab.n/qualif. da indust.ext., construc., indust. transf.e transp.;2020;820.17
93;Trab.n/qualif. da indust.ext., construc., indust. transf.e transp.;2021;863.4
93;Trab.n/qualif. da indust.ext., construc., indust. transf.e transp.;2022;916.56
93;Trab.n/qualif. da indust.ext., construc., indust. transf.e transp.;2023;979.64
93;Trab.n/qualif. da indust.ext., construc., indust. transf.e transp.;2024;1061.21
94;Assistentes na prep.de refeicoes;2014;590.38
94;Assistentes na prep.de refeicoes;2015;592.31
94;Assistentes na prep.de refeicoes;2016;614.52
94;Assistentes na prep.de refeicoes;2017;649.32
94;Assistentes na prep.de refeicoes;2018;680.6
94;Assistentes na prep.de refeicoes;2019;704.2
94;Assistentes na prep.de refeicoes;2020;725.69
94;Assistentes na prep.de refeicoes;2021;769.5
94;Assistentes na prep.de refeicoes;2022;820.28
94;Assistentes na prep.de refeicoes;2023;879.43
94;Assistentes na prep.de refeicoes;2024;944.29
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2014;806.52
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2015;822.85
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2016;863.17
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2017;1006.1
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2018;895.96
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2019;904.5
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2020;844.49
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2021;941.47
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2022;1049.92
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2023;1200.74
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2024;1243.87
96;Trab.dos resid.de outros serv.element.;2014;688.49
96;Trab.dos resid.de outros serv.element.;2015;706.18
96;Trab.dos resid.de outros serv.element.;2016;732.84
96;Trab.dos resid.de outros serv.element.;2017;769.52
96;Trab.dos resid.de outros serv.element.;2018;826.29
96;Trab.dos resid.de outros serv.element.;2019;849.11
96;Trab.dos resid.de outros serv.element.;2020;883.44
96;Trab.dos resid.de outros serv.element.;2021;962.11
96;Trab.dos resid.de outros serv.element.;2022;1004.61
96;Trab.dos resid.de outros serv.element.;2023;1062.78
96;Trab.dos resid.de outros serv.element.;2024;1076.61
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2014;3189.98
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2015;4687.52
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2016;3171.58
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2017;3745.49
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2018;2979.43
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2019;2858.15
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2020;2557.16
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2021;3293.17
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2022;3924.88
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2023;5421.37
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2024;4623.66
