gender;year;percentage
total;2014;6.78
total;2015;6.7
total;2016;5.86
total;2017;0.19
total;2018;0.16
total;2019;0.18
total;2020;0.14
total;2021;0.11
total;2022;0.11
total;2023;0.1
total;2024;0.09
masculino;2014;5.01
masculino;2015;4.99
masculino;2016;4.38
masculino;2017;0.1
masculino;2018;0.08
masculino;2019;0.09
masculino;2020;0.07
masculino;2021;0.07
masculino;2022;0.08
masculino;2023;0.08
masculino;2024;0.07
feminino;2014;8.87
feminino;2015;8.7
feminino;2016;7.59
feminino;2017;0.29
feminino;2018;0.24
feminino;2019;0.28
feminino;2020;0.21
feminino;2021;0.15
feminino;2022;0.15
feminino;2023;0.13
feminino;2024;0.11
