profession_code;profession_description;year;avg_monthly_earnings_eur
9;Trabalhadores nao qualificados;2022;942.93
9;Trabalhadores nao qualificados;2023;1007.47
9;Trabalhadores nao qualificados;2024;1058.49
91;Trabalhadores de limpeza;2014;616.29
91;Trabalhadores de limpeza;2015;620.5
91;Trabalhadores de limpeza;2016;640.96
91;Trabalhadores de limpeza;2017;670.37
91;Trabalhadores de limpeza;2018;700.77
91;Trabalhadores de limpeza;2019;726.19
91;Trabalhadores de limpeza;2020;758.79
91;Trabalhadores de limpeza;2021;791.27
91;Trabalhadores de limpeza;2022;841.71
91;Trabalhadores de limpeza;2023;914.84
91;Trabalhadores de limpeza;2024;984.77
92;Trab.n/qualif.agricult., prod.animal, pesca e flor.;2014;667.38
92;Trab.n/qualif.agricult., prod.animal, pesca e flor.;2015;662.75
92;Trab.n/qualif.agricult., prod.animal, pesca e flor.;2016;680.8
92;Trab.n/qualif.agricult., prod.animal, pesca e flor.;2017;718.96
92;Trab.n/qualif.agricult., prod.animal, pesca e flor.;2018;762.53
92;Trab.n/qualif.agricult., prod.animal, pesca e flor.;2019;776.77
92;Trab.n/qualif.agricult., prod.animal, pesca e flor.;2020;815.99
92;Trab.n/qualif.agricult., prod.animal, pesca e flor.;2021;864.6
92;Trab.n/qualif.agricult., prod.animal, pesca e flor.;2022;895.78
92;Trab.n/qualif.agricult., prod.animal, pesca e flor.;2023;955.29
92;Trab.n/qualif.agricult., prod.animal, pesca e flor.;2024;1021.94
93;Trab.n/qualif. da indust.ext., construc., indust. transf.e transp.;2014;735.48
93;Trab.n/qualif. da indust.ext., construc., indust. transf.e transp.;2015;739.51
93;Trab.n/qualif. da indust.ext., construc., indust. transf.e transp.;2016;752.09
93;Trab.n/qualif. da indust.ext., construc., indust. transf.e transp.;2017;783.03
93;Trab.n/qualif. da indust.ext., construc., indust. transf.e transp.;2018;819.13
93;Trab.n/qualif. da indust.ext., construc., indust. transf.e transp.;2019;850.48
93;Trab.n/qualif. da indust.ext., construc., indust. transf.e transp.;2020;868.81
93;Trab.n/qualif. da indust.ext., construc., indust. transf.e transp.;2021;917.59
93;Trab.n/qualif. da indust.ext., construc., indust. transf.e transp.;2022;966.13
93;Trab.n/qualif. da indust.ext., construc., indust. transf.e transp.;2023;1032.42
93;Trab.n/qualif. da indust.ext., construc., indust. transf.e transp.;2024;1112.56
94;Assistentes na prep.de refeicoes;2014;582.62
94;Assistentes na prep.de refeicoes;2015;586.86
94;Assistentes na prep.de refeicoes;2016;608.31
94;Assistentes na prep.de refeicoes;2017;641.05
94;Assistentes na prep.de refeicoes;2018;671.59
94;Assistentes na prep.de refeicoes;2019;697.77
94;Assistentes na prep.de refeicoes;2020;721.4
94;Assistentes na prep.de refeicoes;2021;760.68
94;Assistentes na prep.de refeicoes;2022;811.57
94;Assistentes na prep.de refeicoes;2023;873.44
94;Assistentes na prep.de refeicoes;2024;940.89
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2014;867.18
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2015;900.36
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2016;932.29
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2017;964.98
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2018;989.9
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2019;1042.89
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2020;1088.98
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2021;1132.52
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2022;1236.77
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2023;1305.25
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2024;1402.04
96;Trab.dos resid.de outros serv.element.;2014;747.1
96;Trab.dos resid.de outros serv.element.;2015;758.24
96;Trab.dos resid.de outros serv.element.;2016;780.54
96;Trab.dos resid.de outros serv.element.;2017;822.15
96;Trab.dos resid.de outros serv.element.;2018;874.88
96;Trab.dos resid.de outros serv.element.;2019;922.82
96;Trab.dos resid.de outros serv.element.;2020;954.98
96;Trab.dos resid.de outros serv.element.;2021;1013.14
96;Trab.dos resid.de outros serv.element.;2022;1073.02
96;Trab.dos resid.de outros serv.element.;2023;1145.41
96;Trab.dos resid.de outros serv.element.;2024;1151.35
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2014;1872.04
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2015;2276.44
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2016;2020.39
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2017;2216.48
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2018;1911.05
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2019;2143.68
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2020;2275.43
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2021;2387.68
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2022;2512.64
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2023;3169.09
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2024;3504.65
