Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Sujeitos Passivos;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por sujeito passivo;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;20;25;30;40;50;60;70;75;80;90;;P80/P20;P90/P10;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;€;€;€;€;€;€;€;€;€;€;€;%;Nº;Nº;;;;;;;;
PT;PT;Portugal;7 690 938;116 431 972;101 131 237;15 139;4 596;6 560;7 459;8 341;9 800;11 103;13 063;15 850;17 841;20 400;29 397;4 550;6 486;7 384;8 231;9 706;10 679;12 270;14 497;16 016;17 942;24 227;35,7;2,8;5,3;;;;;;;;
1;NUTS 1; Continente;7 349 345;111 403 501;96 560 301;15 158;4 604;6 569;7 468;8 348;9 801;11 108;13 082;15 872;17 860;20 414;29 416;4 558;6 494;7 391;8 235;9 706;10 674;12 271;14 493;16 004;17 918;24 163;35,7;2,8;5,3;;;;;;;;
11;NUTS 2;  Norte;2 665 893;36 720 473;32 344 221;13 774;4 379;6 152;6 959;7 736;9 265;10 332;11 893;14 260;15 941;18 237;26 485;4 340;6 097;6 889;7 652;9 148;10 125;11 318;13 243;14 556;16 292;22 195;35,0;2,7;5,1;;;;;;;;
111;NUTS 3;   Alto Minho;174 318;2 168 616;1 949 759;12 441;3 822;5 758;6 454;7 206;8 757;9 993;11 378;13 338;14 704;16 573;23 470;3 762;5 698;6 388;7 134;8 631;9 878;10 896;12 493;13 583;15 046;20 179;33,9;2,6;5,4;;;;;;;;
1601;Município;Arcos de Valdevez;15 287;164 136;149 826;10 737;2 926;4 935;5 521;6 100;7 420;8 922;10 128;11 670;12 694;14 124;19 920;2 893;4 921;5 477;6 056;7 350;8 780;9 965;11 073;11 976;13 131;17 464;34,9;2,7;6,0;;;;;;;;
1602;Município;Caminha;12 261;161 060;142 203;13 136;3 523;5 667;6 388;7 103;8 700;9 982;11 598;13 840;15 352;17 491;25 842;3 493;5 618;6 336;7 022;8 559;9 870;11 049;12 794;14 058;15 717;21 663;36,3;2,8;6,2;;;;;;;;
1603;Município;Melgaço;5 425;60 060;54 435;11 071;2 831;5 093;5 917;6 595;8 037;9 481;10 598;12 124;13 339;14 807;20 444;2 808;5 038;5 815;6 459;7 902;9 378;10 237;11 351;12 394;13 504;17 849;34,1;2,7;6,4;;;;;;;;
1604;Município;Monção;12 958;149 322;135 588;11 524;3 354;5 473;6 175;6 866;8 329;9 706;10 788;12 508;13 705;15 328;21 411;3 295;5 436;6 097;6 789;8 190;9 588;10 401;11 750;12 726;14 094;18 635;33,5;2,6;5,7;;;;;;;;
1605;Município;Paredes de Coura;6 529;70 156;64 622;10 745;3 429;5 289;5 908;6 438;7 692;9 171;10 444;11 992;13 068;14 190;19 164;3 411;5 284;5 857;6 388;7 663;9 085;10 212;11 372;12 275;13 211;16 951;32,4;2,5;5,0;;;;;;;;
1606;Município;Ponte da Barca;8 297;86 741;79 807;10 455;2 848;4 935;5 407;5 983;7 362;8 801;10 065;11 534;12 511;13 919;19 289;2 799;4 919;5 376;5 951;7 298;8 718;9 959;11 056;11 852;12 886;17 140;34,3;2,6;6,1;;;;;;;;
1607;Município;Ponte de Lima;30 269;350 157;319 729;11 568;3 985;5 610;6 191;6 881;8 359;9 706;10 753;12 331;13 464;14 936;20 694;3 927;5 570;6 139;6 814;8 256;9 617;10 456;11 715;12 610;13 862;18 252;32,7;2,5;4,6;;;;;;;;
1608;Município;Valença;10 671;121 319;111 427;11 369;3 702;5 862;6 577;7 308;8 733;9 890;11 090;12 544;13 574;14 960;20 109;3 625;5 798;6 493;7 234;8 611;9 856;10 648;11 867;12 722;13 818;17 658;31,0;2,4;4,9;;;;;;;;
1609;Município;Viana do Castelo;65 586;919 981;814 244;14 027;4 496;6 410;7 268;8 129;9 706;10 916;12 650;15 101;16 882;19 258;27 317;4 452;6 383;7 172;8 005;9 570;10 522;11 925;13 918;15 257;17 061;22 834;33,7;2,7;5,1;;;;;;;;
1610;Município;Vila Nova de Cerveira;7 035;85 685;77 878;12 180;3 901;6 057;6 818;7 616;9 100;10 198;11 649;13 474;14 786;16 269;22 129;3 817;6 004;6 776;7 519;8 998;10 026;11 082;12 612;13 596;14 877;19 126;31,9;2,5;5,0;;;;;;;;
112;NUTS 3;   Cávado;306 572;4 235 976;3 750 222;13 817;4 593;6 374;7 162;7 973;9 495;10 474;12 005;14 336;16 012;18 298;26 535;4 546;6 317;7 100;7 884;9 390;10 236;11 442;13 336;14 656;16 370;22 293;34,1;2,6;4,9;;;;;;;;
0301;Município;Amares;13 602;162 351;147 657;11 936;4 101;5 805;6 484;7 260;8 820;9 894;11 049;12 861;14 115;15 769;21 684;4 056;5 761;6 448;7 171;8 694;9 870;10 657;12 156;13 143;14 474;18 768;32,0;2,5;4,6;;;;;;;;
0302;Município;Barcelos;85 991;1 037 251;943 373;12 062;4 720;6 279;7 002;7 681;9 122;9 974;10 996;12 632;13 818;15 339;21 077;4 690;6 228;6 950;7 608;9 027;9 894;10 631;11 954;12 876;14 098;18 365;30,3;2,3;3,9;;;;;;;;
0303;Município;Braga;142 284;2 244 508;1 945 932;15 775;4 852;6 872;7 794;8 666;10 010;11 505;13 620;16 696;18 956;21 868;31 510;4 818;6 813;7 720;8 573;9 898;11 053;12 760;15 182;16 889;19 050;25 593;35,5;2,8;5,3;;;;;;;;
0306;Município;Esposende;26 526;363 283;320 381;13 695;4 383;6 066;6 893;7 700;9 345;10 311;11 779;14 264;15 845;17 977;26 190;4 324;6 006;6 819;7 610;9 217;10 105;11 239;13 244;14 466;16 110;21 888;34,9;2,7;5,1;;;;;;;;
0310;Município;Terras de Bouro;4 530;48 624;44 790;10 734;3 304;5 217;5 876;6 566;7 859;9 264;10 334;11 986;13 010;14 502;19 423;3 278;5 189;5 836;6 516;7 819;9 093;10 109;11 313;12 183;13 300;16 927;32,3;2,6;5,2;;;;;;;;
0313;Município;Vila Verde;33 639;379 960;348 090;11 295;3 872;5 598;6 207;6 876;8 340;9 681;10 580;12 230;13 380;14 918;20 625;3 815;5 527;6 142;6 806;8 239;9 587;10 300;11 601;12 541;13 793;18 031;31,9;2,5;4,7;;;;;;;;
119;NUTS 3;   Ave;319 255;4 036 708;3 643 659;12 644;4 800;6 515;7 234;7 912;9 246;10 108;11 245;13 104;14 370;16 112;22 657;4 772;6 469;7 187;7 844;9 156;9 991;10 844;12 348;13 379;14 727;19 575;31,3;2,3;4,1;;;;;;;;
0304;Município;Cabeceiras de Basto;10 585;112 120;103 586;10 592;3 240;5 078;5 712;6 308;7 720;9 102;9 943;11 401;12 503;14 038;19 203;3 227;5 071;5 676;6 264;7 685;8 994;9 870;10 931;11 837;13 097;17 078;33,1;2,6;5,3;;;;;;;;
0307;Município;Fafe;36 884;419 914;384 552;11 385;3 871;5 709;6 388;6 955;8 315;9 557;10 282;11 775;13 021;14 672;21 000;3 811;5 668;6 341;6 894;8 232;9 489;10 136;11 266;12 296;13 620;18 366;32,6;2,4;4,8;;;;;;;;
0308;Município;Guimarães;120 851;1 582 614;1 419 522;13 096;5 101;6 909;7 560;8 220;9 494;10 240;11 353;13 203;14 477;16 215;23 180;5 079;6 869;7 518;8 156;9 398;10 094;10 943;12 444;13 459;14 809;19 946;31,0;2,2;3,9;;;;;;;;
1705;Município;Mondim de Basto;4 450;45 076;41 743;10 129;3 172;4 935;5 383;5 922;7 243;8 743;9 870;10 851;11 737;13 411;19 038;3 131;4 935;5 338;5 900;7 193;8 604;9 765;10 429;11 200;12 474;16 921;33,2;2,5;5,4;;;;;;;;
0309;Município;Póvoa de Lanhoso;15 173;166 576;153 407;10 978;3 632;5 448;6 123;6 834;8 320;9 646;10 438;11 911;12 979;14 395;19 575;3 594;5 406;6 090;6 786;8 243;9 538;10 209;11 333;12 210;13 402;17 276;31,7;2,5;4,8;;;;;;;;
0311;Município;Vieira do Minho;8 312;88 498;81 449;10 647;3 199;5 067;5 669;6 228;7 552;8 950;10 039;11 463;12 573;14 051;19 452;3 172;5 062;5 637;6 192;7 465;8 799;9 888;10 954;11 796;13 018;17 288;34,0;2,6;5,4;;;;;;;;
0312;Município;Vila Nova de Famalicão;104 195;1 396 667;1 252 655;13 404;5 117;6 978;7 686;8 408;9 702;10 664;12 065;14 134;15 545;17 490;24 089;5 098;6 939;7 632;8 333;9 616;10 374;11 469;13 168;14 276;15 775;20 607;30,7;2,3;4,0;;;;;;;;
0314;Município;Vizela;18 805;225 245;206 746;11 978;5 192;6 819;7 456;8 039;9 360;10 032;10 913;12 256;13 298;14 616;20 112;5 173;6 780;7 409;7 986;9 288;9 956;10 583;11 646;12 545;13 587;17 708;28,3;2,0;3,4;;;;;;;;
11A;NUTS 3;   A. M. Porto;1 305 804;19 890 088;17 193 356;15 232;4 747;6 610;7 467;8 311;9 755;11 037;12 993;15 756;17 758;20 375;29 722;4 708;6 543;7 394;8 200;9 671;10 625;12 203;14 398;15 912;17 869;24 324;35,7;2,7;5,2;;;;;;;;
0104;Município;Arouca;15 489;175 088;159 937;11 304;4 112;5 629;6 292;6 900;8 227;9 581;10 556;12 103;13 242;14 600;20 128;4 067;5 587;6 218;6 846;8 134;9 469;10 289;11 501;12 455;13 594;17 709;31,6;2,4;4,4;;;;;;;;
0107;Município;Espinho;23 265;346 873;301 322;14 910;4 747;6 586;7 399;8 150;9 612;10 808;12 639;15 318;17 474;20 254;30 501;4 700;6 525;7 318;8 033;9 491;10 444;11 925;14 041;15 730;17 802;24 652;35,4;2,7;5,2;;;;;;;;
1304;Município;Gondomar;122 654;1 666 655;1 484 821;13 588;4 720;6 464;7 289;8 108;9 602;10 734;12 442;14 754;16 363;18 466;25 532;4 692;6 408;7 221;8 010;9 486;10 406;11 756;13 635;14 885;16 482;21 530;32,6;2,6;4,6;;;;;;;;
1306;Município;Maia;100 277;1 689 124;1 448 947;16 845;5 184;7 402;8 373;9 248;10 676;12 646;15 098;18 557;20 847;23 775;33 238;5 147;7 317;8 253;9 115;10 339;11 914;13 889;16 503;18 214;20 340;26 651;34,6;2,8;5,2;;;;;;;;
1308;Município;Matosinhos;129 410;2 199 304;1 869 854;16 995;5 077;7 217;8 154;9 000;10 357;12 149;14 506;17 912;20 258;23 428;34 031;5 046;7 149;8 044;8 868;10 114;11 514;13 424;16 039;17 802;20 072;27 056;36,1;2,8;5,4;;;;;;;;
0113;Município;Oliveira de Azeméis;52 345;686 556;616 044;13 116;4 975;6 738;7 472;8 182;9 592;10 646;12 086;14 086;15 324;17 001;23 085;4 946;6 679;7 399;8 086;9 472;10 327;11 466;13 073;14 095;15 350;19 816;30,6;2,3;4,0;;;;;;;;
1310;Município;Paredes;62 755;698 914;638 360;11 137;3 484;5 175;5 842;6 476;8 119;9 515;10 336;11 971;13 130;14 668;20 365;3 458;5 158;5 805;6 418;8 020;9 418;10 148;11 367;12 333;13 567;17 947;33,6;2,6;5,2;;;;;;;;
1312;Município;Porto;173 856;3 577 826;2 874 710;20 579;4 506;6 921;7 992;8 939;10 500;12 832;16 290;21 538;25 206;29 720;43 472;4 452;6 820;7 860;8 789;10 186;11 975;14 673;18 585;21 128;24 136;32 906;41,8;3,5;7,4;;;;;;;;
1313;Município;Póvoa de Varzim;48 665;656 931;581 755;13 499;3 992;5 853;6 663;7 486;9 099;10 168;11 780;14 195;15 888;18 303;26 628;3 950;5 796;6 590;7 401;8 978;10 010;11 253;13 230;14 552;16 348;22 337;35,5;2,8;5,7;;;;;;;;
0109;Município;Santa Maria da Feira;104 122;1 365 765;1 220 173;13 117;4 748;6 388;7 135;7 873;9 293;10 378;11 810;13 817;15 135;16 959;23 809;4 724;6 346;7 070;7 791;9 172;10 163;11 269;12 878;13 913;15 334;20 389;32,3;2,4;4,3;;;;;;;;
1314;Município;Santo Tirso;52 992;683 135;614 404;12 891;5 092;6 709;7 368;7 983;9 282;10 182;11 370;13 412;14 665;16 477;23 044;5 076;6 664;7 330;7 930;9 180;10 036;10 926;12 546;13 560;14 980;19 824;30,9;2,2;3,9;;;;;;;;
0116;Município;São João da Madeira;17 309;244 779;215 856;14 142;4 865;6 687;7 435;8 152;9 582;10 752;12 376;14 694;16 413;18 682;26 637;4 851;6 638;7 391;8 075;9 449;10 424;11 730;13 607;14 925;16 656;22 385;33,5;2,5;4,6;;;;;;;;
1318;Município;Trofa;30 030;393 301;352 904;13 097;4 915;6 706;7 486;8 260;9 568;10 537;12 001;14 127;15 435;17 158;23 333;4 885;6 635;7 410;8 160;9 459;10 279;11 418;13 115;14 184;15 542;19 942;30,8;2,3;4,1;;;;;;;;
0119;Município;Vale de Cambra;16 589;220 643;197 726;13 301;4 960;6 570;7 308;8 065;9 455;10 611;12 226;14 325;15 656;17 384;24 224;4 940;6 473;7 264;7 974;9 297;10 300;11 550;13 334;14 363;15 684;20 646;31,5;2,4;4,2;;;;;;;;
1315;Município;Valongo;70 779;980 750;873 386;13 857;4 847;6 712;7 564;8 415;9 823;11 095;12 877;15 208;16 856;18 943;26 195;4 822;6 652;7 495;8 312;9 722;10 675;12 118;13 986;15 276;16 819;21 946;32,0;2,5;4,6;;;;;;;;
1316;Município;Vila do Conde;60 974;880 366;772 585;14 438;4 821;6 605;7 415;8 205;9 642;10 732;12 600;15 095;16 895;19 248;27 519;4 779;6 541;7 334;8 091;9 510;10 397;11 881;13 946;15 302;17 028;22 861;34,2;2,6;4,8;;;;;;;;
1317;Município;Vila Nova de Gaia;224 293;3 424 077;2 970 574;15 266;4 804;6 712;7 563;8 419;9 869;11 254;13 252;16 105;18 122;20 758;29 618;4 772;6 641;7 486;8 309;9 756;10 811;12 421;14 679;16 209;18 166;24 305;35,2;2,7;5,1;;;;;;;;
11B;NUTS 3;Alto Tâmega e Barroso;58 860;657 035;594 804;11 163;2 964;4 923;5 422;6 032;7 452;8 997;10 202;11 975;13 333;15 107;21 939;2 908;4 898;5 375;5 972;7 375;8 859;10 002;11 333;12 416;13 886;19 010;36,2;2,8;6,5;;;;;;;;
1702;Município;Boticas;3 390;33 930;31 406;10 009;2 890;4 868;5 251;5 721;6 944;8 317;9 798;10 775;11 642;13 095;18 298;2 808;4 854;5 205;5 629;6 863;8 217;9 733;10 434;11 051;12 201;16 494;34,4;2,5;5,9;;;;;;;;
1703;Município;Chaves;26 665;333 571;297 459;12 510;3 194;5 250;5 950;6 681;8 340;9 823;11 162;13 374;14 959;17 461;25 306;3 183;5 213;5 889;6 606;8 217;9 706;10 690;12 458;13 780;15 717;21 502;36,6;3,0;6,8;;;;;;;;
1706;Município;Montalegre;6 416;65 621;59 823;10 228;2 695;4 522;5 074;5 652;6 871;8 312;9 870;11 258;12 273;14 041;19 634;2 642;4 445;5 033;5 564;6 789;8 154;9 737;10 738;11 558;12 934;17 107;35,9;2,9;6,5;;;;;;;;
1709;Município;Ribeira de Pena;4 096;41 119;37 900;10 039;3 020;4 775;5 207;5 654;6 946;8 396;9 705;11 011;11 955;13 744;18 847;2 970;4 758;5 156;5 568;6 849;8 269;9 630;10 497;11 318;12 629;16 935;34,4;2,7;5,7;;;;;;;;
