Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Sujeitos Passivos;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por sujeito passivo;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;
1712;Município;Valpaços;9 996;94 429;87 344;9 447;2 639;4 370;4 950;5 374;6 359;7 676;9 165;10 583;11 488;12 789;17 652;2 599;4 323;4 935;5 346;6 288;7 579;9 032;10 233;10 889;11 964;15 739;35,5;2,8;6,1;;;;;;;;
1713;Município;Vila Pouca de Aguiar;8 297;88 365;80 872;10 650;2 960;4 934;5 372;6 017;7 399;8 813;9 937;11 463;12 724;14 434;20 154;2 926;4 918;5 345;5 941;7 309;8 659;9 870;10 947;11 911;13 313;17 813;34,8;2,7;6,1;;;;;;;;
11C;NUTS 3;   Tâmega e Sousa;296 573;3 200 858;2 942 968;10 793;3 642;5 273;5 891;6 502;7 918;9 302;10 090;11 416;12 529;14 000;19 443;3 619;5 250;5 848;6 446;7 826;9 195;9 974;10 964;11 820;13 016;17 155;32,4;2,5;4,7;;;;;;;;
1301;Município;Amarante;37 550;416 456;378 837;11 091;3 382;5 056;5 629;6 226;7 622;9 149;10 134;11 624;12 909;14 559;20 857;3 357;5 040;5 592;6 150;7 519;9 029;9 984;11 102;12 113;13 474;18 235;34,7;2,7;5,4;;;;;;;;
1302;Município;Baião;11 797;118 248;109 450;10 024;3 469;5 047;5 428;5 970;7 195;8 558;9 775;10 917;11 893;13 395;18 019;3 448;5 041;5 408;5 929;7 129;8 462;9 696;10 486;11 291;12 386;15 961;32,0;2,5;4,6;;;;;;;;
0106;Município;Castelo de Paiva;11 369;118 208;110 066;10 397;4 149;5 428;6 035;6 577;7 846;9 244;10 169;11 271;12 204;13 452;18 072;4 140;5 394;5 991;6 509;7 753;9 138;10 012;10 870;11 562;12 640;16 066;29,8;2,3;3,9;;;;;;;;
0305;Município;Celorico de Basto;11 491;117 203;108 414;10 200;3 235;5 030;5 529;6 143;7 400;8 757;9 863;10 901;11 867;13 239;18 345;3 194;5 018;5 499;6 102;7 320;8 677;9 794;10 540;11 263;12 389;16 303;32,7;2,5;5,1;;;;;;;;
1804;Município;Cinfães;12 074;112 179;104 564;9 291;2 872;4 635;5 073;5 509;6 583;7 802;9 120;10 196;11 023;12 208;17 124;2 870;4 632;5 061;5 473;6 484;7 695;9 015;10 024;10 585;11 502;15 451;34,2;2,5;5,4;;;;;;;;
1303;Município;Felgueiras;42 234;473 379;435 130;11 208;4 318;5 893;6 551;7 243;8 614;9 754;10 462;11 632;12 690;14 066;19 350;4 295;5 859;6 500;7 195;8 529;9 706;10 242;11 177;11 959;13 087;17 072;30,0;2,2;4,0;;;;;;;;
1305;Município;Lousada;36 072;387 508;358 968;10 743;3 878;5 492;6 169;6 886;8 354;9 535;10 128;11 376;12 436;13 896;19 073;3 853;5 450;6 130;6 832;8 281;9 479;10 025;10 955;11 766;12 943;16 927;30,7;2,4;4,4;;;;;;;;
1307;Município;Marco de Canaveses;34 868;360 975;332 261;10 353;3 161;4 948;5 436;6 025;7 318;8 733;9 870;11 141;12 194;13 687;18 964;3 142;4 936;5 404;5 976;7 234;8 621;9 784;10 710;11 551;12 738;16 888;34,3;2,6;5,4;;;;;;;;
1309;Município;Paços de Ferreira;41 582;452 257;417 763;10 876;4 180;5 543;6 154;6 851;8 354;9 541;10 038;11 349;12 446;13 828;19 124;4 149;5 513;6 122;6 789;8 294;9 491;9 954;10 937;11 775;12 893;16 901;30,6;2,3;4,1;;;;;;;;
1311;Município;Penafiel;50 941;581 436;529 259;11 414;3 788;5 409;6 075;6 765;8 202;9 591;10 492;12 085;13 325;14 901;20 791;3 773;5 367;6 014;6 693;8 092;9 495;10 231;11 463;12 466;13 752;18 181;33,2;2,6;4,8;;;;;;;;
1813;Município;Resende;6 595;63 009;58 255;9 554;2 378;4 175;4 845;5 185;6 251;7 572;9 047;10 403;11 356;12 982;18 415;2 378;4 158;4 843;5 179;6 198;7 505;8 958;10 149;10 848;12 197;16 547;37,7;2,9;7,0;;;;;;;;
11D;NUTS 3;   Douro;128 496;1 570 784;1 410 722;12 224;3 521;5 339;5 987;6 690;8 181;9 694;10 924;13 015;14 552;16 755;24 218;3 481;5 307;5 944;6 612;8 075;9 561;10 527;12 208;13 469;15 189;20 725;35,6;2,9;6,0;;;;;;;;
1701;Município;Alijó;7 492;75 934;70 237;10 135;3 163;4 938;5 406;5 963;7 136;8 435;9 787;11 153;12 253;13 718;18 826;3 142;4 935;5 372;5 908;7 078;8 310;9 674;10 679;11 593;12 884;16 727;33,4;2,6;5,3;;;;;;;;
1801;Município;Armamar;3 644;38 265;35 087;10 501;3 285;4 935;5 460;6 051;7 362;8 606;9 870;11 053;12 044;13 407;19 100;3 247;4 935;5 416;5 987;7 249;8 541;9 780;10 614;11 487;12 537;16 795;34,5;2,5;5,2;;;;;;;;
0403;Município;Carrazeda de Ansiães;3 612;39 054;35 859;10 812;3 270;5 116;5 693;6 234;7 409;8 741;10 014;11 489;12 867;14 576;20 807;3 204;5 073;5 654;6 197;7 399;8 651;9 889;11 081;12 091;13 404;18 200;34,3;2,6;5,7;;;;;;;;
0404;Município;Freixo de Espada à Cinta;2 260;24 739;22 790;10 946;4 381;5 608;6 198;6 892;8 101;9 335;10 390;11 844;12 654;14 006;19 143;4 328;5 539;6 114;6 780;7 947;9 240;10 132;11 183;11 966;13 196;17 020;30,2;2,4;3,9;;;;;;;;
1805;Município;Lamego;17 260;218 331;194 635;12 650;3 724;5 339;5 966;6 645;8 222;9 744;11 046;13 369;15 102;17 401;26 124;3 710;5 309;5 923;6 588;8 128;9 671;10 619;12 421;13 846;15 644;21 918;36,3;2,9;5,9;;;;;;;;
1704;Município;Mesão Frio;2 549;25 879;23 947;10 153;3 363;5 025;5 449;5 910;7 166;8 556;9 870;11 183;12 162;13 396;18 058;3 336;5 025;5 438;5 889;7 068;8 453;9 839;10 698;11 467;12 509;16 221;32,6;2,5;4,9;;;;;;;;
1807;Município;Moimenta da Beira;6 151;69 589;63 337;11 313;3 320;5 284;5 947;6 553;8 022;9 363;10 394;12 137;13 434;14 936;21 471;3 301;5 276;5 889;6 499;7 857;9 225;10 196;11 493;12 509;13 783;18 616;34,3;2,6;5,6;;;;;;;;
1707;Município;Murça;3 664;37 536;34 524;10 245;2 960;4 935;5 373;5 905;7 088;8 321;9 853;11 387;12 500;14 003;19 462;2 922;4 882;5 355;5 836;6 971;8 216;9 719;10 837;11 697;12 889;17 240;34,4;2,6;5,9;;;;;;;;
1812;Município;Penedono;1 838;19 059;17 486;10 370;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;
1708;Município;Peso da Régua;10 278;122 523;110 575;11 921;3 702;5 452;6 092;6 785;8 222;9 659;10 739;12 901;14 424;16 394;22 636;3 696;5 408;6 029;6 756;8 127;9 534;10 432;12 147;13 316;14 906;19 572;34,0;2,8;5,3;;;;;;;;
1710;Município;Sabrosa;4 011;43 870;40 438;10 937;3 820;5 454;5 976;6 534;7 796;9 259;10 280;11 932;12 861;14 421;19 620;3 800;5 429;5 942;6 467;7 728;9 105;10 071;11 368;12 061;13 356;17 408;32,2;2,5;4,6;;;;;;;;
1711;Município;Santa Marta de Penaguião;4 689;44 954;41 779;9 587;2 503;4 356;5 055;5 634;6 689;8 020;9 427;10 786;11 710;13 026;17 616;2 482;4 330;5 029;5 614;6 633;7 918;9 230;10 457;11 109;12 209;16 069;35,6;2,8;6,5;;;;;;;;
1815;Município;São João da Pesqueira;4 649;48 715;44 456;10 479;3 167;4 870;5 420;6 007;7 222;8 608;9 870;11 386;12 485;13 678;19 076;3 142;4 813;5 366;5 928;7 153;8 509;9 774;10 886;11 663;12 789;16 807;34,2;2,7;5,3;;;;;;;;
1818;Município;Sernancelhe;3 411;35 440;32 649;10 390;3 499;5 031;5 600;6 287;7 734;9 030;9 974;11 268;12 204;13 418;19 046;3 357;4 999;5 572;6 214;7 553;8 864;9 870;10 744;11 425;12 490;16 640;32,1;2,5;5,0;;;;;;;;
1819;Município;Tabuaço;3 122;31 605;29 157;10 123;3 186;4 961;5 460;5 916;7 009;8 229;9 557;10 870;11 904;13 319;19 627;3 131;4 940;5 424;5 880;6 929;8 106;9 424;10 523;11 355;12 424;17 300;33,8;2,5;5,5;;;;;;;;
1820;Município;Tarouca;4 678;51 122;46 975;10 928;3 273;5 185;5 781;6 437;7 920;9 448;10 246;11 860;13 200;14 519;20 623;3 270;5 179;5 723;6 380;7 839;9 295;10 065;11 292;12 344;13 539;18 174;33,2;2,6;5,6;;;;;;;;
0409;Município;Torre de Moncorvo;4 801;53 436;48 707;11 130;3 414;5 267;5 890;6 556;7 970;9 318;10 502;12 183;13 320;14 967;21 008;3 397;5 218;5 836;6 461;7 820;9 120;10 133;11 426;12 400;13 795;18 256;33,4;2,6;5,4;;;;;;;;
0914;Município;Vila Nova de Foz Côa;4 346;49 066;44 249;11 290;2 934;5 027;5 706;6 323;7 627;9 190;10 524;12 516;13 695;15 298;22 030;2 927;4 976;5 620;6 277;7 554;9 029;10 200;11 719;12 691;13 962;19 006;35,3;2,8;6,5;;;;;;;;
1714;Município;Vila Real;36 041;541 665;473 835;15 029;4 230;6 168;7 136;8 043;9 774;11 225;13 356;16 706;19 124;21 890;31 006;4 199;6 105;7 057;7 939;9 705;10 795;12 546;15 205;17 036;19 072;25 338;35,9;3,1;6,0;;;;;;;;
11E;NUTS 3;   Terras de Trás-os-Montes;76 015;960 408;858 732;12 634;3 541;5 434;6 126;6 837;8 460;9 888;11 396;13 652;15 292;17 608;25 112;3 488;5 390;6 056;6 778;8 367;9 833;10 867;12 729;14 048;15 778;21 335;35,6;2,9;6,1;;;;;;;;
0401;Município;Alfândega da Fé;3 048;33 191;30 220;10 890;3 249;5 036;5 557;6 060;7 240;8 515;9 870;11 565;13 177;14 973;21 468;3 227;5 029;5 475;5 993;7 114;8 396;9 799;11 022;12 275;13 723;18 829;35,2;2,7;5,8;;;;;;;;
0402;Município;Bragança;24 929;368 287;323 261;14 773;4 284;6 399;7 303;8 329;9 916;11 431;13 414;16 371;18 508;21 051;29 636;4 230;6 359;7 219;8 235;9 866;10 946;12 540;14 849;16 507;18 430;24 316;34,7;2,9;5,7;;;;;;;;
0405;Município;Macedo de Cavaleiros;9 885;112 634;101 539;11 394;2 926;4 880;5 312;5 870;7 236;8 794;10 108;11 987;13 417;15 542;23 007;2 896;4 868;5 284;5 836;7 151;8 698;9 918;11 370;12 577;14 260;19 954;37,8;2,9;6,9;;;;;;;;
0406;Município;Miranda do Douro;4 794;58 125;52 572;12 125;3 972;5 789;6 491;7 224;8 709;9 968;11 329;13 361;14 605;16 683;23 475;3 850;5 709;6 388;7 092;8 524;9 870;10 740;12 366;13 492;15 047;20 206;32,9;2,6;5,2;;;;;;;;
0407;Município;Mirandela;15 032;189 998;170 016;12 640;3 635;5 420;6 103;6 851;8 508;9 899;11 402;13 561;15 233;17 504;24 809;3 600;5 368;6 030;6 783;8 414;9 859;10 887;12 649;14 012;15 763;21 211;35,6;2,9;5,9;;;;;;;;
0408;Município;Mogadouro;5 919;68 215;61 525;11 525;3 270;5 100;5 677;6 344;7 709;9 305;10 460;12 390;13 760;15 526;22 416;3 247;5 062;5 629;6 248;7 610;9 162;10 134;11 640;12 787;14 234;19 373;35,4;2,8;6,0;;;;;;;;
0410;Município;Vila Flor;4 089;43 597;39 928;10 662;3 151;4 935;5 524;6 049;7 130;8 493;9 914;11 328;12 383;14 202;19 942;3 110;4 935;5 491;5 966;7 042;8 400;9 846;10 781;11 723;13 298;17 528;35,6;2,7;5,6;;;;;;;;
0411;Município;Vimioso;2 888;31 158;28 465;10 789;3 208;5 244;5 811;6 423;7 763;9 076;10 154;11 865;13 120;14 427;20 188;3 194;5 207;5 731;6 388;7 661;8 974;9 928;11 158;12 182;13 318;17 367;33,2;2,6;5,4;;;;;;;;
