Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Sujeitos Passivos;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por sujeito passivo;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado por sujeito passivo (NUTS III=100);;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;Taxa de crescimento anual médio do rendimento bruto declarado deduzido do IRS liquidado por sujeito passivo (2021 - 2023);Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2022);;;Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2023);;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;25;50;75;90;10;20;25;30;40;50;60;70;75;80;90;2021;2023;P80/P20;P90/P10;;25;50;75;25;50;75;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;%;;;;;€;€;€;€;€;€;€;€;€;€;€;%;;Nº;Nº;%;;;;;;;;;;;;;;
112;NUTS 3;   Cávado;315 210;4 625 390;4 099 162;14 674;4 919;6 750;7 603;8 453;10 118;11 240;12 844;15 200;16 986;19 379;28 058;100;100;100;100;100;4 880;6 693;7 529;8 364;9 989;11 023;12 269;14 167;15 537;17 340;23 532;34,4;34,0;2,6;4,8;7,3;6,7;7,0;6,0;6,0;7,7;6,0;;;;;;;;
0301;Município;Amares;14 035;177 468;161 897;12 645;4 493;6 150;6 904;7 711;9 397;10 681;11 898;13 689;15 012;16 829;23 096;91;91;95;88;82;4 468;6 113;6 852;7 647;9 269;10 640;11 531;13 036;14 080;15 381;20 039;32,2;31,5;2,5;4,5;7,0;7,5;6,1;6,1;6,3;7,8;7,1;;;;;;;;
0302;Município;Barcelos;88 067;1 127 798;1 027 550;12 806;5 050;6 662;7 417;8 165;9 665;10 706;11 832;13 473;14 613;16 275;22 299;103;98;95;86;79;5 016;6 624;7 355;8 080;9 527;10 640;11 472;12 792;13 739;14 960;19 427;30,7;30,1;2,3;3,9;6,9;7,7;6,3;5,9;5,8;7,5;6,7;;;;;;;;
0303;Município;Braga;146 486;2 450 959;2 126 227;16 732;5 194;7 263;8 247;9 148;10 718;12 313;14 393;17 675;20 007;23 069;32 917;106;108;110;118;117;5 151;7 195;8 166;9 068;10 640;11 842;13 560;16 068;17 842;20 093;26 858;35,5;35,4;2,8;5,2;5,9;5,6;4,6;5,6;5,8;7,1;5,6;;;;;;;;
0306;Município;Esposende;27 434;399 252;352 681;14 553;4 719;6 520;7 392;8 247;9 996;11 104;12 654;15 075;16 870;19 141;27 642;96;97;99;99;99;4 662;6 457;7 289;8 136;9 880;10 896;12 074;14 072;15 394;17 114;23 174;35,5;34,5;2,7;5,0;7,6;7,8;7,3;6,4;6,9;7,8;6,4;;;;;;;;
0310;Município;Terras de Bouro;4 576;52 002;48 085;11 364;3 728;5 718;6 344;6 977;8 468;9 925;11 092;12 776;13 844;15 138;20 337;76;83;88;82;72;3 655;5 680;6 320;6 911;8 375;9 824;10 866;12 107;12 965;14 105;17 959;33,1;31,5;2,5;4,9;7,6;6,7;7,1;7,4;8,3;8,0;6,4;;;;;;;;
0313;Município;Vila Verde;34 612;417 912;382 722;12 074;4 174;5 938;6 576;7 267;8 891;10 426;11 413;13 115;14 302;16 038;21 702;85;86;93;84;77;4 111;5 892;6 545;7 197;8 772;10 287;11 138;12 479;13 462;14 746;19 080;32,5;31,9;2,5;4,6;7,4;8,0;7,6;6,9;6,5;7,3;7,3;;;;;;;;
119;NUTS 3;   Ave;326 342;4 357 302;3 940 525;13 352;5 072;6 822;7 577;8 293;9 762;10 819;12 061;13 869;15 161;17 048;23 875;100;100;100;100;100;5 038;6 789;7 519;8 229;9 651;10 711;11 660;13 133;14 152;15 601;20 642;31,9;31,2;2,3;4,1;6,7;7,8;6,2;5,8;4,6;7,2;5,8;;;;;;;;
0304;Município;Cabeceiras de Basto;10 789;121 294;112 255;11 242;3 673;5 497;6 100;6 744;8 171;9 583;10 656;12 208;13 371;14 918;20 312;72;81;89;88;85;3 650;5 482;6 065;6 703;8 109;9 449;10 640;11 683;12 719;13 935;18 045;33,8;32,4;2,5;4,9;6,6;8,1;8,1;6,1;6,9;5,1;7,5;;;;;;;;
0307;Município;Fafe;37 577;455 232;416 932;12 115;4 217;6 055;6 666;7 327;8 792;10 178;11 098;12 633;13 840;15 558;22 069;83;88;94;91;92;4 150;6 014;6 634;7 280;8 698;10 071;10 928;12 142;13 119;14 433;19 350;33,4;32,5;2,4;4,7;6,3;8,8;6,5;5,6;4,6;6,1;6,7;;;;;;;;
0308;Município;Guimarães;123 170;1 694 216;1 523 731;13 755;5 390;7 176;7 891;8 574;10 002;10 933;12 143;13 904;15 181;17 048;24 344;106;104;101;100;102;5 350;7 124;7 840;8 509;9 894;10 813;11 735;13 175;14 179;15 619;20 987;31,6;31,0;2,2;3,9;7,2;7,5;7,2;5,4;4,3;7,1;5,4;;;;;;;;
1705;Município;Mondim de Basto;4 481;48 063;44 619;10 726;3 288;5 302;5 814;6 455;7 865;9 238;10 628;11 679;12 635;14 120;20 053;65;77;85;83;84;3 288;5 277;5 795;6 420;7 769;9 141;10 451;11 274;12 019;13 126;17 788;34,2;32,8;2,5;5,4;6,9;9,3;7,5;5,3;8,6;6,2;7,3;;;;;;;;
0309;Município;Póvoa de Lanhoso;15 701;183 328;169 249;11 676;3 966;5 908;6 610;7 341;8 932;10 412;11 249;12 720;13 870;15 191;20 544;78;87;96;91;86;3 893;5 858;6 558;7 246;8 794;10 288;11 026;12 189;13 111;14 183;18 194;33,0;31,1;2,4;4,7;7,1;7,2;6,3;6,0;7,7;7,9;7,4;;;;;;;;
0311;Município;Vieira do Minho;8 451;94 775;87 392;11 215;3 472;5 460;6 066;6 690;8 052;9 463;10 738;12 200;13 285;14 698;20 340;68;80;87;88;85;3 426;5 450;6 047;6 638;7 957;9 307;10 640;11 670;12 533;13 686;18 092;34,3;33,1;2,5;5,3;6,8;9,7;7,9;4,5;7,3;5,8;6,3;;;;;;;;
0312;Município;Vila Nova de Famalicão;107 037;1 518 107;1 363 748;14 183;5 434;7 286;8 050;8 811;10 342;11 442;12 891;14 951;16 512;18 566;25 471;107;106;106;109;107;5 409;7 240;7 985;8 738;10 202;11 178;12 316;13 992;15 163;16 708;21 752;31,0;30,7;2,3;4,0;7,4;7,6;7,0;6,3;4,6;7,8;6,2;;;;;;;;
0314;Município;Vizela;19 136;242 288;222 601;12 661;5 396;7 024;7 707;8 367;9 846;10 710;11 651;12 952;14 000;15 448;21 267;106;102;99;92;89;5 364;7 002;7 663;8 328;9 763;10 650;11 358;12 435;13 281;14 447;18 746;28,8;28,6;2,1;3,5;6,7;8,4;6,3;5,3;3,4;7,0;5,9;;;;;;;;
11A;NUTS 3;   A. M. Porto;1 335 662;21 518 450;18 624 931;16 111;5 040;6 999;7 908;8 792;10 465;11 841;13 806;16 670;18 757;21 500;31 216;100;100;100;100;100;5 012;6 935;7 818;8 673;10 303;11 440;13 003;15 223;16 808;18 857;25 585;36,2;35,5;2,7;5,1;6,8;7,3;5,9;6,0;5,7;7,7;5,6;;;;;;;;
0104;Município;Arouca;15 721;189 808;173 247;12 074;4 451;6 020;6 629;7 255;8 731;10 340;11 395;12 946;14 085;15 525;21 263;88;84;87;75;68;4 396;6 008;6 583;7 175;8 606;10 169;11 116;12 365;13 297;14 374;18 630;31,9;31,4;2,4;4,2;7,3;6,9;7,2;6,2;5,9;7,4;6,8;;;;;;;;
0107;Município;Espinho;23 674;372 876;324 974;15 750;5 052;7 004;7 832;8 633;10 271;11 637;13 517;16 236;18 417;21 364;31 630;100;99;98;98;101;5 014;6 924;7 774;8 545;10 100;11 297;12 739;14 859;16 516;18 702;25 827;35,7;35,0;2,7;5,2;7,6;6,9;7,1;6,8;6,2;8,2;5,0;;;;;;;;
1304;Município;Gondomar;124 724;1 804 720;1 607 957;14 470;5 014;6 886;7 751;8 618;10 254;11 565;13 308;15 710;17 416;19 613;27 091;99;98;98;93;87;5 001;6 816;7 674;8 516;10 107;11 249;12 626;14 524;15 825;17 481;22 793;33,1;32,4;2,6;4,6;7,5;7,8;7,0;6,4;6,3;8,1;6,3;;;;;;;;
1306;Município;Maia;102 239;1 825 367;1 567 598;17 854;5 608;7 895;8 899;9 887;11 454;13 477;16 059;19 683;22 128;25 218;35 150;111;113;114;118;113;5 570;7 800;8 777;9 711;11 148;12 726;14 737;17 486;19 328;21 572;28 156;35,0;34,2;2,8;5,1;6,2;7,4;5,5;5,8;6,3;6,8;6,1;;;;;;;;
1308;Município;Matosinhos;131 612;2 362 973;2 009 550;17 954;5 440;7 651;8 629;9 537;11 066;12 927;15 304;18 875;21 335;24 635;35 649;108;109;109;114;114;5 419;7 566;8 514;9 378;10 834;12 266;14 159;16 905;18 716;21 075;28 399;36,5;35,8;2,8;5,2;6,0;7,0;5,4;5,8;5,8;6,5;5,1;;;;;;;;
0113;Município;Oliveira de Azeméis;53 338;741 158;665 863;13 895;5 330;7 114;7 891;8 647;10 150;11 408;12 880;14 916;16 317;18 109;24 283;106;100;96;87;78;5 313;7 058;7 795;8 536;10 003;11 135;12 269;13 915;14 960;16 319;20 809;30,9;30,4;2,3;3,9;7,2;7,0;6,5;6,1;5,3;7,8;6,1;;;;;;;;
1310;Município;Paredes;64 163;768 573;701 808;11 978;3 833;5 655;6 297;6 997;8 744;10 264;11 183;12 932;14 109;15 713;21 762;76;80;87;75;70;3 807;5 643;6 242;6 945;8 629;10 158;10 979;12 319;13 292;14 523;19 102;34,3;33,2;2,6;5,0;7,8;9,5;7,8;6,7;7,5;7,9;7,8;;;;;;;;
1312;Município;Porto;180 342;3 849 055;3 104 686;21 343;4 701;7 211;8 341;9 307;11 026;13 284;16 637;22 045;25 819;30 600;45 059;93;105;112;138;144;4 612;7 119;8 208;9 143;10 793;12 460;15 074;19 132;21 804;25 011;34 288;42,0;41,8;3,5;7,4;3,8;4,6;3,5;3,1;4,4;4,0;3,2;;;;;;;;
1313;Município;Póvoa de Varzim;50 397;724 301;640 617;14 372;4 267;6 254;7 074;7 931;9 677;10 911;12 625;15 131;16 888;19 289;28 035;85;89;92;90;90;4 230;6 190;6 995;7 844;9 513;10 754;12 054;14 117;15 480;17 298;23 508;35,9;35,4;2,8;5,6;6,9;7,7;6,3;5,8;6,1;7,4;6,4;;;;;;;;
0109;Município;Santa Maria da Feira;105 923;1 470 394;1 316 735;13 882;5 014;6 793;7 567;8 332;9 877;11 177;12 712;14 648;16 080;17 987;25 221;99;96;94;86;81;5 010;6 753;7 495;8 249;9 735;10 961;12 133;13 730;14 784;16 240;21 580;32,8;32,0;2,4;4,3;7,9;7,8;7,9;5,6;6,0;7,8;6,3;;;;;;;;
1314;Município;Santo Tirso;53 672;742 817;664 835;13 840;5 372;7 014;7 679;8 328;9 784;10 889;12 230;14 184;15 572;17 560;24 565;107;97;92;83;79;5 346;6 969;7 622;8 279;9 669;10 763;11 760;13 350;14 421;15 932;21 010;31,3;31,4;2,3;3,9;6,9;7,5;6,6;5,6;4,0;7,2;6,3;;;;;;;;
0116;Município;São João da Madeira;17 692;264 535;233 556;14 952;5 320;7 096;7 835;8 656;10 232;11 502;13 078;15 537;17 166;19 512;27 600;106;99;97;92;88;5 294;7 038;7 781;8 568;10 112;11 229;12 467;14 345;15 662;17 490;23 227;34,0;33,2;2,5;4,4;7,2;7,8;6,7;6,0;5,3;7,7;4,9;;;;;;;;
1318;Município;Trofa;30 870;428 074;384 639;13 867;5 202;7 068;7 897;8 693;10 222;11 358;12 904;14 896;16 390;18 226;24 443;103;100;96;87;78;5 175;7 000;7 814;8 578;10 057;11 108;12 282;13 934;14 978;16 390;20 945;31,1;30,6;2,3;4,0;7,5;6,7;7,0;6,6;5,5;8,1;5,6;;;;;;;;
0119;Município;Vale de Cambra;16 905;235 332;211 769;13 921;5 282;6 965;7 642;8 386;9 957;11 380;12 988;15 041;16 511;18 323;25 125;105;97;96;88;80;5 259;6 894;7 595;8 301;9 782;11 098;12 359;13 973;15 144;16 501;21 618;31,6;31,2;2,4;4,1;6,5;6,6;5,2;4,9;4,6;7,7;5,4;;;;;;;;
1315;Município;Valongo;72 114;1 065 140;949 491;14 770;5 220;7 161;8 114;9 000;10 622;11 968;13 768;16 291;17 996;20 185;27 689;104;103;101;96;89;5 186;7 098;8 030;8 890;10 476;11 541;12 980;14 943;16 268;17 913;23 185;32,6;31,7;2,5;4,5;7,1;7,7;6,1;6,3;7,1;8,1;6,5;;;;;;;;
1316;Município;Vila do Conde;62 200;953 813;837 588;15 335;5 130;6 950;7 777;8 635;10 285;11 566;13 484;16 111;18 000;20 460;29 156;102;98;98;96;93;5 084;6 889;7 705;8 529;10 140;11 229;12 758;14 850;16 275;18 118;24 221;34,6;34,1;2,6;4,8;7,5;8,1;7,0;7,0;5,1;8,0;6,4;;;;;;;;
