Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Sujeitos Passivos;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por sujeito passivo;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado por sujeito passivo (NUTS III=100);;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;Taxa de crescimento anual médio do rendimento bruto declarado deduzido do IRS liquidado por sujeito passivo (2021 - 2023);Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2022);;;Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2023);;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;25;50;75;90;10;20;25;30;40;50;60;70;75;80;90;2021;2023;P80/P20;P90/P10;;25;50;75;25;50;75;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;%;;;;;€;€;€;€;€;€;€;€;€;€;€;%;;Nº;Nº;%;;;;;;;;;;;;;;
1302;Município;Baião;11 968;129 369;119 921;10 810;3 795;5 454;5 905;6 490;7 850;9 268;10 640;11 948;12 973;14 326;19 273;96;94;93;97;93;3 789;5 449;5 876;6 411;7 773;9 122;10 541;11 517;12 323;13 381;17 044;32,5;31,5;2,5;4,5;7,8;8,4;7,9;5,4;8,7;7,8;9,1;;;;;;;;
0106;Município;Castelo de Paiva;11 646;128 643;120 009;11 046;4 382;5 847;6 434;6 983;8 350;9 861;10 955;12 229;13 177;14 345;19 050;111;102;99;98;92;4 355;5 809;6 377;6 918;8 256;9 757;10 851;11 792;12 532;13 504;16 940;30,9;29,5;2,3;3,9;7,4;9,0;8,1;4,4;6,5;6,8;8,4;;;;;;;;
0305;Município;Celorico de Basto;11 639;127 176;117 614;10 927;3 523;5 452;6 003;6 583;7 919;9 329;10 640;11 697;12 637;14 051;19 302;89;95;94;94;93;3 471;5 440;5 955;6 547;7 861;9 208;10 562;11 369;12 079;13 218;17 301;33,5;32,6;2,4;5,0;6,8;8,2;7,5;6,1;8,3;6,1;7,2;;;;;;;;
1804;Município;Cinfães;12 381;121 912;113 886;9 847;3 031;5 014;5 442;5 895;6 977;8 335;9 780;10 981;11 782;12 897;17 930;77;86;84;88;87;3 012;5 002;5 440;5 852;6 908;8 228;9 638;10 772;11 351;12 242;16 081;35,0;33,8;2,4;5,3;7,2;6,4;7,5;4,5;7,5;6,9;7,2;;;;;;;;
1303;Município;Felgueiras;42 864;504 989;465 272;11 781;4 560;6 215;6 840;7 530;8 982;10 339;11 033;12 270;13 240;14 573;20 353;116;109;104;99;98;4 546;6 170;6 807;7 481;8 897;10 248;10 903;11 812;12 584;13 691;17 909;30,8;30,2;2,2;3,9;6,4;8,6;7,3;7,0;4,7;5,6;5,2;;;;;;;;
1305;Município;Lousada;36 746;421 732;390 883;11 477;4 200;5 910;6 576;7 262;8 864;10 218;10 904;12 326;13 377;14 769;20 428;107;104;103;100;99;4 180;5 881;6 548;7 202;8 750;10 121;10 787;11 873;12 739;13 855;18 031;31,4;30,6;2,4;4,3;6,9;8,6;7,1;5,0;6,8;6,8;8,3;;;;;;;;
1307;Município;Marco de Canaveses;35 563;393 536;363 093;11 066;3 421;5 355;5 903;6 549;7 886;9 401;10 646;12 049;13 162;14 650;20 062;87;94;95;98;97;3 396;5 346;5 869;6 490;7 803;9 255;10 628;11 618;12 521;13 719;17 849;34,7;33,7;2,6;5,3;7,4;6,5;7,4;5,6;8,6;7,4;8,4;;;;;;;;
1309;Município;Paços de Ferreira;42 417;493 484;456 083;11 634;4 423;5 936;6 576;7 239;8 915;10 259;10 838;12 305;13 342;14 743;20 572;112;104;103;100;99;4 391;5 910;6 546;7 188;8 825;10 178;10 739;11 842;12 733;13 835;18 114;31,4;30,6;2,3;4,1;7,1;8,4;7,0;6,7;6,9;7,2;8,1;;;;;;;;
1311;Município;Penafiel;51 834;632 875;576 470;12 210;4 079;5 852;6 555;7 215;8 767;10 298;11 283;13 020;14 197;15 854;22 206;104;104;104;106;107;4 061;5 821;6 504;7 155;8 662;10 153;11 050;12 379;13 394;14 649;19 367;33,6;32,9;2,5;4,8;7,0;7,7;7,1;6,3;8,1;6,9;7,4;;;;;;;;
1813;Município;Resende;6 628;67 717;62 711;10 217;2 679;4 572;5 221;5 609;6 727;8 093;9 753;11 156;12 230;13 817;19 591;68;83;81;91;95;2 647;4 560;5 198;5 593;6 647;8 037;9 641;10 960;11 810;13 048;17 584;38,8;37,0;2,9;6,6;7,0;7,6;7,0;6,1;7,3;7,1;8,9;;;;;;;;
11D;NUTS 3;   Douro;130 966;1 690 562;1 521 377;12 908;3 718;5 671;6 364;7 066;8 680;10 342;11 696;13 816;15 388;17 650;25 469;100;100;100;100;100;3 682;5 638;6 304;6 995;8 576;10 154;11 328;13 020;14 263;16 005;21 775;36,3;35,3;2,8;5,9;6,6;7,9;6,9;5,7;6,1;6,2;5,9;;;;;;;;
1701;Município;Alijó;7 499;80 323;74 599;10 711;3 353;5 295;5 838;6 367;7 612;8 926;10 508;11 900;13 014;14 507;20 124;90;92;86;85;79;3 344;5 258;5 798;6 320;7 505;8 792;10 372;11 466;12 366;13 651;17 776;34,3;33,0;2,6;5,3;6,9;8,3;8,1;6,3;7,9;5,8;6,7;;;;;;;;
1801;Município;Armamar;3 791;41 763;38 539;11 016;3 355;5 320;5 831;6 447;7 818;9 213;10 640;11 682;12 869;14 339;20 179;90;92;89;84;79;3 355;5 294;5 787;6 385;7 744;9 047;10 459;11 330;12 180;13 491;17 807;35,0;34,2;2,5;5,3;6,1;5,4;6,3;3,6;6,8;5,9;6,0;;;;;;;;
0403;Município;Carrazeda de Ansiães;3 694;43 000;39 239;11 640;3 496;5 440;6 057;6 662;7 998;9 386;10 690;12 450;13 654;15 269;21 600;94;95;91;89;85;3 488;5 440;6 025;6 609;7 900;9 249;10 634;11 918;12 945;14 158;18 956;35,4;34,2;2,6;5,4;7,4;9,9;7,9;4,4;6,6;6,9;7,1;;;;;;;;
0404;Município;Freixo de Espada à Cinta;2 267;26 148;24 183;11 534;4 882;6 070;6 709;7 224;8 551;9 950;11 152;12 583;13 410;14 825;19 914;131;105;96;87;78;4 762;6 024;6 603;7 117;8 463;9 800;10 858;11 868;12 732;13 762;18 095;30,4;29,8;2,3;3,8;5,9;5,8;5,7;3,9;8,0;6,1;6,4;;;;;;;;
1805;Município;Lamego;17 667;234 898;209 940;13 296;3 759;5 627;6 291;6 960;8 740;10 470;11 835;14 133;15 924;18 471;27 245;101;99;101;103;107;3 726;5 606;6 220;6 901;8 630;10 314;11 449;13 288;14 678;16 561;22 978;37,3;36,1;3,0;6,2;6,7;7,8;6,7;4,6;5,0;6,6;6,0;;;;;;;;
1704;Município;Mesão Frio;2 578;28 503;26 233;11 056;3 573;5 320;5 793;6 404;7 528;9 234;10 640;12 104;13 034;14 423;19 577;96;91;89;85;77;3 557;5 318;5 768;6 373;7 493;9 085;10 557;11 669;12 484;13 528;17 639;33,9;33,4;2,5;5,0;8,8;9,7;10,2;6,7;6,1;7,5;8,9;;;;;;;;
1807;Município;Moimenta da Beira;6 530;77 267;70 375;11 833;3 421;5 536;6 153;6 856;8 413;9 830;11 010;12 739;13 869;15 498;22 131;92;97;95;90;87;3 398;5 453;6 094;6 776;8 244;9 665;10 780;12 124;13 087;14 393;19 445;35,1;34,2;2,6;5,7;6,2;8,1;7,6;5,7;3,5;4,8;4,6;;;;;;;;
1707;Município;Murça;3 726;40 953;37 705;10 991;3 116;5 188;5 721;6 277;7 488;8 989;10 647;12 194;13 477;15 047;20 585;84;90;87;88;81;3 116;5 176;5 664;6 210;7 461;8 839;10 527;11 697;12 656;13 971;18 182;35,7;34,7;2,7;5,8;7,5;8,1;7,4;5,4;5,8;7,6;8,2;;;;;;;;
1812;Município;Penedono;1 869;20 610;18 826;11 027;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;7,5;   9;   9;   7;//;//;//;;;;;;;;
1708;Município;Peso da Régua;10 332;130 047;117 702;12 587;4 022;5 813;6 528;7 160;8 676;10 237;11 641;13 768;15 264;17 321;24 034;108;103;99;99;94;3 976;5 794;6 465;7 108;8 586;10 035;11 278;13 032;14 151;15 677;20 739;34,9;33,7;2,7;5,2;6,2;8,0;7,1;5,9;7,2;5,3;6,3;;;;;;;;
1710;Município;Sabrosa;4 055;47 214;43 560;11 644;4 201;5 852;6 475;7 070;8 462;9 870;11 047;12 582;13 681;15 260;20 375;113;102;95;89;80;4 092;5 828;6 406;7 003;8 349;9 724;10 846;12 044;12 888;14 190;18 258;31,7;31,7;2,4;4,5;6,8;7,1;6,9;6,1;7,8;6,8;6,9;;;;;;;;
1711;Município;Santa Marta de Penaguião;4 754;48 393;45 084;10 179;2 865;4 873;5 440;5 979;7 078;8 422;9 961;11 568;12 590;13 959;18 629;77;85;81;82;73;2 826;4 856;5 424;5 952;6 989;8 299;9 681;11 220;12 019;13 111;16 825;36,4;34,9;2,7;6,0;6,5;6,1;8,2;5,2;7,9;4,8;8,2;;;;;;;;
1815;Município;São João da Pesqueira;4 631;51 067;46 839;11 027;3 301;5 293;5 795;6 383;7 792;9 096;10 640;12 141;13 150;14 374;20 392;89;91;88;85;80;3 288;5 253;5 765;6 313;7 690;8 926;10 484;11 631;12 496;13 477;17 997;35,1;33,7;2,6;5,5;7,3;9,3;9,8;6,8;7,4;4,9;7,1;;;;;;;;
1818;Município;Sernancelhe;3 453;37 853;34 978;10 962;3 526;5 375;5 881;6 576;8 227;9 607;10 663;11 950;12 869;14 280;19 638;95;92;93;84;77;3 497;5 321;5 845;6 513;8 051;9 449;10 564;11 540;12 235;13 437;17 508;31,6;32,3;2,5;5,0;6,8;7,1;7,0;5,3;4,9;6,6;7,1;;;;;;;;
1819;Município;Tabuaço;3 159;33 923;31 351;10 738;3 373;5 298;5 700;6 229;7 480;8 974;10 447;11 765;12 887;14 145;20 270;91;90;87;84;80;3 372;5 243;5 680;6 205;7 331;8 799;10 201;11 357;12 129;13 296;17 936;35,0;33,2;2,5;5,3;7,9;10,6;7,3;5,4;4,7;8,5;6,8;;;;;;;;
1820;Município;Tarouca;4 836;55 560;51 219;11 489;3 649;5 514;6 075;6 774;8 378;9 980;11 053;12 647;13 773;15 296;21 245;98;95;97;90;83;3 613;5 498;6 027;6 696;8 295;9 867;10 890;12 070;12 945;14 287;18 813;33,6;32,7;2,6;5,2;6,3;8,1;6,4;6,2;5,3;6,2;4,9;;;;;;;;
0409;Município;Torre de Moncorvo;4 810;56 630;51 672;11 773;3 622;5 521;6 208;6 881;8 431;9 901;11 121;12 854;14 114;15 838;22 240;97;98;96;92;87;3 620;5 510;6 134;6 815;8 330;9 774;10 832;12 214;13 191;14 479;19 396;34,6;33,3;2,6;5,4;7,6;9,9;8,0;4,5;5,1;7,2;6,4;;;;;;;;
0914;Município;Vila Nova de Foz Côa;4 438;52 511;47 459;11 832;3 154;5 320;6 008;6 711;8 118;9 611;11 156;13 131;14 425;16 021;23 138;85;94;93;94;91;3 116;5 285;5 937;6 603;7 916;9 468;10 865;12 327;13 358;14 637;19 792;36,1;35,0;2,8;6,4;6,8;10,5;8,8;5,8;5,6;4,9;5,3;;;;;;;;
1714;Município;Vila Real;36 877;583 897;511 874;15 834;4 412;6 576;7 555;8 546;10 488;12 033;14 176;17 568;20 062;23 013;32 187;119;119;116;130;126;4 373;6 547;7 485;8 441;10 326;11 590;13 352;15 962;17 917;20 058;26 499;36,5;35,7;3,1;6,1;6,5;6,5;5,6;5,8;6,1;7,4;5,2;;;;;;;;
11E;NUTS 3;   Terras de Trás-os-Montes;76 946;1 028 539;920 780;13 367;3 811;5 803;6 549;7 305;9 016;10 640;12 174;14 458;16 153;18 627;26 312;100;100;100;100;100;3 773;5 776;6 485;7 207;8 872;10 518;11 662;13 509;14 853;16 676;22 370;36,4;35,3;2,9;5,9;6,5;6,9;6,1;4,6;7,1;7,0;5,7;;;;;;;;
0401;Município;Alfândega da Fé;3 059;35 521;32 348;11 612;3 486;5 392;6 059;6 554;7 721;9 121;10 640;12 324;13 656;15 861;23 101;91;93;86;85;88;3 461;5 369;6 003;6 529;7 617;8 965;10 477;11 780;12 959;14 723;20 134;35,5;34,8;2,7;5,8;6,0;6,2;5,2;6,0;9,7;6,8;5,6;;;;;;;;
0402;Município;Bragança;25 452;396 619;348 435;15 583;4 560;6 776;7 826;8 805;10 640;12 172;14 160;17 258;19 618;22 144;30 941;120;120;114;121;118;4 507;6 674;7 715;8 694;10 513;11 670;13 307;15 675;17 441;19 344;25 433;35,5;34,5;2,9;5,6;5,4;5,7;4,3;4,3;6,9;6,6;5,7;;;;;;;;
0405;Município;Macedo de Cavaleiros;9 917;120 665;109 002;12 167;3 288;5 284;5 784;6 383;7 925;9 528;11 073;13 023;14 443;16 611;24 129;86;88;90;89;92;3 283;5 252;5 753;6 298;7 759;9 403;10 815;12 300;13 448;15 200;20 847;38,3;36,8;2,9;6,3;7,9;6,5;7,7;6,1;8,9;8,1;6,9;;;;;;;;
0406;Município;Miranda do Douro;4 842;62 028;56 034;12 810;4 195;6 089;6 806;7 567;9 293;10 746;12 151;13 909;15 400;17 392;24 203;110;104;101;95;92;4 154;6 036;6 696;7 429;9 107;10 569;11 510;13 020;14 185;15 778;20 796;33,2;32,6;2,6;5,0;6,8;8,3;6,4;5,2;4,8;7,1;5,1;;;;;;;;
0407;Município;Mirandela;15 147;200 607;180 401;13 244;3 926;5 801;6 495;7 244;9 004;10 640;12 129;14 372;16 124;18 498;25 777;103;99;100;100;98;3 897;5 781;6 444;7 176;8 839;10 479;11 667;13 427;14 822;16 612;22 070;36,1;35,0;2,9;5,7;6,2;6,4;6,0;4,8;6,9;6,3;5,8;;;;;;;;
0408;Município;Mogadouro;5 987;73 532;66 132;12 282;3 555;5 559;6 185;6 848;8 287;9 924;11 230;13 113;14 518;16 469;23 226;93;94;93;90;88;3 460;5 498;6 127;6 766;8 181;9 743;10 852;12 306;13 505;15 056;20 068;36,0;34,8;2,7;5,8;6,6;7,4;6,9;6,6;8,8;6,3;5,6;;;;;;;;
0410;Município;Vila Flor;4 179;47 291;43 278;11 316;3 264;5 242;5 804;6 440;7 675;9 109;10 650;12 217;13 332;15 115;20 633;86;89;86;83;78;3 239;5 227;5 766;6 347;7 583;8 962;10 547;11 703;12 703;14 076;18 415;36,0;35,3;2,7;5,7;6,8;8,1;6,9;3,4;5,0;6,7;8,4;;;;;;;;
0411;Município;Vimioso;2 899;33 017;30 217;11 389;3 288;5 393;6 094;6 790;8 205;9 705;11 005;12 637;13 715;15 125;20 874;86;93;91;85;79;3 288;5 360;6 089;6 716;8 096;9 449;10 758;11 957;12 911;13 899;18 216;34,4;33,6;2,6;5,5;7,0;9,3;8,8;5,9;6,2;5,3;6,0;;;;;;;;
0412;Município;Vinhais;5 464;59 259;54 933;10 845;3 440;5 272;5 750;6 347;7 488;8 906;10 640;12 011;13 234;14 620;20 535;90;88;84;82;78;3 373;5 256;5 665;6 306;7 442;8 783;10 425;11 524;12 448;13 666;18 182;33,9;33,4;2,6;5,4;6,3;8,0;7,1;4,5;3,5;5,5;7,1;;;;;;;;
19;NUTS 2;  Centro;1 259 695;18 804 695;16 640 115;14 928;5 056;6 968;7 852;8 736;10 388;11 722;13 508;15 977;17 752;19 982;28 052;;;;;;5 018;6 894;7 764;8 618;10 212;11 358;12 769;14 712;16 072;17 765;23 531;33,6;33,1;2,6;4,7;6,6;6,4;5,5;5,3;5,7;7,6;5,7;;;;;;;;
191;NUTS 3;   Região de Aveiro;286 801;4 384 113;3 862 297;15 286;5 047;7 061;7 974;8 895;10 614;12 015;13 867;16 308;18 047;20 249;28 419;100;100;100;100;100;5 014;6 985;7 880;8 767;10 448;11 593;13 082;14 991;16 312;18 003;23 791;33,4;33,3;2,6;4,7;6,1;5,4;4,7;5,2;5,6;7,5;5,8;;;;;;;;
0101;Município;Águeda;37 063;541 034;479 709;14 598;5 295;7 038;7 866;8 727;10 306;11 522;12 965;14 979;16 387;18 264;24 851;105;99;96;91;87;5 258;6 977;7 781;8 619;10 158;11 225;12 350;14 036;15 117;16 512;21 437;31,7;32,4;2,4;4,1;6,3;5,8;5,3;5,5;5,0;7,4;5,4;;;;;;;;
0102;Município;Albergaria-a-Velha;19 353;270 182;243 986;13 961;5 106;7 029;7 914;8 785;10 423;11 780;13 431;15 476;16 932;18 662;24 505;101;99;98;94;86;5 075;6 960;7 811;8 615;10 223;11 406;12 731;14 381;15 524;16 825;21 139;30,5;30,3;2,4;4,2;6,5;4,8;5,3;4,9;5,6;7,7;6,5;;;;;;;;
0103;Município;Anadia;21 540;305 261;271 108;14 172;4 875;6 658;7 406;8 164;9 816;11 167;12 701;14 732;16 203;18 144;24 883;97;93;93;90;88;4 832;6 595;7 341;8 061;9 662;10 950;12 134;13 814;14 906;16 347;21 504;33,7;33,4;2,5;4,5;7,3;6,7;7,3;4,7;5,3;7,3;5,3;;;;;;;;
0105;Município;Aveiro;63 841;1 151 743;983 482;18 041;5 404;7 890;8 993;9 999;11 655;13 657;16 033;19 497;21 898;25 139;35 585;107;113;114;121;125;5 345;7 777;8 851;9 808;11 287;12 851;14 750;17 347;19 113;21 456;28 410;34,7;34,6;2,8;5,3;5,1;4,1;3,9;3,7;6,2;6,3;5,2;;;;;;;;
0108;Município;Estarreja;20 295;285 810;256 218;14 083;4 784;6 751;7 637;8 499;10 310;11 747;13 503;15 726;17 134;19 113;25 398;95;96;98;95;89;4 749;6 656;7 524;8 360;10 110;11 357;12 769;14 527;15 676;17 068;21 714;31,9;31,7;2,6;4,6;5,9;5,9;4,8;4,6;4,3;7,0;6,7;;;;;;;;
0110;Município;Ílhavo;30 793;497 229;433 803;16 147;5 022;7 357;8 319;9 240;10 893;12 579;14 662;17 508;19 421;21 910;30 483;100;104;105;108;107;5 001;7 248;8 216;9 120;10 732;12 006;13 685;15 907;17 336;19 228;25 170;34,0;33,7;2,7;5,0;5,8;5,0;4,6;6,4;6,1;7,0;5,8;;;;;;;;
0112;Município;Murtosa;7 160;94 301;84 531;13 171;3 183;5 509;6 417;7 276;9 125;10 854;12 617;14 795;16 258;18 293;25 222;63;80;90;90;89;3 135;5 467;6 333;7 190;8 997;10 728;12 071;13 816;14 917;16 635;21 706;35,1;35,5;3,0;6,9;6,7;6,0;6,5;7,2;5,3;7,0;5,2;;;;;;;;
0114;Município;Oliveira do Bairro;17 814;246 939;223 872;13 862;5 023;6 968;7 823;8 740;10 490;11 775;13 414;15 420;16 763;18 586;25 002;100;98;98;93;88;5 012;6 913;7 752;8 621;10 327;11 452;12 758;14 369;15 360;16 738;21 519;30,7;30,4;2,4;4,3;6,9;5,2;5,4;6,2;5,4;8,4;5,5;;;;;;;;
0115;Município;Ovar;42 849;644 600;572 001;15 044;5 207;7 122;8 032;8 871;10 505;11 875;13 721;16 110;17 764;19 950;28 060;103;101;99;98;99;5 165;7 054;7 947;8 756;10 349;11 506;12 948;14 850;16 132;17 783;23 585;33,1;32,7;2,5;4,6;6,5;6,4;5,6;5,4;5,7;7,4;6,0;;;;;;;;
0117;Município;Sever do Vouga;8 616;113 408;103 159;13 162;4 971;6 545;7 266;7 992;9 642;10 988;12 616;14 625;16 012;17 759;23 659;98;91;91;89;83;4 942;6 483;7 208;7 926;9 486;10 836;12 109;13 746;14 747;16 186;20 591;30,6;30,6;2,5;4,2;7,2;6,8;6,1;4,9;5,8;8,3;5,9;;;;;;;;
0118;Município;Vagos;17 477;233 607;210 427;13 367;4 380;6 297;7 173;8 040;9 754;11 198;12 664;14 593;15 801;17 534;23 592;87;90;93;88;83;4 326;6 208;7 057;7 942;9 563;10 943;12 111;13 675;14 611;15 885;20 492;33,1;32,4;2,6;4,7;7,8;7,6;6,7;4,8;7,5;8,9;7,3;;;;;;;;
192;NUTS 3;   Região de Coimbra;333 541;5 343 764;4 662 702;16 021;5 277;7 245;8 185;9 080;10 653;12 166;14 138;17 026;19 073;21 691;31 061;100;100;100;100;100;5 244;7 173;8 094;8 944;10 557;11 691;13 276;15 512;17 060;19 005;25 491;34,6;34,0;2,6;4,9;6,3;6,9;5,1;5,4;5,8;7,4;5,8;;;;;;;;
0601;Município;Arganil;8 061;96 911;89 502;12 022;4 715;6 394;7 094;7 813;9 137;10 456;11 413;12 867;14 026;15 531;20 749;89;87;86;74;67;4 669;6 368;7 062;7 746;9 055;10 343;11 165;12 321;13 279;14 494;18 537;30,8;29,9;2,3;4,0;6,7;7,8;6,1;6,1;6,8;7,3;6,4;;;;;;;;
0602;Município;Cantanhede;25 830;350 412;314 594;13 566;4 424;6 359;7 118;7 909;9 618;11 154;12 842;15 099;16 664;18 797;25 358;84;87;92;87;82;4 373;6 295;7 038;7 815;9 439;10 889;12 190;13 998;15 215;16 802;21 688;33,3;32,7;2,7;5,0;7,5;7,5;7,7;5,5;6,4;7,4;6,4;;;;;;;;
0603;Município;Coimbra;109 013;2 178 048;1 822 280;19 980;5 820;8 262;9 294;10 291;11 961;14 114;17 143;21 664;24 769;28 679;41 077;110;114;116;130;132;5 769;8 166;9 155;10 116;11 537;13 241;15 574;18 953;21 209;23 846;31 909;36,4;36,1;2,9;5,5;4,8;5,0;4,2;3,2;4,7;5,4;5,4;;;;;;;;
0604;Município;Condeixa-a-Nova;12 655;208 248;183 354;16 456;5 818;8 015;8 999;9 885;11 503;13 350;15 611;18 820;20 699;23 203;30 811;110;110;110;109;99;5 809;7 929;8 870;9 759;11 194;12 635;14 404;16 820;18 270;20 138;25 416;31,5;30,9;2,5;4,4;6,8;7,6;5,4;5,2;5,7;8,3;6,7;;;;;;;;
0605;Município;Figueira da Foz;46 525;752 285;658 293;16 169;5 251;7 417;8 422;9 301;10 936;12 647;14 708;17 817;19 830;22 491;31 187;100;103;104;104;100;5 229;7 326;8 298;9 146;10 726;12 022;13 701;16 075;17 632;19 629;25 613;33,6;33,4;2,7;4,9;5,7;5,5;4,3;5,2;5,9;7,1;5,6;;;;;;;;
0606;Município;Góis;2 835;34 100;31 519;12 028;5 003;6 576;7 297;7 971;9 300;10 593;11 636;13 083;14 163;15 585;20 357;95;89;87;74;66;4 919;6 548;7 199;7 872;9 172;10 437;11 263;12 446;13 373;14 426;18 199;29,4;28,6;2,2;3,7;7,0;7,2;6,7;4,8;7,4;7,2;7,1;;;;;;;;
0607;Município;Lousã;12 736;181 405;162 915;14 243;5 176;7 172;8 085;9 019;10 577;11 897;13 528;15 626;17 282;19 068;25 499;98;99;98;91;82;5 149;7 074;7 989;8 823;10 381;11 483;12 779;14 485;15 669;17 115;21 850;31,1;30,7;2,4;4,2;6,4;7,0;5,6;4,7;3,7;7,2;5,5;;;;;;;;
0111;Município;Mealhada;14 952;219 972;197 179;14 712;5 311;7 259;8 202;9 066;10 640;12 109;13 924;16 347;17 943;19 847;26 958;101;100;100;94;87;5 291;7 187;8 107;8 934;10 537;11 661;13 156;14 986;16 256;17 752;22 973;31,5;31,0;2,5;4,3;6,5;9,5;5,6;5,7;4,5;7,3;5,4;;;;;;;;
0608;Município;Mira;8 991;124 477;110 980;13 845;4 457;6 361;7 087;7 972;9 758;11 133;12 815;15 083;16 723;18 887;25 982;84;87;92;88;84;4 429;6 262;6 992;7 850;9 576;10 914;12 187;13 994;15 232;16 843;22 073;34,7;33,2;2,7;5,0;7,8;6,8;6,7;5,2;8,6;8,9;7,0;;;;;;;;
0609;Município;Miranda do Corvo;8 882;116 696;106 361;13 138;5 227;6 973;7 693;8 574;10 024;11 220;12 708;14 650;15 870;17 699;22 598;99;94;92;83;73;5 181;6 879;7 604;8 453;9 876;10 974;12 120;13 642;14 684;16 057;19 752;30,3;29,1;2,3;3,8;7,6;7,2;7,9;5,8;6,9;7,4;6,6;;;;;;;;
0610;Município;Montemor-o-Velho;18 556;269 479;242 079;14 522;5 522;7 466;8 325;9 120;10 640;12 054;13 816;16 228;17 907;19 855;26 112;105;102;99;94;84;5 492;7 380;8 209;8 996;10 469;11 570;12 995;14 972;16 225;17 705;22 220;29,7;29,6;2,4;4,0;6,7;7,7;5,5;6,1;6,4;8,0;8,4;;;;;;;;
1808;Município;Mortágua;6 823;88 293;80 281;12 940;4 750;6 490;7 196;8 031;9 544;10 816;12 115;13 761;15 054;16 743;23 082;90;88;89;79;74;4 717;6 390;7 109;7 962;9 348;10 640;11 647;12 996;14 013;15 296;20 038;31,7;31,3;2,4;4,2;6,5;8,7;6,0;4,5;5,7;7,0;6,9;;;;;;;;
0611;Município;Oliveira do Hospital;14 185;171 139;158 224;12 065;4 952;6 435;7 119;7 867;9 267;10 640;11 569;13 094;14 187;15 664;20 988;94;87;87;74;68;4 932;6 375;7 066;7 809;9 168;10 547;11 280;12 476;13 389;14 504;18 495;29,9;28,9;2,3;3,7;7,1;7,1;6,3;5,8;7,2;7,9;6,4;;;;;;;;
0612;Município;Pampilhosa da Serra;2 532;30 247;28 159;11 946;5 117;6 681;7 405;8 088;9 502;10 640;11 668;13 164;13 985;15 159;20 340;97;90;87;73;65;5 111;6 605;7 321;8 001;9 331;10 568;11 349;12 475;13 244;14 261;18 019;27,5;27,1;2,2;3,5;7,1;6,1;6,6;7,0;5,7;7,6;6,9;;;;;;;;
0613;Município;Penacova;10 088;121 216;111 912;12 016;4 641;6 265;6 949;7 669;9 091;10 640;11 890;13 638;14 684;16 053;20 920;88;85;87;77;67;4 611;6 219;6 902;7 585;8 972;10 465;11 524;12 843;13 781;14 747;18 431;29,8;29,3;2,4;4,0;7,3;7,8;6,8;6,1;6,3;7,7;7,0;;;;;;;;
0614;Município;Penela;4 017;51 351;46 676;12 784;4 716;6 475;7 219;7 979;9 338;10 686;11 999;13 851;15 041;16 808;22 657;89;88;88;79;73;4 638;6 462;7 163;7 821;9 222;10 580;11 485;13 072;14 042;15 315;19 666;31,4;30,9;2,4;4,2;6,6;6,0;5,6;6,3;7,9;7,6;5,3;;;;;;;;
0615;Município;Soure;13 276;185 348;167 687;13 961;5 647;7 487;8 335;9 093;10 622;11 927;13 560;15 695;17 164;18 976;24 461;107;102;98;90;79;5 629;7 361;8 240;8 943;10 375;11 519;12 718;14 469;15 544;16 992;20 961;28,7;28,3;2,3;3,7;6,7;7,2;5,9;5,9;6,6;7,5;5,9;;;;;;;;
0616;Município;Tábua;8 222;97 109;89 210;11 811;4 483;6 094;6 749;7 432;8 927;10 348;11 290;12 615;13 693;14 991;20 438;85;82;85;72;66;4 433;6 047;6 690;7 369;8 839;10 251;11 051;12 091;12 855;14 048;18 030;31,4;30,4;2,3;4,1;7,0;7,0;6,8;6,9;5,1;7,3;5,2;;;;;;;;
0617;Município;Vila Nova de Poiares;5 362;67 028;61 497;12 501;4 915;6 625;7 322;8 051;9 693;10 896;12 161;13 975;15 063;16 396;21 876;93;89;90;79;70;4 908;6 593;7 270;7 929;9 515;10 760;11 696;13 178;14 036;15 112;19 082;30,5;29,3;2,3;3,9;6,9;9,8;6,9;4,9;4,3;6,9;6,2;;;;;;;;
193;NUTS 3;   Região de Leiria;224 438;3 348 625;2 973 658;14 920;5 281;7 313;8 233;9 080;10 640;12 043;13 875;16 293;17 984;20 009;27 049;100;100;100;100;100;5 227;7 224;8 132;8 941;10 479;11 587;13 074;14 962;16 259;17 775;22 802;31,8;31,6;2,5;4,4;5,7;5,9;4,7;5,4;5,3;6,7;5,4;;;;;;;;
