Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Agregados Fiscais;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por agregado fiscal;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;20;25;30;40;50;60;70;75;80;90;;P80/P20;P90/P10;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;€;€;€;€;€;€;€;€;€;€;€;%;Nº;Nº;;;;;;;;
PT;PT;Portugal;5 382 174;106 920 587;93 094 412;19 866;4 962;7 887;8 887;9 375;10 936;13 096;16 223;20 783;23 727;27 483;40 669;4 950;7 828;8 827;9 339;10 525;12 449;15 208;19 166;21 683;24 573;34 303;41,1;3,1;6,9;;;;;;;;
1;NUTS 1; Continente;5 142 532;102 341 452;88 945 842;19 901;4 962;7 898;8 897;9 371;10 955;13 122;16 249;20 808;23 756;27 517;40 697;4 962;7 843;8 839;9 335;10 531;12 461;15 214;19 159;21 672;24 568;34 258;41,1;3,1;6,9;;;;;;;;
11;NUTS 2;  Norte;1 832 824;33 708 503;29 767 044;18 392;4 891;7 657;8 669;9 310;10 445;12 331;15 035;19 046;21 746;25 102;37 027;4 847;7 602;8 626;9 294;10 079;11 798;14 265;17 958;20 205;22 893;31 691;40,2;3,0;6,5;;;;;;;;
111;NUTS 3;   Alto Minho;119 403;2 000 644;1 802 086;16 755;4 562;7 120;8 233;9 089;10 164;11 801;14 131;17 874;20 289;23 195;33 447;4 510;7 068;8 174;9 047;9 819;11 325;13 466;16 801;18 993;21 537;29 289;39,0;3,0;6,5;;;;;;;;
1601;Município;Arcos de Valdevez;10 587;150 901;138 053;14 253;3 522;5 782;6 756;7 800;9 266;10 304;12 054;14 877;17 017;19 674;28 114;3 468;5 756;6 703;7 763;9 237;9 944;11 520;14 143;16 029;18 485;25 483;39,5;3,2;7,3;;;;;;;;
1602;Município;Caminha;8 487;150 187;132 411;17 696;4 158;6 792;7 980;8 992;10 220;11 996;14 566;18 504;21 069;24 379;35 637;4 111;6 732;7 934;8 920;9 891;11 510;13 744;17 243;19 530;22 229;30 452;41,0;3,3;7,4;;;;;;;;
1603;Município;Melgaço;3 867;56 516;51 285;14 615;3 947;6 405;7 642;8 588;9 587;10 929;12 905;15 602;17 539;20 216;28 718;3 874;6 347;7 551;8 487;9 415;10 431;12 193;14 686;16 463;18 647;25 531;37,2;2,9;6,6;;;;;;;;
1604;Município;Monção;8 773;136 941;124 471;15 609;4 344;7 038;8 088;9 016;9 890;11 469;13 440;16 632;18 776;21 345;30 583;4 257;6 992;8 031;8 970;9 565;10 981;12 760;15 678;17 679;19 817;27 296;37,6;2,8;6,4;;;;;;;;
1605;Município;Paredes de Coura;4 387;64 622;59 619;14 730;4 418;6 576;7 631;8 564;9 723;11 032;12 958;15 929;18 288;20 702;27 839;4 313;6 548;7 579;8 522;9 426;10 682;12 403;15 201;17 197;19 751;25 579;36,9;3,0;5,9;;;;;;;;
1606;Município;Ponte da Barca;5 831;80 835;74 806;13 863;3 722;6 028;6 969;7 816;9 246;10 074;11 685;14 233;16 506;19 015;27 401;3 682;5 976;6 893;7 773;9 216;9 772;11 223;13 584;15 496;18 126;24 837;38,6;3,0;6,7;;;;;;;;
1607;Município;Ponte de Lima;20 481;320 140;292 938;15 631;4 808;7 215;8 223;9 003;9 869;11 180;13 207;16 478;18 702;21 173;29 516;4 772;7 171;8 176;8 977;9 599;10 799;12 677;15 644;17 878;20 068;26 747;37,4;2,8;5,6;;;;;;;;
1608;Município;Valença;7 346;110 590;101 751;15 054;4 123;6 821;7 980;8 911;9 928;11 403;13 365;16 507;18 728;21 343;28 891;4 065;6 768;7 959;8 853;9 574;10 929;12 852;15 631;17 613;20 029;26 210;36,9;3,0;6,4;;;;;;;;
1609;Município;Viana do Castelo;44 806;850 963;754 913;18 992;5 031;7 980;9 002;9 530;11 152;13 219;16 149;20 579;23 331;26 756;38 524;4 970;7 918;8 950;9 415;10 716;12 563;15 186;19 164;21 577;24 229;33 032;39,2;3,1;6,6;;;;;;;;
1610;Município;Vila Nova de Cerveira;4 838;78 949;71 837;16 319;4 326;7 332;8 434;9 194;10 325;11 988;14 322;17 600;19 899;22 849;31 285;4 307;7 288;8 363;9 157;9 961;11 458;13 671;16 561;18 644;21 353;28 207;37,8;2,9;6,5;;;;;;;;
112;NUTS 3;   Cávado;207 717;3 864 580;3 429 233;18 605;5 120;7 980;8 966;9 350;10 649;12 619;15 456;19 594;22 235;25 542;37 347;5 076;7 956;8 914;9 320;10 263;12 072;14 637;18 542;20 730;23 344;31 971;39,5;2,9;6,3;;;;;;;;
0301;Município;Amares;9 119;148 182;135 202;16 250;4 901;7 673;8 653;9 310;10 185;11 757;14 055;17 790;19 751;22 445;31 210;4 875;7 624;8 603;9 309;9 873;11 323;13 499;16 820;18 762;21 032;28 069;36,9;2,8;5,8;;;;;;;;
0302;Município;Barcelos;58 411;948 845;865 084;16 244;5 420;7 959;8 875;9 310;10 170;11 695;13 980;17 514;19 472;22 007;30 343;5 388;7 914;8 831;9 310;9 815;11 200;13 357;16 622;18 620;20 716;27 359;36,1;2,6;5,1;;;;;;;;
0303;Município;Braga;96 719;2 051 934;1 783 134;21 215;5 288;8 370;9 280;9 791;11 602;14 084;17 656;22 713;25 946;29 862;44 440;5 266;8 305;9 245;9 450;11 116;13 387;16 590;21 028;23 501;26 471;36 905;41,0;3,2;7,0;;;;;;;;
0306;Município;Esposende;17 978;330 007;291 123;18 356;4 919;7 691;8 747;9 310;10 392;12 311;14 954;18 934;21 424;24 744;36 463;4 879;7 623;8 693;9 310;9 993;11 733;14 135;17 984;19 957;22 788;31 351;40,1;3,0;6,4;;;;;;;;
0310;Município;Terras de Bouro;3 189;45 626;42 035;14 307;4 056;6 516;7 649;8 475;9 461;10 684;12 683;15 271;17 290;19 734;27 659;4 039;6 513;7 596;8 430;9 415;10 353;12 252;14 546;16 290;18 740;25 062;37,1;2,9;6,2;;;;;;;;
0313;Município;Vila Verde;22 301;339 987;312 655;15 245;4 464;7 185;8 218;8 996;9 750;11 118;13 199;16 509;18 649;21 070;29 396;4 413;7 130;8 133;8 942;9 422;10 747;12 634;15 612;17 831;19 775;26 648;37,0;2,8;6,0;;;;;;;;
119;NUTS 3;   Ave;217 817;3 687 611;3 339 116;16 930;5 283;8 002;8 929;9 310;10 382;12 073;14 398;17 903;20 058;22 843;32 294;5 249;7 980;8 893;9 310;10 003;11 585;13 794;17 010;18 970;21 450;28 696;37,3;2,7;5,5;;;;;;;;
0304;Município;Cabeceiras de Basto;7 149;102 901;95 196;14 394;4 056;6 629;7 644;8 401;9 313;10 428;12 249;15 355;17 512;19 664;28 000;4 023;6 583;7 600;8 352;9 310;10 131;11 882;14 652;16 641;18 730;25 542;37,5;2,8;6,3;;;;;;;;
0307;Município;Fafe;25 334;387 227;354 837;15 285;4 352;7 031;8 065;8 913;9 582;10 938;12 862;16 023;18 200;20 504;29 592;4 291;7 004;8 013;8 875;9 419;10 558;12 409;15 335;17 372;19 407;26 667;38,0;2,8;6,2;;;;;;;;
0308;Município;Guimarães;82 968;1 451 405;1 305 506;17 494;5 719;8 337;9 128;9 392;10 598;12 366;14 696;18 175;20 331;23 115;32 894;5 683;8 288;9 095;9 371;10 192;11 837;14 080;17 293;19 272;21 720;29 067;37,3;2,6;5,1;;;;;;;;
1705;Município;Mondim de Basto;3 111;41 974;38 855;13 492;3 859;6 041;7 087;7 980;9 229;9 904;11 411;14 219;16 596;18 750;26 201;3 852;6 028;7 078;7 962;9 195;9 622;11 011;13 645;15 635;17 841;23 919;37,0;3,0;6,2;;;;;;;;
0309;Município;Póvoa de Lanhoso;10 157;152 289;140 414;14 993;4 200;7 221;8 247;9 003;9 700;11 046;13 052;16 167;18 251;20 289;27 855;4 158;7 157;8 203;8 990;9 415;10 632;12 518;15 213;17 307;19 141;25 457;37,0;2,7;6,1;;;;;;;;
0311;Município;Vieira do Minho;5 620;80 528;74 275;14 329;4 158;6 404;7 397;8 280;9 310;10 536;12 350;15 189;17 335;20 021;27 867;4 111;6 404;7 357;8 247;9 310;10 233;11 875;14 544;16 399;18 749;25 218;37,5;2,9;6,1;;;;;;;;
0312;Município;Vila Nova de Famalicão;70 510;1 265 123;1 140 441;17 942;5 729;8 425;9 218;9 552;10 978;12 873;15 428;19 218;21 773;24 668;34 874;5 687;8 372;9 187;9 416;10 528;12 303;14 725;18 263;20 445;22 868;30 585;37,1;2,7;5,4;;;;;;;;
0314;Município;Vizela;12 968;206 165;189 592;15 898;5 748;8 400;9 140;9 310;10 257;11 726;13 885;17 073;18 952;21 349;29 010;5 719;8 352;9 106;9 310;9 884;11 248;13 298;16 238;18 395;20 344;26 500;34,7;2,4;4,6;;;;;;;;
11A;NUTS 3;   A. M. Porto;907 918;18 258 429;15 829 462;20 110;5 043;7 980;8 976;9 412;11 010;13 161;16 200;20 765;23 775;27 551;41 132;4 993;7 938;8 920;9 375;10 588;12 519;15 223;19 169;21 725;24 622;34 509;41,3;3,1;6,9;;;;;;;;
0104;Município;Arouca;10 401;162 013;148 355;15 577;5 068;7 532;8 443;9 081;9 947;11 420;13 494;16 586;18 650;21 141;29 525;5 004;7 510;8 389;9 044;9 646;11 024;12 943;15 706;17 826;20 042;26 804;35,9;2,7;5,4;;;;;;;;
0107;Município;Espinho;16 282;319 054;277 757;19 596;5 295;8 061;9 003;9 457;10 914;12 943;15 728;20 061;23 100;26 925;40 851;5 266;7 999;8 940;9 409;10 465;12 342;14 795;18 582;21 152;24 099;34 138;40,2;3,0;6,5;;;;;;;;
1304;Município;Gondomar;84 735;1 529 097;1 366 920;18 046;4 988;7 939;8 930;9 356;10 812;12 751;15 505;19 517;22 186;25 389;36 206;4 962;7 894;8 885;9 329;10 437;12 188;14 644;18 287;20 565;23 115;31 435;38,5;2,9;6,3;;;;;;;;
1306;Município;Maia;68 762;1 553 780;1 337 927;22 596;5 608;8 643;9 317;10 106;12 250;15 114;19 139;24 795;28 089;32 555;47 924;5 555;8 580;9 310;9 751;11 694;14 213;17 764;22 464;25 105;28 467;39 561;41,1;3,3;7,1;;;;;;;;
1308;Município;Matosinhos;90 805;2 026 118;1 728 511;22 313;5 390;8 419;9 301;9 908;11 962;14 570;18 145;23 387;26 777;31 049;47 047;5 330;8 354;9 266;9 576;11 409;13 743;16 852;21 242;23 845;27 121;38 332;41,8;3,2;7,2;;;;;;;;
0113;Município;Oliveira de Azeméis;35 518;630 759;567 971;17 759;5 753;8 345;9 190;9 566;10 997;12 726;15 169;18 906;21 596;24 424;33 741;5 716;8 288;9 151;9 415;10 565;12 150;14 394;17 860;20 185;22 655;29 905;36,8;2,7;5,2;;;;;;;;
1310;Município;Paredes;42 651;631 082;578 996;14 796;3 779;6 651;7 805;8 689;9 410;10 662;12 598;15 798;17 938;20 187;28 763;3 747;6 598;7 759;8 645;9 384;10 323;12 080;14 994;17 184;19 064;26 146;38,5;2,9;7,0;;;;;;;;
1312;Município;Porto;128 542;3 310 775;2 661 387;25 756;4 453;7 537;8 702;9 347;11 339;14 200;18 537;25 337;29 909;35 909;57 036;4 377;7 430;8 615;9 310;10 818;13 291;16 863;22 073;25 319;29 461;44 410;47,6;4,0;10,1;;;;;;;;
1313;Município;Póvoa de Varzim;33 213;596 552;530 030;17 961;4 506;7 224;8 352;9 156;10 176;12 132;14 889;18 864;21 586;24 965;36 649;4 467;7 162;8 266;9 103;9 838;11 605;14 123;17 835;20 032;22 844;31 576;40,5;3,2;7,1;;;;;;;;
0109;Município;Santa Maria da Feira;70 825;1 250 052;1 121 548;17 650;5 257;7 959;8 867;9 332;10 640;12 437;14 851;18 485;21 117;24 142;34 165;5 209;7 916;8 822;9 310;10 262;11 894;14 126;17 467;19 721;22 400;29 920;38,1;2,8;5,7;;;;;;;;
1314;Município;Santo Tirso;36 486;629 684;567 775;17 258;5 802;8 357;9 138;9 400;10 638;12 306;14 478;17 692;20 035;22 951;32 790;5 782;8 318;9 111;9 380;10 239;11 782;13 880;16 787;18 831;21 396;28 973;36,7;2,6;5,0;;;;;;;;
0116;Município;São João da Madeira;12 286;225 202;199 351;18 330;5 056;7 759;8 675;9 310;10 611;12 318;14 787;18 692;21 575;25 074;37 201;4 996;7 712;8 637;9 310;10 199;11 799;14 016;17 519;20 239;22 944;31 851;39,8;3,0;6,4;;;;;;;;
1318;Município;Trofa;20 436;359 104;323 333;17 572;5 555;8 283;9 155;9 498;10 844;12 811;15 327;18 890;21 246;24 202;33 456;5 517;8 229;9 120;9 415;10 426;12 182;14 510;17 785;19 905;22 421;29 684;36,8;2,7;5,4;;;;;;;;
0119;Município;Vale de Cambra;11 260;205 130;184 526;18 218;5 715;8 276;9 158;9 646;11 180;13 110;15 623;19 507;22 233;25 263;35 083;5 686;8 237;9 113;9 422;10 786;12 471;14 789;18 252;20 676;23 437;30 919;37,0;2,8;5,4;;;;;;;;
1315;Município;Valongo;48 681;896 399;802 179;18 414;4 996;8 063;9 036;9 470;11 080;13 160;16 113;20 350;23 084;26 302;37 043;4 962;8 007;9 000;9 415;10 658;12 534;15 172;18 899;21 295;23 856;32 093;38,5;3,0;6,5;;;;;;;;
1316;Município;Vila do Conde;41 636;800 874;706 055;19 235;5 295;7 980;8 950;9 354;10 834;13 006;15 984;20 168;23 060;26 570;38 925;5 246;7 948;8 884;9 319;10 456;12 421;15 073;18 800;21 321;24 073;33 166;39,8;3,0;6,3;;;;;;;;
1317;Município;Vila Nova de Gaia;155 399;3 132 755;2 726 840;20 159;5 087;8 087;9 065;9 533;11 227;13 424;16 520;21 113;24 090;27 837;41 380;5 043;8 026;9 018;9 416;10 797;12 763;15 481;19 501;21 981;24 889;34 697;40,9;3,1;6,9;;;;;;;;
11B;NUTS 3;Alto Tâmega e Barroso;39 993;608 480;551 695;15 215;3 831;6 175;7 115;8 063;9 310;10 590;12 639;16 097;18 507;21 274;31 048;3 756;6 121;7 045;7 999;9 310;10 252;12 134;15 155;17 383;19 660;27 249;39,8;3,2;7,3;;;;;;;;
1702;Município;Boticas;2 335;31 585;29 284;13 527;3 642;5 817;6 681;7 762;9 179;9 830;11 373;13 922;15 816;18 480;26 154;3 565;5 781;6 639;7 676;9 135;9 577;10 809;13 513;15 324;17 829;23 660;38,4;3,1;6,6;;;;;;;;
1703;Município;Chaves;18 126;308 837;275 821;17 038;4 105;6 552;7 692;8 719;9 741;11 522;14 152;18 436;21 131;24 316;35 824;4 007;6 485;7 615;8 670;9 505;11 059;13 468;17 282;19 477;22 103;30 702;40,7;3,4;7,7;;;;;;;;
1706;Município;Montalegre;4 454;60 976;55 637;13 690;3 591;5 770;6 484;7 280;9 069;9 932;11 664;14 363;16 773;19 476;27 480;3 462;5 680;6 419;7 166;8 982;9 668;11 162;13 679;15 523;18 048;24 495;38,8;3,2;7,1;;;;;;;;
1709;Município;Ribeira de Pena;2 777;38 341;35 346;13 806;3 920;6 172;7 135;8 025;9 310;10 290;12 001;14 732;16 462;18 691;26 571;3 810;6 133;7 120;7 980;9 310;9 989;11 501;14 008;15 311;17 711;24 204;37,1;2,9;6,4;;;;;;;;
