Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Agregados Fiscais;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por agregado fiscal;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado por agregado fiscal (NUTS III=100);;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;Taxa de crescimento anual médio do rendimento bruto declarado deduzido do IRS liquidado por agregado fiscal (2021 - 2023);Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2022);;;Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2023);;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;25;50;75;90;10;20;25;30;40;50;60;70;75;80;90;2021;2023;P80/P20;P90/P10;;25;50;75;25;50;75;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;%;;;;;€;€;€;€;€;€;€;€;€;€;€;%;;Nº;Nº;%;;;;;;;;;;;;;;
1713;Município;Vila Pouca de Aguiar;5 823;94 859;87 082;16 290;4 455;7 113;8 128;9 057;10 640;11 919;14 199;17 769;20 100;22 476;32 011;102;101;99;95;93;4 409;7 096;8 051;8 998;10 589;11 526;13 545;16 745;18 820;21 317;28 773;38,3;37,9;3,0;6,5;7,5;8,8;8,1;8,4;2,4;6,9;6,0;;;;;;;;
11C;NUTS 3;   Tâmega e Sousa;209 139;3 474 676;3 198 630;16 614;4 794;7 617;8 796;9 720;10 735;12 156;14 566;18 392;20 772;22 872;31 330;100;100;100;100;100;4 759;7 587;8 759;9 663;10 685;11 782;13 927;17 370;19 716;21 840;28 337;37,2;36,9;2,9;6,0;7,3;6,2;7,5;8,8;4,9;7,1;8,0;;;;;;;;
1301;Município;Amarante;26 542;453 244;412 688;17 076;4 535;7 307;8 536;9 516;10 700;12 104;14 508;18 461;21 079;23 492;33 506;95;97;100;101;107;4 479;7 267;8 472;9 450;10 656;11 733;13 859;17 382;19 796;22 183;29 629;39,4;38,5;3,1;6,6;7,5;7,6;7,5;8,4;4,7;7,6;7,8;;;;;;;;
1302;Município;Baião;8 183;129 369;119 921;15 809;4 992;7 690;8 771;9 538;10 738;11 957;14 120;17 493;19 944;22 110;29 395;104;100;98;96;94;4 960;7 658;8 715;9 497;10 688;11 630;13 502;16 503;18 549;21 062;26 974;35,4;35,1;2,8;5,4;7,3;5,8;6,6;7,3;6,1;8,1;8,3;;;;;;;;
0106;Município;Castelo de Paiva;8 006;128 643;120 009;16 068;5 271;8 070;9 115;9 999;11 014;12 336;14 513;17 936;20 449;22 786;29 932;110;104;101;98;96;5 218;8 058;9 086;9 962;10 933;11 930;13 919;16 949;19 410;21 844;27 506;34,9;34,2;2,7;5,3;6,8;7,0;6,7;8,7;5,2;6,9;7,9;;;;;;;;
0305;Município;Celorico de Basto;8 176;127 176;117 614;15 555;4 682;7 280;8 386;9 202;10 640;11 485;13 433;16 438;18 876;21 391;29 117;98;95;94;91;93;4 651;7 238;8 365;9 154;10 568;11 271;12 833;15 778;17 807;20 397;26 596;36,7;36,3;2,8;5,7;7,3;6,5;7,1;8,4;6,3;7,5;7,1;;;;;;;;
1804;Município;Cinfães;8 583;121 912;113 886;14 204;3 685;6 608;7 617;8 575;9 987;10 914;12 226;15 098;17 097;20 038;27 053;77;87;90;82;86;3 661;6 576;7 600;8 534;9 937;10 828;11 970;14 409;16 302;18 671;24 960;37,8;37,0;2,8;6,8;6,8;5,2;6,2;5,7;7,7;7,5;5,4;;;;;;;;
1303;Município;Felgueiras;29 749;504 989;465 272;16 975;5 440;8 199;9 232;10 138;10 968;12 476;15 016;18 943;21 122;22 930;30 590;113;105;103;102;98;5 440;8 166;9 181;10 088;10 861;12 002;14 392;17 925;20 312;22 116;27 931;35,7;35,6;2,7;5,1;7,6;6,8;10,0;11,5;2,7;5,3;7,3;;;;;;;;
1305;Município;Lousada;25 350;421 732;390 883;16 636;4 905;7 884;9 047;9 936;10 768;12 412;15 084;19 092;21 153;23 084;31 194;102;103;102;102;100;4 890;7 812;9 002;9 893;10 724;11 983;14 457;18 151;20 399;22 065;28 347;36,1;36,1;2,8;5,8;7,9;5,5;8,6;9,3;5,4;7,2;8,4;;;;;;;;
1307;Município;Marco de Canaveses;24 808;393 536;363 093;15 863;3 908;6 977;8 165;9 120;10 640;11 752;13 910;17 236;19 721;22 145;30 688;82;93;97;95;98;3 876;6 947;8 124;9 108;10 615;11 465;13 307;16 373;18 575;21 193;27 860;38,6;38,2;3,1;7,2;7,3;5,3;6,7;7,4;5,6;8,0;7,7;;;;;;;;
1309;Município;Paços de Ferreira;29 455;493 484;456 083;16 754;5 440;8 151;9 254;10 114;10 776;12 340;14 783;18 860;20 951;22 653;31 045;113;105;102;101;99;5 417;8 101;9 197;10 064;10 709;11 928;14 127;17 898;20 159;21 754;28 162;35,8;35,5;2,7;5,2;7,5;6,6;8,2;9,0;5,2;6,8;8,7;;;;;;;;
1311;Município;Penafiel;35 741;632 875;576 470;17 707;4 873;7 800;9 025;9 989;11 021;12 820;15 500;19 570;21 739;24 395;33 591;102;103;105;105;107;4 852;7 760;8 973;9 924;10 896;12 293;14 765;18 412;20 826;22 946;30 002;38,1;37,9;3,0;6,2;7,1;5,3;7,1;8,1;5,3;7,0;8,1;;;;;;;;
1813;Município;Resende;4 546;67 717;62 711;14 896;3 367;6 399;7 208;8 103;9 814;10 863;12 503;15 674;18 023;21 018;29 848;70;82;89;87;95;3 337;6 373;7 182;8 076;9 798;10 797;12 117;14 929;17 127;19 638;27 277;40,9;39,8;3,1;8,2;7,1;3,1;6,6;9,5;8,6;7,6;7,9;;;;;;;;
11D;NUTS 3;   Douro;91 354;1 690 562;1 521 377;18 506;4 773;7 482;8 640;9 576;10 973;12 832;15 699;20 160;22 819;25 994;38 193;100;100;100;100;100;4 722;7 434;8 584;9 503;10 854;12 288;14 918;18 920;21 429;24 006;33 025;40,1;39,5;3,2;7,0;6,0;6,3;6,7;6,3;4,1;5,3;6,6;;;;;;;;
1701;Município;Alijó;5 258;80 323;74 599;15 276;4 318;6 792;7 742;8 647;10 291;11 472;13 441;16 736;18 887;21 720;30 415;90;90;89;83;80;4 281;6 772;7 740;8 585;10 202;11 227;12 876;15 889;17 713;20 730;27 740;37,5;37,0;3,1;6,5;6,7;7,1;7,1;5,9;5,2;6,4;5,1;;;;;;;;
1801;Município;Armamar;2 651;41 763;38 539;15 754;4 218;6 754;7 832;8 814;10 396;11 418;13 508;16 937;19 835;21 918;30 611;88;91;89;87;80;4 202;6 738;7 803;8 785;10 249;11 157;13 084;16 172;18 593;20 958;28 081;38,3;38,3;3,1;6,7;5,3;1,7;5,2;6,4;5,3;5,5;5,8;;;;;;;;
0403;Município;Carrazeda de Ansiães;2 590;43 000;39 239;16 602;4 676;7 327;8 399;9 065;10 625;11 812;14 127;17 376;20 038;23 040;32 411;98;97;92;88;85;4 672;7 246;8 326;9 022;10 484;11 543;13 455;16 648;18 933;21 612;28 803;38,3;38,0;3,0;6,2;6,5;7,9;6,8;7,6;6,2;6,1;4,4;;;;;;;;
0404;Município;Freixo de Espada à Cinta;1 599;26 148;24 183;16 353;5 515;7 789;8 581;9 520;10 772;12 317;14 401;18 086;21 044;23 185;31 173;116;99;96;92;82;5 473;7 677;8 548;9 392;10 723;11 801;13 955;17 260;19 689;22 001;27 914;35,5;35,2;2,9;5,1;5,5;8,0;3,6;5,9;2,7;7,5;6,9;;;;;;;;
1805;Município;Lamego;12 349;234 898;209 940;19 022;4 694;7 487;8 753;9 627;10 974;12 748;15 877;20 889;23 549;27 079;40 101;98;101;99;103;105;4 661;7 451;8 688;9 560;10 866;12 271;15 045;19 472;22 113;24 689;34 306;40,9;40,1;3,3;7,4;5,7;6,2;6,2;4,9;3,4;5,1;6,9;;;;;;;;
1704;Município;Mesão Frio;1 789;28 503;26 233;15 932;4 476;6 977;8 166;9 120;10 640;11 747;13 792;17 278;19 262;21 906;29 519;94;95;92;84;77;4 476;6 977;8 082;9 082;10 573;11 507;13 171;16 384;18 354;20 569;27 495;36,9;37,0;2,9;6,1;7,8;8,1;8,5;7,3;5,0;7,2;12,3;;;;;;;;
1807;Município;Moimenta da Beira;4 458;77 267;70 375;17 332;4 393;7 361;8 586;9 386;10 777;12 511;15 133;19 392;21 482;24 291;33 917;92;99;97;94;89;4 356;7 348;8 525;9 299;10 696;12 047;14 527;18 202;20 450;22 915;29 939;38,4;38,4;3,1;6,9;4,7;6,8;7,1;7,5;2,8;2,3;4,0;;;;;;;;
1707;Município;Murça;2 530;40 953;37 705;16 187;4 304;6 980;7 911;8 840;10 640;12 012;14 139;17 452;20 112;23 380;32 997;90;92;94;88;86;4 299;6 921;7 897;8 756;10 617;11 649;13 626;16 833;18 965;22 186;29 382;38,4;38,0;3,2;6,8;6,9;10,1;8,6;7,2;5,0;5,2;6,2;;;;;;;;
1812;Município;Penedono;1 336;20 610;18 826;15 427;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;6,4;8,2;7,7;11,8;//;//;//;;;;;;;;
1708;Município;Peso da Régua;7 250;130 047;117 702;17 937;5 073;7 649;8 708;9 592;10 925;12 731;15 412;19 605;22 165;25 334;36 723;106;101;99;97;96;5 017;7 623;8 648;9 497;10 835;12 253;14 651;18 337;20 887;23 421;31 714;38,9;38,1;3,1;6,3;6,5;6,3;7,0;6,6;4,2;6,0;7,1;;;;;;;;
1710;Município;Sabrosa;2 790;47 214;43 560;16 923;5 324;7 582;8 749;9 638;10 872;12 380;15 063;18 944;21 082;23 520;32 526;112;101;96;92;85;5 298;7 543;8 633;9 526;10 780;12 016;14 394;17 982;19 887;22 351;29 143;35,9;36,4;3,0;5,5;6,5;4,9;6,8;9,5;4,7;6,2;9,3;;;;;;;;
1711;Município;Santa Marta de Penaguião;3 313;48 393;45 084;14 607;3 723;6 339;6 989;7 872;9 641;11 066;12 997;15 792;18 044;20 671;28 690;78;81;86;79;75;3 683;6 320;6 977;7 811;9 563;10 936;12 460;15 187;17 225;19 420;26 741;39,4;38,8;3,1;7,3;7,2;8,5;7,6;6,0;3,5;6,7;5,2;;;;;;;;
1815;Município;São João da Pesqueira;3 216;51 067;46 839;15 879;4 525;6 784;7 793;8 585;10 385;11 674;13 783;17 208;19 645;22 171;30 155;95;90;91;86;79;4 489;6 768;7 740;8 485;10 214;11 361;13 114;16 379;18 491;21 047;27 196;38,8;37,9;3,1;6,1;8,3;7,3;9,3;10,0;5,7;7,3;4,4;;;;;;;;
1818;Município;Sernancelhe;2 390;37 853;34 978;15 838;4 941;7 518;8 648;9 410;10 640;11 741;13 895;17 423;19 767;21 858;30 284;104;100;91;87;79;4 925;7 461;8 613;9 309;10 601;11 483;13 349;16 454;18 581;21 008;27 382;34,7;35,8;2,8;5,6;6,2;5,7;5,8;7,1;2,8;6,5;6,2;;;;;;;;
1819;Município;Tabuaço;2 149;33 923;31 351;15 785;4 692;7 117;8 173;9 140;10 640;11 853;13 961;17 259;19 276;21 837;29 646;98;95;92;84;78;4 680;7 069;8 167;9 120;10 604;11 562;13 585;16 168;18 237;20 608;27 000;37,2;36,2;2,9;5,8;7,7;8,0;10,9;7,3;5,5;4,5;5,6;;;;;;;;
1820;Município;Tarouca;3 351;55 560;51 219;16 580;4 608;7 528;8 693;9 591;10 738;12 325;14 845;18 903;21 439;23 626;32 075;97;101;96;94;84;4 595;7 482;8 621;9 550;10 716;11 944;14 214;17 764;20 123;22 074;28 599;36,9;36,6;3,0;6,2;6,2;6,5;6,5;7,2;2,5;6,0;4,5;;;;;;;;
0409;Município;Torre de Moncorvo;3 402;56 630;51 672;16 646;4 712;7 396;8 531;9 417;10 739;12 327;14 748;18 420;21 161;23 875;32 850;99;99;96;93;86;4 647;7 337;8 442;9 344;10 648;11 856;14 000;17 363;19 744;22 067;28 565;37,6;36,8;3,0;6,1;5,7;7,5;6,2;8,5;4,1;5,1;5,8;;;;;;;;
0914;Município;Vila Nova de Foz Côa;3 130;52 511;47 459;16 777;4 175;6 869;7 848;8 765;10 640;12 221;14 539;17 982;20 792;23 948;34 484;87;91;95;91;90;4 118;6 792;7 789;8 687;10 561;11 791;13 790;16 770;19 326;22 151;29 716;39,2;39,1;3,3;7,2;6,0;6,7;7,5;9,0;3,6;4,6;4,6;;;;;;;;
1714;Município;Vila Real;25 803;583 897;511 874;22 629;5 284;8 574;9 821;10 642;12 562;15 388;19 649;25 066;28 458;32 850;48 375;111;114;120;125;127;5 209;8 536;9 753;10 640;12 014;14 577;18 317;23 105;25 840;29 044;40 507;41,4;40,8;3,4;7,8;6,5;4,8;6,1;3,7;5,1;6,9;6,0;;;;;;;;
11E;NUTS 3;   Terras de Trás-os-Montes;53 855;1 028 539;920 780;19 098;4 894;7 601;8 776;9 780;11 200;13 192;16 232;21 121;23 838;27 197;39 434;100;100;100;100;100;4 829;7 519;8 693;9 686;11 016;12 595;15 383;19 689;22 133;24 788;34 088;40,4;39,7;3,3;7,1;5,7;6,4;5,3;4,3;4,8;6,2;5,7;;;;;;;;
0401;Município;Alfândega da Fé;2 117;35 521;32 348;16 779;4 765;6 977;8 061;9 050;10 611;12 120;14 485;18 273;20 805;23 607;35 033;97;92;92;87;89;4 754;6 970;8 004;9 009;10 482;11 749;13 853;17 302;19 258;22 005;30 878;38,4;38,2;3,2;6,5;6,7;5,7;6,3;6,0;6,2;7,1;6,8;;;;;;;;
0402;Município;Bragança;18 144;396 619;348 435;21 860;5 066;8 308;9 539;10 640;12 334;14 998;19 353;24 621;27 766;31 675;46 042;104;109;114;116;117;5 028;8 222;9 452;10 560;11 854;14 160;17 912;22 684;25 127;28 210;38 370;41,2;40,5;3,4;7,6;4,7;4,8;3,5;3,9;5,4;5,9;4,4;;;;;;;;
0405;Município;Macedo de Cavaleiros;6 912;120 665;109 002;17 457;4 527;7 108;8 260;9 120;10 640;12 016;14 245;18 475;21 285;24 501;35 564;92;94;91;89;90;4 482;7 071;8 202;9 084;10 640;11 656;13 595;17 405;19 971;22 695;31 303;40,8;39,8;3,2;7,0;6,7;6,5;5,2;5,8;9,4;8,1;6,3;;;;;;;;
0406;Município;Miranda do Douro;3 304;62 028;56 034;18 774;5 319;8 051;9 170;10 219;11 590;13 620;16 934;21 576;23 803;26 419;37 403;109;104;103;100;95;5 231;7 941;9 076;10 076;11 230;12 959;15 981;20 108;22 154;24 412;32 592;37,9;37,6;3,1;6,2;5,2;5,5;4,6;6,1;7,4;5,9;5,3;;;;;;;;
0407;Município;Mirandela;10 537;200 607;180 401;19 038;4 796;7 675;8 887;9 896;11 243;13 242;16 330;20 989;23 744;27 184;39 083;98;101;100;100;99;4 745;7 617;8 805;9 783;11 067;12 679;15 446;19 636;22 195;24 823;34 159;40,3;39,6;3,3;7,2;6,0;6,0;5,6;4,2;4,1;6,3;6,1;;;;;;;;
0408;Município;Mogadouro;4 154;73 532;66 132;17 701;5 014;7 456;8 560;9 322;10 692;12 281;14 887;19 469;21 998;24 576;35 723;102;98;93;92;91;5 005;7 386;8 486;9 224;10 640;11 846;14 034;18 145;20 362;22 771;31 051;39,2;38,6;3,1;6,2;6,3;5,7;6,0;5,2;6,8;6,5;6,1;;;;;;;;
0410;Município;Vila Flor;2 866;47 291;43 278;16 501;4 090;7 025;8 070;9 081;10 662;12 195;14 561;17 993;20 312;22 997;31 716;84;92;92;85;80;4 070;6 946;7 958;8 991;10 640;11 786;13 921;17 088;19 317;21 552;28 774;38,4;38,3;3,1;7,1;5,2;5,3;4,0;4,4;3,2;6,4;7,0;;;;;;;;
0411;Município;Vimioso;2 023;33 017;30 217;16 321;4 498;7 045;8 107;9 010;10 640;12 016;14 370;18 007;20 211;23 123;30 807;92;92;91;85;78;4 467;6 989;7 968;8 957;10 562;11 628;13 672;16 997;19 095;21 591;28 008;38,0;37,6;3,1;6,3;6,6;7,0;5,3;4,0;2,8;7,8;6,9;;;;;;;;
0412;Município;Vinhais;3 798;59 259;54 933;15 603;5 014;7 013;7 915;8 878;10 561;11 504;13 598;16 782;19 157;22 287;30 272;102;90;87;80;77;4 983;6 986;7 908;8 793;10 449;11 266;13 021;15 873;17 910;20 833;27 313;36,8;36,3;3,0;5,5;6,3;6,6;7,2;7,4;5,8;5,3;4,0;;;;;;;;
19;NUTS 2;  Centro;890 047;18 804 695;16 640 115;21 128;5 882;8 925;10 018;10 734;12 484;14 910;18 345;22 980;25 815;29 355;42 113;;;;;;5 822;8 857;9 947;10 667;11 957;14 092;17 119;21 443;23 843;26 700;36 078;38,8;38,6;3,0;6,2;5,9;4,9;5,5;3,7;4,5;6,3;6,9;;;;;;;;
191;NUTS 3;   Região de Aveiro;203 818;4 384 113;3 862 297;21 510;5 759;8 914;10 071;10 812;12 660;15 110;18 457;23 203;26 130;29 714;42 696;100;100;100;100;100;5 706;8 844;10 002;10 733;12 083;14 241;17 184;21 630;24 152;27 015;36 526;39,0;39,1;3,1;6,4;6,0;4,6;5,4;3,3;4,8;6,7;7,3;;;;;;;;
0101;Município;Águeda;26 073;541 034;479 709;20 751;6 149;9 106;10 139;10 790;12 278;14 393;17 461;21 847;24 418;27 367;38 160;107;101;95;93;89;6 116;9 044;10 087;10 725;11 836;13 721;16 437;20 626;23 006;25 533;33 816;37,6;38,4;2,8;5,5;6,2;4,7;6,2;3,7;5,5;6,3;7,5;;;;;;;;
0102;Município;Albergaria-a-Velha;13 502;270 182;243 986;20 010;6 120;9 120;10 230;10 932;12 742;15 106;18 237;22 348;24 944;28 141;38 394;106;102;100;95;90;6 040;9 069;10 146;10 845;12 122;14 275;16 972;20 971;23 304;26 019;34 038;36,2;36,2;2,9;5,6;6,1;4,9;5,0;3,4;4,5;7,3;7,7;;;;;;;;
0103;Município;Anadia;15 222;305 261;271 108;20 054;5 690;8 531;9 683;10 614;11 981;14 049;16 807;21 153;23 680;26 825;38 144;99;96;93;91;89;5 649;8 466;9 606;10 539;11 598;13 362;15 860;19 747;22 347;24 950;33 084;38,7;38,7;2,9;5,9;6,1;4,8;6,6;4,6;4,5;5,5;7,4;;;;;;;;
0105;Município;Aveiro;46 539;1 151 743;983 482;24 748;5 822;9 199;10 463;11 305;13 728;16 682;20 911;26 670;30 387;35 190;51 775;101;104;110;116;121;5 755;9 120;10 364;11 068;12 918;15 481;19 117;24 188;26 970;30 563;42 666;40,9;41,1;3,4;7,4;5,0;4,6;3,8;2,8;5,8;6,1;5,1;;;;;;;;
0108;Município;Estarreja;14 296;285 810;256 218;19 992;5 526;8 529;9 806;10 666;12 498;14 844;17 946;22 304;24 951;28 111;39 658;96;97;98;95;93;5 480;8 456;9 714;10 640;11 954;14 040;16 729;20 685;23 156;25 871;34 340;37,3;37,5;3,1;6,3;6,0;4,2;5,0;3,4;3,5;7,0;6,8;;;;;;;;
0110;Município;Ílhavo;22 168;497 229;433 803;22 430;5 531;8 895;10 130;10 933;13 015;15 637;19 203;24 346;27 488;31 502;45 562;96;101;103;105;107;5 465;8 840;10 052;10 817;12 353;14 623;17 782;22 473;25 036;28 056;38 455;40,0;39,8;3,2;7,0;5,8;4,9;5,2;3,9;5,0;6,5;6,2;;;;;;;;
0112;Município;Murtosa;4 979;94 301;84 531;18 940;4 015;7 199;8 586;9 779;11 516;13 809;16 923;21 548;24 222;27 413;38 937;70;85;91;93;91;3 920;7 148;8 487;9 713;11 235;13 037;15 910;19 959;22 377;25 289;33 808;39,4;39,9;3,5;8,6;6,1;3,0;5,2;5,7;3,9;7,0;6,1;;;;;;;;
0114;Município;Oliveira do Bairro;12 484;246 939;223 872;19 780;5 850;8 792;9 970;10 654;12 379;14 627;17 755;22 734;25 398;28 422;38 986;102;99;97;97;91;5 807;8 731;9 878;10 640;11 883;13 855;16 705;21 412;23 750;26 364;34 279;37,0;36,9;3,0;5,9;6,5;4,2;5,8;4,5;5,5;7,2;7,8;;;;;;;;
0115;Município;Ovar;30 332;644 600;572 001;21 251;5 918;9 098;10 178;10 877;12 772;15 155;18 338;23 006;25 869;29 421;42 021;103;101;100;99;98;5 867;9 020;10 115;10 784;12 192;14 308;17 195;21 444;23 951;26 856;36 123;38,5;38,4;3,0;6,2;6,4;5,8;6,1;3,7;4,7;6,7;8,0;;;;;;;;
0117;Município;Sever do Vouga;5 980;113 408;103 159;18 964;6 095;8 783;9 780;10 640;12 099;14 047;16 724;20 983;23 521;26 831;36 904;106;97;93;90;86;6 037;8 719;9 682;10 557;11 669;13 366;15 753;19 726;22 075;24 978;32 929;35,9;36,1;2,9;5,5;6,4;3,7;6,1;3,2;4,9;6,7;8,6;;;;;;;;
0118;Município;Vagos;12 243;233 607;210 427;19 081;5 247;8 345;9 507;10 589;11 956;13 978;16 659;21 036;23 559;26 645;36 736;91;94;93;90;86;5 174;8 268;9 391;10 492;11 549;13 210;15 714;19 757;22 180;24 777;32 308;37,9;37,7;3,0;6,2;7,0;4,2;6,3;5,8;4,8;7,7;8,5;;;;;;;;
192;NUTS 3;   Região de Coimbra;236 480;5 343 764;4 662 702;22 597;6 053;9 118;10 215;10 920;12 899;15 553;19 397;24 381;27 562;31 647;46 083;100;100;100;100;100;6 004;9 053;10 145;10 814;12 273;14 677;18 053;22 593;25 130;28 169;38 534;39,8;39,5;3,1;6,4;5,7;5,1;5,1;3,5;4,8;6,4;6,6;;;;;;;;
0601;Município;Arganil;5 634;96 911;89 502;17 201;5 641;8 574;9 324;10 162;11 260;12 987;15 496;19 183;21 640;23 910;32 443;93;91;84;79;70;5 626;8 538;9 274;10 115;11 072;12 432;14 870;18 292;20 562;22 526;29 297;35,6;35,1;2,6;5,2;6,5;4,5;7,5;6,8;4,6;5,5;7,3;;;;;;;;
0602;Município;Cantanhede;18 008;350 412;314 594;19 459;5 301;8 166;9 290;10 357;11 885;14 033;17 109;21 681;24 481;27 866;39 445;88;91;90;89;86;5 262;8 109;9 201;10 250;11 495;13 273;16 066;20 191;22 746;25 601;34 316;38,4;38,2;3,2;6,5;6,5;5,9;6,0;5,5;4,0;6,9;7,2;;;;;;;;
0603;Município;Coimbra;79 279;2 178 048;1 822 280;27 473;6 318;9 693;10 685;11 688;14 242;17 871;22 698;29 323;33 748;39 803;59 328;104;105;115;122;129;6 258;9 589;10 640;11 356;13 422;16 547;20 827;26 093;29 274;33 514;47 390;42,1;42,1;3,5;7,6;4,3;6,1;4,0;2,9;6,5;4,6;4,3;;;;;;;;
0604;Município;Condeixa-a-Nova;8 710;208 248;183 354;23 909;6 576;9 973;10 795;11 868;14 429;17 637;21 872;27 477;30 739;35 191;49 352;109;106;113;112;107;6 576;9 917;10 744;11 532;13 687;16 520;20 264;25 035;27 722;30 956;41 846;38,0;37,7;3,1;6,4;7,2;6,5;5,5;4,2;7,1;8,8;8,6;;;;;;;;
0605;Município;Figueira da Foz;33 238;752 285;658 293;22 633;6 000;9 130;10 320;11 120;13 228;16 013;20 045;25 309;28 642;32 563;46 106;99;101;103;104;100;5 966;9 118;10 242;10 963;12 562;15 049;18 555;23 193;25 831;28 697;38 707;39,0;38,9;3,1;6,5;4,9;4,4;3,1;3,0;5,4;6,7;6,0;;;;;;;;
0606;Município;Góis;2 021;34 100;31 519;16 873;6 085;8 574;9 329;10 214;11 356;13 160;15 443;19 049;21 266;23 601;31 546;101;91;85;77;68;6 010;8 574;9 264;10 136;11 122;12 522;14 777;17 846;20 149;22 369;28 151;33,8;33,7;2,6;4,7;6,7;5,3;6,3;5,4;3,5;7,0;10,4;;;;;;;;
0607;Município;Lousã;9 028;181 405;162 915;20 094;5 780;8 981;10 042;10 752;12 633;15 121;18 536;23 043;25 327;28 408;38 761;95;98;97;92;84;5 754;8 908;9 983;10 681;12 024;14 290;17 222;21 437;23 670;25 979;34 036;36,8;36,7;2,9;5,9;5,6;5,3;5,6;2,9;3,8;5,6;6,7;;;;;;;;
0111;Município;Mealhada;10 458;219 972;197 179;21 034;6 073;9 175;10 262;11 034;12 850;15 503;18 989;23 672;26 524;30 193;41 901;100;100;100;96;91;6 014;9 120;10 204;10 892;12 318;14 646;17 731;22 013;24 616;27 495;36 333;37,3;37,3;3,0;6,0;6,3;5,6;6,5;4,2;4,2;6,2;7,5;;;;;;;;
0608;Município;Mira;6 312;124 477;110 980;19 721;5 440;8 403;9 424;10 513;12 005;14 186;17 283;21 726;24 179;27 708;39 284;90;92;91;88;85;5 400;8 281;9 341;10 429;11 590;13 413;16 132;20 235;22 603;25 137;33 950;39,2;38,2;3,0;6,3;7,5;4,7;6,7;7,4;6,9;8,4;8,8;;;;;;;;
0609;Município;Miranda do Corvo;6 194;116 696;106 361;18 840;6 007;8 868;9 947;10 640;12 297;14 427;17 576;21 436;23 697;26 690;35 766;99;97;93;86;78;5 972;8 848;9 858;10 640;11 800;13 612;16 428;20 041;22 344;24 624;32 148;35,9;35,2;2,8;5,4;6,9;5,6;6,7;5,5;5,0;7,1;7,1;;;;;;;;
0610;Município;Montemor-o-Velho;12 700;269 479;242 079;21 219;6 858;9 546;10 551;11 229;13 187;15 890;19 623;24 092;26 780;30 279;42 109;113;103;102;97;91;6 825;9 491;10 465;11 064;12 556;15 038;18 230;22 381;24 693;27 566;36 217;35,8;35,9;2,9;5,3;6,8;5,6;6,2;3,9;6,4;7,3;7,9;;;;;;;;
1808;Município;Mortágua;4 783;88 293;80 281;18 460;5 597;8 668;9 710;10 640;11 856;13 683;16 624;20 616;22 909;25 158;34 224;92;95;88;83;74;5 560;8 594;9 673;10 532;11 494;13 058;15 617;19 301;21 370;23 549;30 465;36,1;36,1;2,7;5,5;6,3;5,8;6,3;5,9;5,1;6,3;6,2;;;;;;;;
0611;Município;Oliveira do Hospital;9 787;171 139;158 224;17 486;6 018;8 674;9 624;10 510;11 502;13 270;15 991;20 014;22 195;24 337;33 015;99;94;85;81;72;5 965;8 646;9 587;10 453;11 258;12 690;15 205;19 028;21 280;23 194;29 673;34,9;34,4;2,7;5,0;7,3;4,6;7,6;7,6;6,0;6,9;7,9;;;;;;;;
0612;Município;Pampilhosa da Serra;1 794;30 247;28 159;16 860;6 315;8 647;9 611;10 345;11 610;13 403;15 743;19 493;21 610;23 521;30 613;104;94;86;78;66;6 305;8 626;9 575;10 323;11 372;12 748;14 924;18 554;20 580;22 444;27 910;32,6;32,3;2,6;4,4;7,0;6,4;7,9;7,0;4,7;6,1;8,5;;;;;;;;
0613;Município;Penacova;6 873;121 216;111 912;17 637;5 787;8 477;9 406;10 394;11 685;13 632;16 288;20 238;22 781;25 341;33 531;96;92;88;83;73;5 768;8 428;9 338;10 334;11 420;13 014;15 541;18 965;21 535;23 782;29 906;34,5;34,5;2,8;5,2;7,1;6,4;7,6;7,1;4,3;6,6;9,3;;;;;;;;
0614;Município;Penela;2 852;51 351;46 676;18 005;5 421;8 163;9 079;10 002;11 287;13 078;16 003;20 161;22 542;25 494;35 282;90;89;84;82;77;5 328;8 117;9 047;9 926;11 042;12 538;15 184;18 926;21 187;23 513;30 847;36,9;36,9;2,9;5,8;6,8;3,6;6,7;7,1;6,0;6,9;6,0;;;;;;;;
0615;Município;Soure;9 167;185 348;167 687;20 219;6 704;9 408;10 503;11 175;13 124;15 547;18 929;23 273;25 687;28 741;39 389;111;103;100;93;85;6 669;9 359;10 450;11 025;12 447;14 595;17 598;21 602;23 886;26 362;34 712;34,8;34,7;2,8;5,2;5,9;5,8;4,5;4,2;6,1;7,3;7,5;;;;;;;;
