profession_code;profession_description;year;avg_hourly_wage_eur
93;Trab.n/qualif. da indust.ext., construc., indust. transf.e transp.;2019;3.9
93;Trab.n/qualif. da indust.ext., construc., indust. transf.e transp.;2020;4.08
93;Trab.n/qualif. da indust.ext., construc., indust. transf.e transp.;2021;4.26
93;Trab.n/qualif. da indust.ext., construc., indust. transf.e transp.;2022;4.47
93;Trab.n/qualif. da indust.ext., construc., indust. transf.e transp.;2023;4.78
93;Trab.n/qualif. da indust.ext., construc., indust. transf.e transp.;2024;5.13
94;Assistentes na prep.de refeicoes;2014;3.13
94;Assistentes na prep.de refeicoes;2015;3.15
94;Assistentes na prep.de refeicoes;2016;3.25
94;Assistentes na prep.de refeicoes;2017;3.41
94;Assistentes na prep.de refeicoes;2018;3.55
94;Assistentes na prep.de refeicoes;2019;3.68
94;Assistentes na prep.de refeicoes;2020;3.87
94;Assistentes na prep.de refeicoes;2021;4.03
94;Assistentes na prep.de refeicoes;2022;4.28
94;Assistentes na prep.de refeicoes;2023;4.58
94;Assistentes na prep.de refeicoes;2024;4.93
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2014;4.12
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2015;4.25
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2016;4.38
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2017;4.55
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2018;4.63
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2019;4.79
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2020;5.06
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2021;5.26
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2022;5.73
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2023;5.97
95;Vend.ambul.. (exc. de alim.) e prest.de serv. na rua;2024;6.36
96;Trab.dos resid.de outros serv.element.;2014;3.58
96;Trab.dos resid.de outros serv.element.;2015;3.66
96;Trab.dos resid.de outros serv.element.;2016;3.76
96;Trab.dos resid.de outros serv.element.;2017;3.91
96;Trab.dos resid.de outros serv.element.;2018;4.14
96;Trab.dos resid.de outros serv.element.;2019;4.36
96;Trab.dos resid.de outros serv.element.;2020;4.56
96;Trab.dos resid.de outros serv.element.;2021;4.82
96;Trab.dos resid.de outros serv.element.;2022;5.14
96;Trab.dos resid.de outros serv.element.;2023;5.45
96;Trab.dos resid.de outros serv.element.;2024;5.48
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2014;9.48
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2015;11.05
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2016;10.43
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2017;11.29
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2018;9.69
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2019;11.13
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2020;12
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2021;12.53
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2022;13.29
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2023;16.69
Trabalhadores sem profissao atribuida;Trabalhadores sem profissao atribuida;2024;18.2
