country;year;crude_immigration_rate
2020;Eslováquia;1.2
2021;Eslováquia;1.1
2022;Eslováquia;1.0
2023;Eslováquia;1.1
2024;Eslováquia
1998;Eslovénia;2.3
1999;Eslovénia;2.5
2000;Eslovénia;3.1
2001;Eslovénia;3.9
2002;Eslovénia;4.6
2003;Eslovénia;4.6
2004;Eslovénia;5.1
2005;Eslovénia;7.5
2006;Eslovénia;10.0
2007;Eslovénia;14.5
2008;Eslovénia;15.2
2009;Eslovénia;14.9
2010;Eslovénia;7.5
2011;Eslovénia;6.9
2012;Eslovénia;7.3
2013;Eslovénia;6.7
2014;Eslovénia;6.7
2015;Eslovénia;7.5
2016;Eslovénia;8.0
2017;Eslovénia;9.1
2018;Eslovénia;13.7
2019;Eslovénia;15.0
2020;Eslovénia;17.2
2021;Eslovénia;11.2
2022;Eslovénia;16.9
2023;Eslovénia;16.0
2024;Eslovénia;15.5
1998;Espanha;2.0
1999;Espanha;3.2
2000;Espanha;8.9
2001;Espanha;10.2
2002;Espanha;11.7
2003;Espanha;11.1
2004;Espanha;15.9
2005;Espanha;16.5
2006;Espanha;18.9
2007;Espanha;21.2
2008;Espanha;13.0
2009;Espanha;8.5
2010;Espanha;7.7
2011;Espanha;7.9
2012;Espanha;6.5
2013;Espanha;6.0
2014;Espanha;6.6
2015;Espanha;7.4
2016;Espanha;8.9
2017;Espanha;11.4
2018;Espanha;13.8
2019;Espanha;15.9
2020;Espanha;9.9
2021;Espanha;18.7
2022;Espanha;26.3
2023;Espanha;25.9
2024;Espanha
1998;Estónia
1999;Estónia
2000;Estónia;0.0
2001;Estónia;0.2
2002;Estónia;0.4
2003;Estónia;0.7
2004;Estónia;0.8
2005;Estónia;1.1
2006;Estónia;1.7
2007;Estónia;2.8
2008;Estónia;2.7
2009;Estónia;2.9
2010;Estónia;2.1
2011;Estónia;2.8
2012;Estónia;2.0
2013;Estónia;3.1
2014;Estónia;3.0
2015;Estónia;11.7
2016;Estónia;11.3
2017;Estónia;13.4
2018;Estónia;13.3
2019;Estónia;13.8
2020;Estónia;12.2
2021;Estónia;14.7
2022;Estónia;36.6
2023;Estónia;19.3
2024;Estónia;13.6
1998;Finlândia;2.8
1999;Finlândia;2.9
2000;Finlândia;3.3
2001;Finlândia;3.7
2002;Finlândia;3.5
2003;Finlândia;3.4
2004;Finlândia;3.9
2005;Finlândia;4.1
2006;Finlândia;4.3
2007;Finlândia;4.9
2008;Finlândia;5.5
2009;Finlândia;5.0
2010;Finlândia;4.8
2011;Finlândia;5.5
2012;Finlândia;5.8
2013;Finlândia;5.9
2014;Finlândia;5.8
2015;Finlândia;5.2
2016;Finlândia;6.4
2017;Finlândia;5.8
2018;Finlândia;5.6
2019;Finlândia;5.9
2020;Finlândia;5.9
2021;Finlândia;6.6
2022;Finlândia;9.0
2023;Finlândia;13.1
2024;Finlândia;11.4
1998;França
1999;França
2000;França
2001;França
2002;França
2003;França
2004;França
2005;França
2006;França;4.8
2007;França;4.6
2008;França;4.6
2009;França;4.6
2010;França;4.7
2011;França;4.9
2012;França;5.0
2013;França;5.1
2014;França;5.1
2015;França;5.5
2016;França;5.7
2017;França;5.5
2018;França;5.8
2019;França;5.7
2020;França;4.9
2021;França;5.0
2022;França;6.3
2023;França;6.1
2024;França;6.4
1998;Grécia;10.9
1999;Grécia;7.9
2000;Grécia;10.1
2001;Grécia;9.1
2002;Grécia;6.2
2003;Grécia;5.8
2004;Grécia;6.1
2005;Grécia;6.5
2006;Grécia;5.7
2007;Grécia;5.7
2008;Grécia;6.0
2009;Grécia;5.3
2010;Grécia;5.4
2011;Grécia;5.4
2012;Grécia;5.3
2013;Grécia;5.3
2014;Grécia;5.4
2015;Grécia;6.0
2016;Grécia;10.9
2017;Grécia;10.5
2018;Grécia;11.2
2019;Grécia;12.2
2020;Grécia;8.0
2021;Grécia;5.4
2022;Grécia;9.1
2023;Grécia;11.2
2024;Grécia;12.7
1998;Hungria;1.7
1999;Hungria;2.1
2000;Hungria;2.1
2001;Hungria;2.2
2002;Hungria;2.0
2003;Hungria;2.1
2004;Hungria;2.4
2005;Hungria;2.8
2006;Hungria;2.6
2007;Hungria;2.4
2008;Hungria;3.8
2009;Hungria;2.8
2010;Hungria;2.6
2011;Hungria;2.8
2012;Hungria;3.4
2013;Hungria;3.9
2014;Hungria;5.6
2015;Hungria;6.0
2016;Hungria;5.5
2017;Hungria;7.0
2018;Hungria;8.5
2019;Hungria;9.1
2020;Hungria;7.8
2021;Hungria;8.4
2022;Hungria;9.8
2023;Hungria;10.0
2024;Hungria;9.2
1998;Irlanda;13.0
1999;Irlanda;13.8
2000;Irlanda;15.1
2001;Irlanda;16.8
2002;Irlanda;15.7
2003;Irlanda;14.7
2004;Irlanda;19.2
2005;Irlanda;24.5
2006;Irlanda;32.6
2007;Irlanda;27.8
2008;Irlanda;18.4
2009;Irlanda;11.2
2010;Irlanda;11.5
2011;Irlanda;12.5
2012;Irlanda;13.3
2013;Irlanda;14.2
2014;Irlanda;15.8
2015;Irlanda;17.2
2016;Irlanda;19.6
2017;Irlanda;17.6
2018;Irlanda;21.6
2019;Irlanda;19.4
2020;Irlanda;16.3
2021;Irlanda;16.4
2022;Irlanda;30.2
2023;Irlanda;25.5
2024;Irlanda;23.7
1998;Itália;2.8
1999;Itália;3.3
2000;Itália;4.0
2001;Itália;3.7
2002;Itália;3.7
2003;Itália;7.7
2004;Itália;7.2
2005;Itália;5.2
2006;Itália;4.8
2007;Itália;9.0
2008;Itália;9.0
2009;Itália;7.4
2010;Itália;7.7
2011;Itália;6.4
2012;Itália;5.8
2013;Itália;5.1
2014;Itália;4.6
2015;Itália;4.7
2016;Itália;5.0
2017;Itália;5.7
2018;Itália;5.6
2019;Itália;5.6
2020;Itália;4.2
2021;Itália;5.4
2022;Itália;7.0
2023;Itália;7.5
2024;Itália;7.7
1998;Letónia;1.3
1999;Letónia;0.8
2000;Letónia;2.7
2001;Letónia;2.3
2002;Letónia;2.9
2003;Letónia;1.8
2004;Letónia;2.1
2005;Letónia;3.0
2006;Letónia;3.7
2007;Letónia;3.4
2008;Letónia;2.1
2009;Letónia;1.7
2010;Letónia;1.9
2011;Letónia;5.0
2012;Letónia;6.5
2013;Letónia;4.1
2014;Letónia;5.2
2015;Letónia;4.8
2016;Letónia;4.3
2017;Letónia;5.1
2018;Letónia;5.7
2019;Letónia;5.9
2020;Letónia;4.7
2021;Letónia;6.7
2022;Letónia;20.5
2023;Letónia;9.9
2024;Letónia;7.9
1998;Lituânia;0.8
1999;Lituânia;0.8
2000;Lituânia;0.4
2001;Lituânia;1.4
2002;Lituânia;1.5
2003;Lituânia;1.4
2004;Lituânia;1.6
2005;Lituânia;2.0
2006;Lituânia;2.4
2007;Lituânia;2.7
2008;Lituânia;2.9
2009;Lituânia;2.1
2010;Lituânia;1.7
2011;Lituânia;5.2
2012;Lituânia;9.6
2013;Lituânia;10.4
2014;Lituânia;11.4
2015;Lituânia;10.7
2016;Lituânia;10.9
2017;Lituânia;11.7
2018;Lituânia;13.3
2019;Lituânia;16.6
2020;Lituânia;16.4
2021;Lituânia;16.0
2022;Lituânia;30.9
2023;Lituânia;23.2
2024;Lituânia
