year;country;gdp_million_eur;gdp_thousand_eur;source_id;source;unit;price_basis;notes
2013;PT;170675.649;170675649;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
2014;PT;173186.662;173186662;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
2015;PT;179392.709;179392709;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
2016;PT;186380.749;186380749;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
2017;PT;195509.136;195509136;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
2018;PT;204997.646;204997646;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
2019;PT;214489.895;214489895;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
2020;PT;201032.705;201032705;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
2021;PT;216493.745;216493745;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
2022;PT;243957.086;243957086;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
2023;PT;270352.615;270352615;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
2024;PT;289784.317;289784317;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
2025;PT;306765.485;306765485;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;Valor provisorio (Pro) conforme PORDATA
