year;country;cae_code;cae_description_pt;sector_description_en;foreign_workers_all_q9e;foreign_tco_q13e;total_employment_thousand_lfs;foreign_tco_pct_lfs;lfs_data_flag;gva_million_eur;gva_total_pt_million_eur;gva_share_pct;vab_data_flag;cae_nace_level;source_id;dataset_id;source_name;notes
2014;PT;A;Agr., pr. animal, caca, flor. pesca;Agriculture, forestry and fishing;7205;7062;388.7;1.82;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
2014;PT;B;Industrias extrativas;Mining and quarrying;231;228;12.2;1.87;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
2014;PT;C;Industrias transformadoras;Manufacturing;11696;11324;736.7;1.54;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
2014;PT;D;Eletr., gas, ag. quente/fria e ar frio;Electricity, gas, steam and air conditioning supply;62;57;15.1;0.38;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
2014;PT;E;"Capt., trat. e d. agua; san., resid.";"Water supply; sewerage, waste management and remediation activities";958;952;31.5;3.02;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
2014;PT;F;Construcao;Construction;9907;9411;274.7;3.43;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
2014;PT;G;"Com. grosso e ret.; r.v.aut./moto.";"Wholesale and retail trade; repair of motor vehicles and motorcycles";17426;15398;668.3;2.3;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
2014;PT;H;Transportes e armazenagem;Transportation and storage;5440;5190;174.9;2.97;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
2014;PT;I;Alojamento, restauracao e sim.;Accommodation and food service activities;22421;21269;280.3;7.59;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
2014;PT;J;Ativ. Inform. e de comunicacao;Information and communication;1730;1513;107.4;1.41;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
2014;PT;K;Ativ. financeiras e de seguros;Financial and insurance activities;979;921;101.3;0.91;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
2014;PT;L;Atividades imobiliarias;Real estate activities;1522;1248;30.0;4.16;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
2014;PT;M;Ativ. consultoria, cient.,tec. e sim.;Professional, scientific and technical activities;2980;2600;181.3;1.43;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
2014;PT;N;Ativ. Adm. e servicos de apoio;Administrative and support service activities;21681;21437;163.9;13.08;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
2014;PT;O;"Adm. Pub. e defesa; seg. social";"Public administration and defence; compulsory social security";112;110;314.6;0.03;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
2014;PT;P;Educacao;Education;1797;1711;357.3;0.48;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
2014;PT;Q;Ativ. saude humana e apoio social;Human health and social work activities;6267;5859;378.2;1.55;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
2014;PT;R;Ativ. artist., espet., desp. e recr.;Arts, entertainment and recreation;1357;1257;58.1;2.16;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
2014;PT;S;Outras atividades de servicos;Other service activities;3061;2829;107.6;2.63;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
2014;PT;U;Ativ. org. int. e o. inst. extra-territ.;Activities of extraterritorial organisations and bodies;17;15;;;;;;;;section;F010;D074;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E);VAB e LFS indisponivel antes de 2016 para este cruzamento
2015;PT;A;Agr., pr. animal, caca, flor. pesca;Agriculture, forestry and fishing;7947;7786;344.7;2.26;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
2015;PT;B;Industrias extrativas;Mining and quarrying;229;227;12.3;1.85;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
2015;PT;C;Industrias transformadoras;Manufacturing;12230;11833;766.6;1.54;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
2015;PT;D;Eletr., gas, ag. quente/fria e ar frio;Electricity, gas, steam and air conditioning supply;61;57;19.0;0.3;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
2015;PT;E;"Capt., trat. e d. agua; san., resid.";"Water supply; sewerage, waste management and remediation activities";955;944;29.1;3.24;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
2015;PT;F;Construcao;Construction;10112;9612;277.6;3.46;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
2015;PT;G;"Com. grosso e ret.; r.v.aut./moto.";"Wholesale and retail trade; repair of motor vehicles and motorcycles";18321;16135;701.4;2.3;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
2015;PT;H;Transportes e armazenagem;Transportation and storage;5485;5206;173.0;3.01;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
2015;PT;I;Alojamento, restauracao e sim.;Accommodation and food service activities;24396;23142;260.2;8.89;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
2015;PT;J;Ativ. Inform. e de comunicacao;Information and communication;1981;1745;104.3;1.67;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
2015;PT;K;Ativ. financeiras e de seguros;Financial and insurance activities;1003;949;109.1;0.87;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
2015;PT;L;Atividades imobiliarias;Real estate activities;1648;1359;28.0;4.85;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
2015;PT;M;Ativ. consultoria, cient.,tec. e sim.;Professional, scientific and technical activities;3156;2757;194.6;1.42;;;;;;section;F010 / F012;D074 / D079;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2);VAB e LFS indisponivel antes de 2016 para este cruzamento
