year;district;employees_count;self_employed_count;employee_contribution_amount;self_employed_contribution_amount;remuneration_amount;employers_count;total_workers;total_contribution_amount;source_id;source
2010;Vila Real;50892;12390;131715665.94;16209538.75;420322236.54;7789;63282;147925204.69;F014;Segurança Social
2010;Viseu;110204;21628;311067542.96;26479403.13;967111231.56;14249;131832;337546946.09;F014;Segurança Social
2010;Évora;55317;9548;162143422.32;12769170.43;512494165.08;7285;64865;174912592.75;F014;Segurança Social
2011;Aveiro;267601;34821;910241180.94;47379223.02;2779606362.92;27210;302422;957620403.96;F014;Segurança Social
2011;Beja;48507;8633;137999370.9;13593254.19;426495687.34;5980;57140;151592625.09;F014;Segurança Social
2011;Braga;309946;36667;937790557.12;50646791.02;2874020190.5;35940;346613;988437348.14;F014;Segurança Social
2011;Bragança;31220;8760;85919218.16;12320195.52;270884741.62;5061;39980;98239413.68;F014;Segurança Social
2011;Castelo Branco;57369;9972;168963886.46;13904621.73;527924365.07;6986;67341;182868508.19;F014;Segurança Social
2011;Coimbra;137955;22508;486969670.36;29902462.9;1508263557.05;14565;160463;516872133.26;F014;Segurança Social
2011;Faro;175149;28055;524110870.59;39784169.8;1598535641.44;23237;203204;563895040.39;F014;Segurança Social
2011;Guarda;42263;9327;120718550.66;13247640.65;378886279.46;6010;51590;133966191.31;F014;Segurança Social
2011;Leiria;171674;24004;566151386.12;35837991.25;1738906548.53;21951;195678;601989377.37;F014;Segurança Social
2011;Lisboa;875683;111454;4057961374.38;134891859.0;12413510430.03;103158;987137;4192853233.38;F014;Segurança Social
2011;Outro;3755;619;15416986.99;731995.34;48115111.62;493;4374;16148982.33;F014;Segurança Social
2011;Portalegre;34468;5985;97262369.94;8478526.3;304868444.35;4551;40453;105740896.24;F014;Segurança Social
2011;Porto;657148;75884;2349533397.53;100432336.16;7202425048.9;73907;733032;2449965733.69;F014;Segurança Social
2011;Região Autónoma da Madeira;83745;10778;288987017.25;9902816.79;886161489.44;9206;94523;298889834.04;F014;Segurança Social
2011;Região Autónoma dos Açores;75152;19287;250311455.64;17109701.48;767389468.88;7767;94439;267421157.12;F014;Segurança Social
2011;Santarém;155681;20261;508984426.86;28023809.51;1558683452.52;17945;175942;537008236.37;F014;Segurança Social
