year;gender;age_group;contributors_count;beneficiaries_count;new_registrations_count;source_id;source
2023;Masculino;30-39;212520;46324;78159;F014;Segurança Social
2023;Masculino;40-49;111490;29468;37311;F014;Segurança Social
2023;Masculino;50-59;41406;10979;12826;F014;Segurança Social
2023;Masculino;60+;12507;5581;7301;F014;Segurança Social
2023;Masculino;<20;6708;706;41205;F014;Segurança Social
2024;Feminino;20-29;110853;36644;30731;F014;Segurança Social
2024;Feminino;30-39;132030;63598;26073;F014;Segurança Social
2024;Feminino;40-49;86312;39877;14169;F014;Segurança Social
2024;Feminino;50-59;40933;14695;7521;F014;Segurança Social
2024;Feminino;60+;12235;6835;6882;F014;Segurança Social
2024;Feminino;<20;5088;1100;22016;F014;Segurança Social
2024;Masculino;20-29;202506;27829;51209;F014;Segurança Social
2024;Masculino;30-39;254236;52529;45675;F014;Segurança Social
2024;Masculino;40-49;135168;32765;23096;F014;Segurança Social
2024;Masculino;50-59;48291;11374;8335;F014;Segurança Social
2024;Masculino;60+;14280;5030;5617;F014;Segurança Social
2024;Masculino;<20;6242;812;23886;F014;Segurança Social
2025;Feminino;20-29;114580;40289;22342;F014;Segurança Social
2025;Feminino;30-39;145805;72180;17920;F014;Segurança Social
2025;Feminino;40-49;96199;45131;9637;F014;Segurança Social
2025;Feminino;50-59;45528;16204;4316;F014;Segurança Social
2025;Feminino;60+;14011;7291;3212;F014;Segurança Social
2025;Feminino;<20;4875;971;11676;F014;Segurança Social
2025;Masculino;20-29;196164;29331;28649;F014;Segurança Social
2025;Masculino;30-39;271690;57992;25496;F014;Segurança Social
2025;Masculino;40-49;150953;36513;14097;F014;Segurança Social
2025;Masculino;50-59;53848;12487;5069;F014;Segurança Social
2025;Masculino;60+;15907;5409;2885;F014;Segurança Social
2025;Masculino;<20;5981;821;12325;F014;Segurança Social
